Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 15-16,January 2016,SUNDAY,Cable Car,"12,130"
FY 15-16,January 2016,SATURDAY,Cable Car,"13,150"
FY 15-16,January 2016,WEEKDAY,Cable Car,"11,730"
FY 15-16,February 2016,SUNDAY,Cable Car,"11,420"
FY 15-16,February 2016,SATURDAY,Cable Car,"12,390"
FY 15-16,February 2016,WEEKDAY,Cable Car,"11,050"
FY 15-16,March 2016,SUNDAY,Cable Car,"15,140"
FY 15-16,March 2016,SATURDAY,Cable Car,"16,420"
FY 15-16,March 2016,WEEKDAY,Cable Car,"14,640"
FY 15-16,April 2016,SUNDAY,Cable Car,"15,320"
FY 15-16,April 2016,SATURDAY,Cable Car,"16,610"
FY 15-16,April 2016,WEEKDAY,Cable Car,"14,820"
FY 15-16,May 2016,SUNDAY,Cable Car,"16,640"
FY 15-16,May 2016,SATURDAY,Cable Car,"18,050"
FY 15-16,May 2016,WEEKDAY,Cable Car,"16,090"
FY 15-16,June 2016,SUNDAY,Cable Car,"16,980"
FY 15-16,June 2016,SATURDAY,Cable Car,"18,410"
FY 15-16,June 2016,WEEKDAY,Cable Car,"16,430"
FY 16-17,July 2016,SUNDAY,Cable Car,"22,530"
FY 16-17,July 2016,SATURDAY,Cable Car,"24,410"
FY 16-17,July 2016,WEEKDAY,Cable Car,"21,830"
FY 16-17,August 2016,SUNDAY,Cable Car,"22,950"
FY 16-17,August 2016,SATURDAY,Cable Car,"24,860"
FY 16-17,August 2016,WEEKDAY,Cable Car,"22,240"
FY 16-17,September 2016,SUNDAY,Cable Car,"19,100"
FY 16-17,September 2016,SATURDAY,Cable Car,"20,690"
FY 16-17,September 2016,WEEKDAY,Cable Car,"18,500"
FY 16-17,October 2016,SUNDAY,Cable Car,"18,640"
FY 16-17,October 2016,SATURDAY,Cable Car,"20,200"
FY 16-17,October 2016,WEEKDAY,Cable Car,"18,050"
FY 16-17,November 2016,SUNDAY,Cable Car,"14,720"
FY 16-17,November 2016,SATURDAY,Cable Car,"15,940"
FY 16-17,November 2016,WEEKDAY,Cable Car,"14,260"
FY 16-17,December 2016,SUNDAY,Cable Car,"14,450"
FY 16-17,December 2016,SATURDAY,Cable Car,"15,640"
FY 16-17,December 2016,WEEKDAY,Cable Car,"13,990"
FY 16-17,January 2017,SUNDAY,Cable Car,"13,030"
FY 16-17,January 2017,SATURDAY,Cable Car,"14,120"
FY 16-17,January 2017,WEEKDAY,Cable Car,"12,630"
FY 16-17,February 2017,SUNDAY,Cable Car,"12,290"
FY 16-17,February 2017,SATURDAY,Cable Car,"13,300"
FY 16-17,February 2017,WEEKDAY,Cable Car,"11,890"
FY 16-17,March 2017,SUNDAY,Cable Car,"16,270"
FY 16-17,March 2017,SATURDAY,Cable Car,"17,630"
FY 16-17,March 2017,WEEKDAY,Cable Car,"15,760"
FY 16-17,April 2017,SUNDAY,Cable Car,"16,470"
FY 16-17,April 2017,SATURDAY,Cable Car,"17,830"
FY 16-17,April 2017,WEEKDAY,Cable Car,"15,940"
FY 16-17,May 2017,SUNDAY,Cable Car,"17,890"
FY 16-17,May 2017,SATURDAY,Cable Car,"19,370"
FY 16-17,May 2017,WEEKDAY,Cable Car,"17,320"
FY 16-17,June 2017,SUNDAY,Cable Car,"18,250"
FY 16-17,June 2017,SATURDAY,Cable Car,"19,770"
FY 16-17,June 2017,WEEKDAY,Cable Car,"17,690"
FY 17-18,July 2017,SUNDAY,Cable Car,"23,000"
FY 17-18,July 2017,SATURDAY,Cable Car,"24,080"
FY 17-18,July 2017,WEEKDAY,Cable Car,"22,130"
FY 17-18,August 2017,SUNDAY,Cable Car,"23,440"
FY 17-18,August 2017,SATURDAY,Cable Car,"24,520"
FY 17-18,August 2017,WEEKDAY,Cable Car,"22,540"
FY 17-18,September 2017,SUNDAY,Cable Car,"19,500"
FY 17-18,September 2017,SATURDAY,Cable Car,"20,400"
FY 17-18,September 2017,WEEKDAY,Cable Car,"18,760"
FY 17-18,October 2017,SUNDAY,Cable Car,"19,030"
FY 17-18,October 2017,SATURDAY,Cable Car,"19,920"
FY 17-18,October 2017,WEEKDAY,Cable Car,"18,310"
FY 17-18,November 2017,SUNDAY,Cable Car,"15,030"
FY 17-18,November 2017,SATURDAY,Cable Car,"15,720"
FY 17-18,November 2017,WEEKDAY,Cable Car,"14,460"
FY 17-18,December 2017,SUNDAY,Cable Car,"14,750"
FY 17-18,December 2017,SATURDAY,Cable Car,"15,430"
FY 17-18,December 2017,WEEKDAY,Cable Car,"14,180"
FY 17-18,January 2018,SUNDAY,Cable Car,"13,310"
FY 17-18,January 2018,SATURDAY,Cable Car,"13,920"
FY 17-18,January 2018,WEEKDAY,Cable Car,"12,800"
FY 17-18,February 2018,SUNDAY,Cable Car,"12,540"
FY 17-18,February 2018,SATURDAY,Cable Car,"13,110"
FY 17-18,February 2018,WEEKDAY,Cable Car,"12,060"
FY 17-18,March 2018,SUNDAY,Cable Car,"16,610"
FY 17-18,March 2018,SATURDAY,Cable Car,"17,380"
FY 17-18,March 2018,WEEKDAY,Cable Car,"15,980"
FY 17-18,April 2018,SUNDAY,Cable Car,"16,810"
FY 17-18,April 2018,SATURDAY,Cable Car,"17,590"
FY 17-18,April 2018,WEEKDAY,Cable Car,"16,170"
FY 17-18,May 2018,SUNDAY,Cable Car,"18,260"
FY 17-18,May 2018,SATURDAY,Cable Car,"19,100"
FY 17-18,May 2018,WEEKDAY,Cable Car,"17,570"
FY 17-18,June 2018,SUNDAY,Cable Car,"18,640"
FY 17-18,June 2018,SATURDAY,Cable Car,"19,510"
