OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
65594,Folsom St&24TH St SW-FS/BB,FOLS24ST,,7312,37.752444,-122.414128,,24TH ST,FOLSOM ST,,,,0,1720006111000,15521008,146,9,POINT (-122.414128 37.752444),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,2,20,53,53
66878,Irving St&5th Ave SW-NS,IRVG 5AV,,8031,37.764182,-122.46213900000001,1,05TH AVE,IRVING ST,,,,0,1720006111000,15525929,146,7,POINT (-122.462139 37.764182),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,11,14,109,109
66913,Holyoke St&Wayland St NW-NS,HLYKWYL0,HLYKWYLD,5029,37.72522,-122.40812,,WAYLAND ST,HOLYOKE ST,NS,NW,FL,0,1720006111000,15523013,146,9,POINT (-122.40812 37.72522),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,2,25,91,91
66167,Mission St&Sickles Ave W-FS/BZ,MISSSIC0,MISSSICK,5619,37.70866,-122.45331999999999,,SICKLES AVE,MISSION ST,FS,WE,BZ,0,1720006111000,15518610,146,11,POINT (-122.45332 37.70866),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,1,28,66,66
68754,Taraval St&19th Ave NE-NS/PS,TARA19A0,TARA19AV,6616,37.74311,-122.475444,1,19TH AVE,TARAVAL ST,NS,NE,,0,1720006111000,15521224,146,7,POINT (-122.475444 37.74311),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,41,44,44
65897,9th Ave&Lincoln Way SW-FS/BZ,.9AVLWA0,9AVLWAY,3221,37.765689,-122.466517,,LINCOLN WY,9TH AVE,FS,SW,BZ,1,1720006111000,15514900,146,7,POINT (-122.466517 37.765689),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,11,14,109,109
67821,Cortland Ave&Bayshore Blvd SW-NS/BZ,CORTBSH1,CORTBSHR,4148,37.739567,-122.407031,,CORTLAND AVE,BAY SHORE BLVD,NS,SW,BZ,1,1720006111000,15515884,146,10,POINT (-122.407031 37.739567),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,2,2,82,82
67058,24th St&Noe St NE-NS/BZ,24STNOE0,24STNOE,3478,37.751511,-122.43177299999999,,NOE ST,24TH ST,NS,NE,BZ,0,1720006111000,15514477,146,8,POINT (-122.431773 37.751511),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,5,22,84,84
67787,Bryant St&21ST St SE-NS/BZ,BRYT21S1,BRYT21ST,3740,37.757509999999996,-122.40950000000001,,21ST ST,BRYANT ST,NS,SE,BZ,0,1720006111000,15515285,146,9,POINT (-122.4095 37.75751),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,2,20,53,53
65843,30th Ave&Rivera St NW-NS/PS,30AVRVR0,30AVRVRA,3528,37.746359999999996,-122.48780000000001,,RIVERA ST,30TH AVE,NS,NW,FL,0,1720006111000,15522156,146,4,POINT (-122.4878 37.74636),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,40,40
67537,14th St&Castro St NW-FS/SB,14STCTR1,14STCTRO,3256,37.767379999999996,-122.43584,,CASTRO ST,14TH ST,FS,NW,,0,1720006111000,15515054,146,8,POINT (-122.43584 37.76738),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,5,5,112,112
68643,Mission St&Italy Ave E-FS/BZ,MISSITL0,MISSITLY,5599,37.71865,-122.43925899999999,,ITALY AVE,MISSION ST,FS,EA,BZ,0,1720006111000,15518696,146,11,POINT (-122.439259 37.71865),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,1,7,90,90
66896,Rhode Island St&Alameda St NW-NS/SB,R ISALA0,R ISALAM,6201,37.76878,-122.40307,,ALAMEDA ST,RHODE ISLAND ST,NS,NW,,0,1720006111000,15521406,146,6,POINT (-122.40307 37.76878),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,1,9,4,33,33
67978,Polk St&Sacramento St W-MB/BB,POLKSAC0,POLKSACO,6000,37.791928999999996,-122.42105699999999,,SACRAMENTO ST,POLK ST,MB,WE,BB,1,1720006111000,15523097,146,3,POINT (-122.421057 37.791929),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,3,21,105,105
66502,Chenery St&Roanoke St N-NS/SB,CHNYROA0,CHNYROAN,3976,37.73563,-122.4302,,ROANOKE ST,CHENERY ST,NS,NO,FL,0,1720006111000,15516086,146,8,POINT (-122.4302 37.73563),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,5,10,59,59
66557,Geary Blvd&Park Presidio Blvd NW-FS,GEARPKP0,GEARPKPR,4755,37.780668999999996,-122.472802,1,PARK PRESIDIO BLVD,GEARY BLVD,FS,NW,BZ,0,1720006111000,15517174,146,1,POINT (-122.472802 37.780669),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,4,29,5,5
65518,Laguna St&Chestnut St NW-NS/BB,LGNACHE0,LGNACHES,5257,37.801513,-122.43141800000001,,CHESTNUT ST,LAGUNA ST,NS,NW,BZ,1,1720006111000,15518373,146,2,POINT (-122.431418 37.801513),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,6,13,17,17
65996,Clipper St&Diamond Heights Blvd-NS,CLPRDHT0,CLPRDHTS,4071,37.74689,-122.44396,,DIAMOND HEIGHTS BLVD,CLIPPER ST,NS,NO,,1,1720006111000,15515931,146,8,POINT (-122.44396 37.74689),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,5,22,51,51
65587,24th St&South Van Ness Ave NE-NS,24STSOV0,24STSOVN,3483,37.752445,-122.416156,,SOUTH VAN NESS AVE,24TH ST,NS,NE,,0,1720006111000,15520982,146,9,POINT (-122.416156 37.752445),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,2,20,53,53
67939,Clayton St&Twin Peaks Blvd SW-FS/BZ,CLTNT P0,CLTNT P,4070,37.760863,-122.446485,,TWIN PEAKS BLVD,CLAYTON ST,FS,SW,BZ,0,1720006111000,15515930,146,8,POINT (-122.446485 37.760863),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,5,14,47,47
66513,Hayes St&Lyon St SW-NS/BZ,HAYSLYO1,HAYSLYON,5000,37.77429,-122.44286199999999,,LYON ST,HAYES ST,NS,SW,BZ,1,1720006111000,15520296,146,5,POINT (-122.442862 37.77429),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,11,18,24,24
67477,Bacon St&Somerset St SW-NS,BACNSOM1,BACNSOME,3021,37.72654,-122.40765999999999,,SOMERSET ST,BACON ST,NS,SW,FL,0,1720006111000,15522976,146,9,POINT (-122.40766 37.72654),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,2,25,91,91
66015,California St&Davis St SW-NS,CALIDAV1,CALIDAVS,3857,37.79342,-122.397749,,DAVIS ST,CALIFORNIA ST,NS,SW,,0,1720006111000,15515964,146,3,POINT (-122.397749 37.79342),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,8,108,108
65627,Taraval St&40th Ave SW-NS/SI,TARA40A1,TARA40AV,6633,37.74199,-122.498316,1,40TH AVE,TARAVAL ST,NS,SW,,0,1720006111000,15524665,146,4,POINT (-122.498316 37.74199),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,39,39
68243,Powell St&Bush St W-MI,POWLBUS1,POWLBUSH,6048,37.790141,-122.408871,,BUSH ST,POWELL ST,MI,WE,,0,1720006111000,15523249,146,3,POINT (-122.408871 37.790141),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,21,19,19
68228,Skyview Way&Gladeview Dr NW-NS/SB,SKVWGLDV,SKVWGLVW,6428,37.749942,-122.450335,,GLADEVIEW WAY,SKYVIEW WAY,NS,NW,,0,1720006111000,15521126,146,7,POINT (-122.450335 37.749942),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,8,38,48,48
