Exit stations,Entry stations->,,WEEKDAY,,,Mar 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,,
RM,17,113,81.318182,72.818182,407.272727,106.590909,124.636364,154.5,185.5,45.818182,90.136364,62.136364,35.045455,19.5,29.863636,19.272727,14.636364,29.454545,20.545455,16.909091,22.090909,8.136364,5.136364,21.409091,20.181818,413.090909,399.818182,439.636364,349.272727,181.227273,174.545455,53.636364,68,85.090909,15.272727,5.272727,15.818182,3,35.363636,11.181818,18.454545,56.272727,26.409091,6.363636,11,9.636364,4101.272727,,,,,,,,,,,,,,
EN,126.136364,21.227273,88.454545,96.909091,866.818182,136.454545,252.5,491.090909,572.863636,114,110.409091,129.863636,60.181818,44.181818,62.681818,25,36.181818,59.727273,31.318182,17.681818,30.681818,8.454545,13.318182,33,37.5,965.681818,1034.863636,889.590909,804,282.909091,213.727273,79.954545,110.636364,150.818182,27.5,7.681818,25.863636,6.727273,28.909091,31.363636,42.227273,110.818182,68.136364,12.954545,34.5,28.636364,8424.136364,,,,,,,,,,,,,,
EP,84.590909,88.909091,15.090909,42.090909,694.909091,81.681818,139.681818,312.727273,336.272727,82.954545,52.636364,57.590909,29.818182,16.863636,24.181818,7.590909,15.363636,37.181818,18,17.409091,24,7.363636,6.863636,31.727273,13.272727,585.227273,702.318182,407.363636,427.045455,133.454545,72.227273,31.818182,35.681818,51.681818,4.681818,3.454545,15.227273,2.954545,13.863636,8.318182,13.045455,65.363636,31.818182,9.136364,28.863636,10.272727,4892.590909,,,,,,,,,,,,,,
NB,69.090909,87.090909,44.272727,17.272727,201.545455,65.136364,79.727273,281.818182,253.363636,58.636364,60.727273,58.545455,26.5,21.727273,26.818182,7.909091,18,34.090909,18.272727,24.227273,29.818182,6.909091,7.909091,15.363636,13.090909,640.409091,751.227273,402.590909,493.090909,169.090909,96.545455,32.136364,32.863636,44.5,5.090909,6.090909,12,4.045455,17.954545,9.181818,10.227273,89.863636,41.363636,9.454545,34.5,16.409091,4446.5,,,,,,,,,,,,,,
BK,449.636364,933.090909,709.772727,222.909091,41.909091,383.681818,370.545455,571.772727,547.818182,273.727273,300.909091,189.363636,189.318182,155.136364,135.272727,72.590909,152.136364,219.636364,123.5,161.409091,119.045455,67.590909,52.272727,47.727273,72.727273,990.818182,994.045455,753,750.5,327.909091,254.772727,137.909091,111.954545,129.136364,33.909091,51.954545,122.272727,52.090909,114.090909,33.409091,41.136364,176.454545,156.5,53.136364,73.5,89.409091,12011.409091,,,,,,,,,,,,,,
AS,114.272727,126.272727,81.227273,59,344.090909,18.863636,80,271.363636,262.045455,69.090909,101.863636,83.772727,50.818182,32.954545,36.590909,18.818182,34.409091,39.909091,27.227273,27.954545,21.045455,9.181818,4.954545,13.636364,24.272727,726.636364,810.136364,467.045455,527,230.909091,126.863636,36.136364,43.363636,44.727273,7.727273,8.590909,22.818182,5.545455,28.909091,12.227273,16.045455,58.454545,41.590909,12.090909,25.090909,20.818182,5226.363636,,,,,,,,,,,,,,
MA,137.818182,264.409091,127.136364,81.590909,353.636364,84.863636,50.409091,196.5,224.863636,65.363636,167.5,156.181818,127.590909,100.454545,99.409091,61.227273,78.5,110.272727,163.363636,182.454545,151,45.272727,45.5,56.409091,48.090909,1051.5,1223.590909,830.5,864.5,383.681818,231,70.636364,84.318182,88.272727,27.727273,22.227273,68.545455,63.136364,265.772727,30.772727,31.772727,106,71.090909,25.772727,29.545455,35.909091,8786.090909,,,,,,,,,,,,,,
19,168.636364,492.045455,315.681818,287.545455,518.227273,264.954545,190.454545,33.863636,63.454545,48.545455,179.636364,188.318182,226.090909,217.409091,210.727273,151.772727,224.272727,329.636364,319.863636,400.954545,321,156.227273,117.772727,187.136364,63.818182,1387.909091,1584.681818,929.409091,1028,428.363636,318.136364,163.272727,129,144.318182,74.545455,72.681818,233.590909,167.590909,267.863636,69.181818,65,93.909091,133.318182,109.272727,33.227273,99.409091,13210.727273,,,,,,,,,,,,,,
12,211.772727,592.090909,317.636364,258,479.545455,251.5,221.454545,56.909091,40.090909,49.090909,223.045455,279.363636,342.954545,315.681818,277.590909,174.409091,225.727273,285.545455,350.681818,418.636364,285.590909,138.909091,115.772727,170.227273,90.318182,1302.590909,1304.181818,935.590909,954.909091,329.909091,306.318182,175.772727,187.227273,200.909091,130.909091,115.954545,245.5,171.227273,356.681818,88.454545,86.227273,118.181818,154.590909,122.681818,49.909091,87,13597.272727,,,,,,,,,,,,,,
LM,42.727273,107.772727,83.681818,61.409091,263.636364,73.954545,68.772727,45.409091,51.363636,23.5,181.772727,272.181818,307.5,269,155.136364,91.136364,114.727273,123,38.363636,24.227273,27.727273,12.090909,7.772727,33.090909,40.5,909.409091,1034.090909,717,633.954545,261.181818,151.727273,61.090909,93.681818,105.5,10.727273,115.318182,173.818182,10.636364,54.045455,12.409091,15.272727,36.545455,17.227273,80.227273,20.863636,99.954545,7135.136364,,,,,,,,,,,,,,
