Exit stations,Entry stations->,,WEEKDAY,,,Apr 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,,
RM,13.904762,111.52381,84.952381,67.714286,397.428571,101.809524,133.809524,145.571429,179.761905,42,91.952381,75,35.095238,20.52381,36.714286,17.619048,15.714286,33.142857,22.047619,13.904762,20.809524,7.285714,6,21.333333,20.619048,420.809524,393.714286,433.047619,343.428571,193.333333,180.714286,50.761905,75.666667,99.238095,14.809524,5.142857,15.857143,3.809524,33.952381,10,17.380952,57.238095,26.428571,5.904762,11.904762,13.047619,4122.428571,,,,,,,,,,,,,,
EN,121.714286,22.142857,89.809524,92.761905,855.761905,133.428571,269.619048,473.619048,545.52381,115,106.809524,142.904762,61.380952,46.333333,72.571429,28.047619,33.047619,63,32.809524,18.47619,29.619048,9.095238,10.428571,31.047619,39.952381,1000.142857,1043.47619,923.333333,810.142857,289.428571,221.666667,81.333333,117.047619,187.095238,29.285714,7.952381,25.333333,6.47619,27.619048,32.952381,43.190476,121.47619,67.571429,14.380952,36.52381,27.714286,8559.047619,,,,,,,,,,,,,,
EP,85.904762,89.142857,11.952381,44.619048,686,83.095238,133.285714,301.809524,331.666667,78.666667,56.047619,55.285714,29.571429,15.666667,27.666667,8.095238,13.666667,36.095238,18.333333,18.666667,25.095238,7.904762,5.142857,27.857143,14.142857,584.285714,696.380952,419.47619,430.52381,133.904762,73.952381,32.095238,38.428571,61.428571,4.428571,4.571429,13.952381,3.904762,13.952381,8.333333,13.142857,70.714286,31.285714,8.904762,28.952381,12.428571,4890.428571,,,,,,,,,,,,,,
NB,70.904762,88.238095,44.52381,16,177.904762,58.666667,80.952381,263,250.142857,55.238095,61.285714,60.809524,27.238095,18.047619,26.333333,8.380952,17.952381,32.190476,18.190476,22.095238,27.904762,6.285714,8.904762,15.190476,11.52381,637.714286,725.142857,404,486.857143,170.47619,96.285714,30.190476,34.857143,50.904762,4.095238,7.333333,12.904762,4.619048,16.952381,9.666667,8.857143,97.142857,41.380952,9.095238,40.666667,13.428571,4370.47619,,,,,,,,,,,,,,
BK,438.52381,920.333333,704.190476,203.285714,47.619048,370.952381,366.666667,587.761905,557.904762,273.571429,303.47619,187.666667,202.095238,148.190476,137.047619,79.904762,157.857143,228.095238,127.952381,164.571429,117.47619,72.714286,52.857143,43.666667,72.47619,1075.238095,1072.809524,774.285714,835.952381,375.809524,287.428571,156,126.190476,145.190476,39.761905,53.142857,128.761905,55.714286,109.380952,35.238095,44.52381,165.904762,163.952381,49.190476,88,92.857143,12442.190476,,,,,,,,,,,,,,
AS,105.47619,123.190476,84.095238,56.190476,329.761905,18.809524,85.52381,263.285714,249.428571,68.571429,97.47619,89.761905,55.238095,34.190476,33.52381,16.952381,35.714286,37.380952,25.238095,29.428571,22.380952,6.52381,4.809524,13.095238,28.380952,743.761905,812.714286,474.571429,545.857143,244.571429,127.428571,36.952381,46.666667,59.238095,8.904762,8.47619,21.52381,5.619048,32.952381,10.714286,15.285714,62.285714,39.190476,13.142857,28.904762,19.619048,5272.809524,,,,,,,,,,,,,,
MA,141.809524,264.809524,115,77.857143,344.142857,84.380952,44.571429,189,217.380952,62.571429,163.47619,153.47619,128.190476,93.428571,101.571429,58.666667,82.285714,115.619048,161.571429,181,148.857143,44.52381,39.619048,55.809524,48.333333,1070.761905,1220.428571,827.571429,885.285714,392.285714,226,80.047619,95.238095,97.333333,25.428571,18.238095,64.190476,65.714286,252.428571,28.52381,30.47619,116.904762,70.095238,28.142857,31.333333,32.904762,8777.285714,,,,,,,,,,,,,,
19,157.571429,472.047619,306.095238,270.714286,522.571429,255.666667,177.904762,35.047619,55.238095,38.857143,169.142857,172.428571,226.285714,216.952381,208.809524,151.52381,219.428571,324.095238,311.190476,394.52381,322.380952,154.571429,113.857143,166.619048,62.571429,1385.190476,1555,935.857143,1050.52381,440.619048,320.904762,165.857143,135.904762,157.380952,72.285714,68.904762,235,171.142857,263.095238,72.190476,66.047619,97.333333,135.619048,105.047619,39.047619,98.428571,13077.47619,,,,,,,,,,,,,,
12,202.809524,573.238095,313.809524,251.52381,461.571429,242.52381,213.666667,55.571429,36.761905,42.761905,216.047619,268.428571,342.52381,324.333333,287.333333,175.142857,207.857143,294.571429,347.428571,417.571429,280.47619,132.52381,118.238095,165.285714,89.619048,1279.47619,1306.809524,929.857143,975.952381,335.952381,312.761905,180,193.428571,216.52381,129.142857,111.809524,243.285714,173.714286,359.428571,86.285714,91.380952,138,154.761905,126.714286,60.571429,84.904762,13552.380952,,,,,,,,,,,,,,
LM,39.238095,99.857143,79.619048,58,271.190476,69.047619,62.809524,41.761905,45.952381,21.52381,166.285714,255.285714,301.380952,254.904762,162.571429,92.142857,120.571429,130.238095,37.761905,25.047619,26.142857,10.761905,8.904762,29.285714,39.095238,925,1057.761905,732.809524,667.190476,263.428571,158.571429,66.52381,99.190476,124.571429,7.428571,111.857143,188.761905,11.714286,55.190476,11.952381,14.619048,43.380952,17.238095,82.619048,24.857143,100.047619,7214.095238,,,,,,,,,,,,,,
