Exit stations,Entry stations->,,WEEKDAY,,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,13.904762,113.714286,82.380952,66.428571,369.238095,101.238095,135.095238,180.809524,204.47619,46.571429,88.52381,66.47619,33.380952,26,26.428571,18.142857,17.809524,31.904762,19.857143,12.952381,20.238095,6.571429,6.095238,21.904762,23.190476,424.619048,396.238095,436.095238,326.285714,180.809524,176.857143,45.857143,51.857143,43.761905,15.666667,4.428571,16.095238,3.761905,21,12.142857,21.190476,66.095238,32.238095,6.285714,14.714286,14.857143,0,0,7.666667,8.380952,4060.238095,,,,,,,,,,,,,,
EN,122.47619,21.904762,88.47619,88.428571,773.238095,134.333333,253.619048,528.809524,612.47619,107.952381,108.428571,120.666667,58.52381,47.666667,57,25.380952,35.52381,60.952381,29.047619,16.428571,32.857143,9.142857,10.666667,31.380952,39,1028.571429,1015.714286,915.333333,774.47619,280.666667,212.666667,82.714286,102.095238,83.619048,29.666667,9.333333,27.952381,7.47619,17.190476,32.666667,41.190476,130.619048,67.714286,12.952381,39.714286,29.904762,0,0,5.428571,10.428571,8372.47619,,,,,,,,,,,,,,
EP,86.904762,80.952381,14.047619,46.238095,608.380952,79,137.809524,317.857143,365.47619,58.571429,53.714286,50.571429,29,18.333333,22.190476,7.952381,19.904762,33.52381,15.904762,18.52381,26.47619,7.190476,8.809524,24.333333,16,613.190476,676.952381,422.47619,438.857143,130.619048,67.047619,29.142857,33.571429,25.333333,5.714286,6.47619,17.047619,4.190476,9.904762,8.857143,12.380952,77.761905,31.142857,10.095238,32.571429,12.52381,0,0,2.619048,6.619048,4822.761905,,,,,,,,,,,,,,
NB,62.380952,81.285714,48.809524,17.619048,163.047619,61,88.095238,282.333333,271.380952,53.428571,62.714286,42.761905,27.142857,18.095238,22.952381,10.47619,19.714286,29.47619,20.095238,23.904762,24.904762,8.857143,8.761905,15.52381,13,682.761905,732.238095,405.52381,471.52381,172.904762,98.761905,34.904762,24.380952,28.190476,5.238095,7.047619,18.714286,4.47619,12.142857,8.095238,8.714286,98.619048,42.952381,7.095238,40,16.666667,0,0,3.190476,5.619048,4407.52381,,,,,,,,,,,,,,
BK,410.571429,820.857143,618.571429,177.095238,59.333333,327.333333,353.952381,601.52381,549.809524,185.857143,268.095238,175.285714,184.47619,134.857143,122.47619,80.047619,168.047619,248.619048,108.809524,168.095238,134.142857,73.428571,56.238095,41.142857,76.761905,1252.333333,1133.809524,816.238095,799.619048,361.238095,250.52381,161.47619,111.809524,107.095238,31.380952,52,143.952381,33.714286,76,40.904762,41.52381,167.952381,179.142857,67.380952,64.428571,114.47619,0,0,23.714286,45.857143,12222,,,,,,,,,,,,,,
AS,109.52381,121.095238,89.190476,58.047619,292.809524,19.904762,89.142857,284.047619,280.190476,59.333333,106.904762,77.428571,51.809524,37.142857,36.285714,21,36.285714,40.952381,26.952381,28.380952,24.047619,8.904762,7.047619,11.952381,28.285714,784.238095,802.666667,473.666667,527.809524,240.142857,127.714286,38.047619,38.428571,31.428571,8.190476,9.857143,18.761905,5.190476,17.52381,9.809524,13.904762,65.47619,39.095238,13.047619,27.809524,20.904762,0,0,6.47619,13.285714,5280.142857,,,,,,,,,,,,,,
MA,138.761905,255.809524,128.238095,76.714286,341.047619,92.571429,42.047619,231.571429,259.904762,61.619048,160.761905,135.285714,126.238095,96.095238,89.952381,57.571429,82.714286,111.428571,159.047619,189.857143,159.571429,53.52381,42.857143,53.714286,48.571429,1148.571429,1213.142857,818.190476,874.333333,398.571429,230.52381,83.095238,69.666667,60.904762,25.285714,22.142857,75.428571,47.238095,147.761905,34.52381,33.857143,124.047619,69.380952,31.52381,30.904762,42.952381,0,0,33.095238,120.285714,8930.904762,,,,,,,,,,,,,,
19,205.333333,544.428571,326.666667,311.904762,541.809524,291.333333,227.809524,42.095238,64.714286,43.47619,215.047619,220.47619,268.619048,245.238095,236.761905,160.952381,251.52381,374.047619,340.904762,424.285714,357,179.666667,138.380952,193.238095,75.142857,1464.380952,1552.333333,951.619048,1041.190476,452.238095,333,181.142857,141.095238,164.428571,86.095238,78.761905,255.714286,161.285714,211,81.809524,74.52381,104.428571,157.285714,126,38.47619,136.238095,0,0,45.380952,147.238095,14266.52381,,,,,,,,,,,,,,
12,228.857143,646.809524,353.380952,285.619048,469.714286,275.52381,243.904762,61.47619,52.571429,39.666667,264.285714,324.142857,388.142857,374.333333,330.095238,199.095238,283,420.619048,385.952381,459.428571,318.52381,146.809524,137,188.095238,114.857143,1350.047619,1324.571429,936.952381,1000.190476,357.857143,333.857143,206.761905,223.47619,235.047619,146.952381,134.52381,308.666667,159.190476,261.761905,108.333333,102.619048,148.619048,196.714286,153.047619,54.619048,146.809524,0,0,59.761905,195.380952,15137.666667,,,,,,,,,,,,,,
LM,43.142857,96.952381,54.619048,52.428571,166.857143,61.190476,63.142857,49.571429,49.52381,27,195.380952,247.666667,338.190476,265.904762,158.809524,104.238095,143.571429,156.761905,39.47619,26.47619,31.857143,11.571429,8.809524,27.095238,39.952381,970.142857,1060.714286,742.952381,658.142857,273.095238,158.142857,68.047619,82.571429,72,10.142857,142.380952,252.428571,9.857143,29.428571,15.619048,17.47619,43.714286,19.857143,116.333333,24.952381,140.428571,0,0,9.714286,24,7402.333333,,,,,,,,,,,,,,
FV,92.52381,109.761905,53.809524,63.904762,264.761905,103.047619,167.52381,228.238095,273.190476,216.714286,33.857143,249.238095,239.428571,228.428571,176.285714,91.285714,77.619048,129.52381,47.333333,24.714286,38.952381,18.047619,22.142857,50,96.666667,965.714286,992.238095,899.52381,852.380952,326.142857,218.047619,70.952381,83.47619,65,8.761905,62.857143,137.666667,10.190476,28.809524,13,27.714286,71.285714,32.285714,65.619048,15.47619,64.666667,0,0,10,26.714286,8145.52381,,,,,,,,,,,,,,
