Exit stations,Entry stations->,,WEEKDAY,,,Aug 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,14.826087,110.695652,81.695652,69.913043,388,95.782609,126.652174,151.304348,193,39.652174,85.043478,83.217391,35.782609,22.26087,30.26087,20.608696,14.869565,31.73913,16.173913,15.347826,21.956522,5.478261,6.695652,21.043478,25.173913,412.347826,392.304348,442.173913,346.565217,176.565217,177.043478,45.521739,63.913043,59.695652,17,5.434783,15.695652,4.73913,20.347826,14.217391,20.652174,59.086957,29.521739,5.608696,15.391304,12.043478,0,0,7.173913,9,4059.217391,,,,,,,,,,,,,,
EN,120.695652,21,81.347826,86.608696,793.608696,136.956522,239.304348,451.391304,558.782609,104.652174,110.956522,172.913043,57.26087,42.826087,70,25.043478,31.434783,59.391304,27.130435,17.391304,31.217391,8.304348,11.913043,29.347826,34.521739,975.826087,1011.043478,876.478261,758.782609,288.652174,211.956522,89.521739,113.956522,105.347826,27.217391,9.782609,26.565217,5.608696,15.608696,30.434783,41.173913,123.826087,69.130435,13.782609,41.652174,30.26087,0,0,5.043478,11.391304,8207.043478,,,,,,,,,,,,,,
EP,84.086957,80.913043,15.043478,50.565217,657.173913,81.043478,125.434783,293.217391,323.869565,65.043478,48.521739,89.478261,31.695652,19.695652,26.956522,8.391304,19.217391,35.695652,15.043478,18.956522,25.956522,7.826087,5.304348,24.695652,14.391304,598.478261,658.826087,406.869565,423.26087,136.565217,69.565217,33.695652,36.565217,36.521739,6.173913,4.391304,14.521739,3.956522,7.652174,8.565217,11.652174,81.304348,27.434783,7.26087,32.913043,12.869565,0,0,3.73913,3.869565,4794.869565,,,,,,,,,,,,,,
NB,66.826087,78.652174,47.73913,19.434783,154.130435,56.086957,81.086957,248.652174,242.608696,51.826087,61.217391,80.217391,29.652174,15.478261,23.391304,9.347826,18.521739,27.086957,19.130435,18.652174,26.130435,7.652174,7.826087,13.695652,10.782609,661.73913,677.434783,385.73913,431.956522,162.521739,94.086957,29.956522,32.782609,30.956522,5.347826,5.652174,14.478261,4.652174,9.304348,8.304348,10.130435,103.608696,41.565217,6.913043,41.086957,17.826087,0,0,5.913043,7.130435,4204.913043,,,,,,,,,,,,,,
BK,438.347826,860.043478,670.130435,177.217391,48.521739,328.913043,325.217391,529.608696,509.652174,224.956522,270.391304,189.913043,172.521739,128.73913,126.434783,76,158.869565,224.086957,104.565217,162.217391,128,71.217391,46.73913,37.652174,73.913043,1053.26087,1002,776.173913,724.869565,315.869565,252,147,119.826087,117.173913,34.782609,52.173913,133.434783,35.391304,73.608696,35.826087,41.913043,182.391304,168.043478,59.782609,80.347826,107.695652,0,0,24.304348,46.347826,11668.086957,,,,,,,,,,,,,,
AS,100.217391,128.608696,81.695652,57.826087,284.913043,18.347826,88.73913,246.304348,241.652174,60.652174,97.652174,106.173913,52.478261,36.130435,33.782609,18.130435,35.304348,38.391304,23.652174,28.391304,22.913043,9.869565,6.521739,11.695652,24.391304,729.086957,768.782609,442.26087,487.913043,225.347826,124.782609,37.434783,41.565217,35.869565,9.73913,9.826087,19,6.956522,15.434783,8.347826,14.652174,69.173913,36.304348,15.608696,28.652174,24.434783,0,0,4.521739,14.782609,5024.913043,,,,,,,,,,,,,,
MA,145.652174,242.608696,113.478261,75.434783,310.652174,88.391304,34.869565,184.26087,221.73913,63.391304,157.608696,180.652174,120.913043,90.782609,86.521739,53.434783,71.347826,112.782609,152.826087,179.217391,152.043478,52.521739,44.608696,56.173913,47.73913,1096.869565,1158.347826,790,834.434783,383.608696,214.347826,81.695652,79.956522,62.869565,22.26087,23.73913,69.26087,43.565217,142.434783,30.73913,33.391304,114.652174,66.391304,30.478261,31.652174,38.608696,0,0,37.956522,120.652174,8547.565217,,,,,,,,,,,,,,
19,171.26087,467.086957,294.782609,257.434783,485.73913,250.956522,181.391304,36.913043,51.347826,38.173913,173,216.608696,237.608696,218.391304,200.73913,149.304348,223.478261,326.73913,292.347826,403.347826,334.652174,166,113.521739,153.913043,62.782609,1408.956522,1512.869565,907.652174,1005,445.695652,333.521739,170.956522,145.434783,136.826087,70.782609,70.347826,233.913043,135.391304,181.478261,70.391304,73.913043,96.956522,128.173913,115.130435,38.782609,109.521739,0,0,49.26087,134.869565,13083.347826,,,,,,,,,,,,,,
12,216.347826,576.565217,312.478261,255.217391,444.173913,236.73913,214.782609,48.478261,44.478261,35.608696,206.086957,280.608696,340.304348,336.434783,294.043478,181.652174,250.782609,325.73913,311.695652,432.086957,302.521739,144.913043,127.26087,166.913043,93.782609,1328.086957,1305,898.26087,923.434783,347.086957,319.826087,201.521739,217.347826,209.956522,129.956522,119.913043,265.869565,133.304348,227.913043,94.478261,86.956522,141.434783,159.391304,129.173913,50.043478,101.869565,0,0,53.434783,177.304348,13801.26087,,,,,,,,,,,,,,
LM,40.086957,95.130435,62.086957,45.173913,203.434783,63.782609,64.478261,39.304348,34.826087,18.869565,140.130435,300.478261,302.608696,243.347826,141.652174,80.913043,120.347826,118,36.826087,26.043478,29.086957,8.217391,7.043478,26.347826,34.869565,952.434783,1041.782609,704.391304,637.043478,266.434783,156.521739,71.304348,91.782609,82.434783,7.869565,114.652174,204.608696,7.782609,24.782609,13.652174,13.521739,41.869565,18.130435,88.73913,25.826087,113.652174,0,0,8.652174,20.913043,6991.869565,,,,,,,,,,,,,,
FV,90.521739,103,50.521739,65.565217,266.478261,101.695652,164.695652,185.391304,218.173913,144.217391,26.826087,312.347826,232.913043,213.652174,199.391304,88,78.782609,123.695652,46.652174,26.956522,36.347826,16.434783,22.826087,48.26087,94.434783,926.043478,978.826087,881.347826,848.26087,332.086957,215.130435,76.086957,96.086957,90.304348,10.434783,57.347826,128.73913,9.913043,26.956522,14.869565,27.086957,73.434783,29.826087,63.652174,13.869565,63.478261,0,0,10.652174,25.478261,7957.695652,,,,,,,,,,,,,,
CL,95.304348,179.608696,88.434783,82.695652,193.391304,103.434783,192.173913,241.869565,320.304348,253.086957,302.304348,30.521739,252.73913,238.956522,204.521739,112.478261,155.086957,226.391304,104.73913,95.565217,85.086957,51.304348,44.391304,68.565217,107.521739,638.826087,621.652174,552.086957,469.521739,171.521739,145.304348,77.608696,75.521739,111.26087,21.043478,117.173913,447.26087,31.217391,64.434783,24.869565,29.173913,41.652174,37.913043,174.73913,37.956522,213.26087,0,0,28.217391,56.130435,8018.826087,,,,,,,,,,,,,,
SL,36.391304,63.304348,32.608696,30.391304,168.173913,53.608696,126.391304,249.043478,347.391304,313.478261,231.304348,263.695652,18.869565,120.043478,141.782609,74,84.956522,127.565217,30.652174,29.26087,25.26087,9.608696,8.521739,20.26087,40.826087,774.130435,835.608696,591.130435,546.695652,165.304348,101.695652,55.391304,78.043478,73.434783,9.956522,37.956522,112.521739,12.086957,19.478261,12.652174,13.217391,49.826087,10.521739,52.130435,9.695652,64.826087,0,0,9.26087,14.652174,6297.608696,,,,,,,,,,,,,,
BF,21.130435,41.391304,18.347826,17.043478,124.956522,35.347826,92.608696,224.391304,320.826087,227.608696,192.043478,233.565217,111.565217,14.869565,109.782609,61.652174,85.521739,161.956522,19.304348,10.478261,10.913043,3.086957,3.565217,13.086957,41.521739,677.956522,703.347826,533.434783,471.652174,150.043478,92.956522,34.695652,51.73913,53.956522,11.565217,48.913043,126.173913,5.869565,9.652174,9.391304,19.913043,31.913043,11.086957,73.347826,8.130435,57.913043,0,0,5.043478,7.782609,5393.043478,,,,,,,,,,,,,,
HY,35.173913,72.478261,25.347826,27,115.217391,35,84.521739,210.521739,285.913043,132.434783,205.478261,200.652174,154.73913,97.478261,20.521739,82.043478,182.73913,252.695652,28.826087,15.217391,19.73913,5.913043,5.391304,16.869565,29.956522,467.565217,524.434783,334.347826,298.086957,98.652174,59.173913,34.086957,41.565217,40.347826,5.652174,20.347826,72.391304,8.173913,27.130435,8.347826,15.347826,22.652174,9.217391,33.173913,12.521739,87.217391,0,0,10.521739,23.478261,4596.304348,,,,,,,,,,,,,,
SH,22.73913,24.652174,8.391304,8.956522,68.086957,20.086957,53.130435,143.565217,168.347826,74.391304,87.521739,108.347826,70.608696,60.391304,75.478261,11.347826,71.913043,115.869565,9.521739,11,11.347826,3.086957,1.652174,6.086957,20.826087,437.434783,393.304348,235.347826,245.086957,70.695652,40.347826,16.913043,27.347826,38.652174,7.826087,11.521739,38.347826,2.565217,8.826087,3.565217,7.608696,15.956522,3.782609,19.652174,7.956522,55.73913,0,0,3,5.26087,2954.086957,,,,,,,,,,,,,,
UC,18.695652,36.130435,19,19.26087,159.347826,38.304348,67.782609,226.695652,238.391304,113.782609,80.956522,153.521739,87,86,182.608696,66.043478,22.217391,173.086957,15.304348,18.695652,15.73913,5.478261,4.130435,10.956522,15.565217,907.434783,788.869565,364.347826,323.913043,87.304348,35.956522,15,22.826087,38.956522,6.521739,17.826087,66.826087,2.130435,11.434783,5.521739,5.26087,25.347826,3.565217,26.826087,17.652174,49.391304,0,0,4.478261,9.217391,4711.304348,,,,,,,,,,,,,,
FM,33.913043,67.434783,35.26087,29.130435,231.304348,39.869565,112.73913,321.826087,315.086957,123.217391,134.956522,223.73913,132.478261,164.521739,266.913043,129.913043,197.869565,47.478261,25.391304,26.695652,22.869565,6.913043,11.173913,19.217391,15.521739,1397.782609,1162.695652,449.782609,359.086957,118.130435,38.478261,25.826087,33.391304,42,7.782609,28.652174,75.391304,6.913043,19,6.391304,9,41.26087,5.130435,30.434783,29.565217,41.565217,0,0,4.434783,14,6682.130435,,,,,,,,,,,,,,
CN,21.73913,28.608696,17.086957,22.043478,106.347826,24,154.086957,296,314,35.391304,46.869565,99.826087,30.391304,20.217391,29,9.521739,15.565217,26.130435,30.478261,92.434783,228.26087,83.913043,42.478261,90.913043,20.304348,861.173913,881.956522,505.652174,473.434783,144.608696,88,51.73913,57.782609,67.608696,28.521739,5,11,46.782609,161.26087,26.956522,29.26087,143.478261,34.478261,1.826087,34.347826,11,0,0,84.956522,87.086957,5723.521739,,,,,,,,,,,,,,
