Exit stations,Entry stations->,,WEEKDAY,,,Oct 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,16.227273,114.818182,94.318182,79.5,437.636364,105.090909,143.227273,174.227273,201.545455,45.181818,84.318182,64.545455,31.227273,25.181818,39.818182,16.681818,14.954545,25.454545,15.227273,17.5,23.590909,6.318182,8.318182,24.090909,25.727273,418.681818,442.545455,442.590909,375.272727,175.636364,188.181818,44.818182,76.727273,117.272727,16.863636,4.636364,14.454545,4.909091,18.363636,12.181818,20.363636,55.045455,25.909091,5.181818,14,14.363636,0,0,8.772727,12.272727,4343.772727,,,,,,,,,,,,,,
EN,121.681818,20.5,87.954545,94.545455,895.590909,143.181818,259.772727,463,589.954545,114.590909,110.045455,127.727273,59.5,43.863636,86.727273,22.363636,36.454545,47.318182,28.545455,17.5,31.818182,8.818182,13.5,30.181818,41.363636,961.772727,1039.909091,902.090909,774.181818,284.318182,215.045455,92.045455,133.090909,199.409091,26.954545,8.409091,27.090909,6.863636,13.727273,35.454545,39.454545,123.272727,65.181818,16.681818,38.590909,42.727273,0,0,5.727273,8.772727,8557.272727,,,,,,,,,,,,,,
EP,93.272727,78.318182,12.090909,52.954545,718.681818,77.954545,138.954545,308.727273,346.727273,86.545455,48.227273,43.909091,33.772727,20.181818,29,9.5,17.090909,31,21.318182,18.363636,25.954545,9.636364,6.227273,30.590909,14.045455,618.454545,684.045455,429.636364,453,135,73.090909,30.636364,43.590909,70.590909,6.636364,4.181818,11.363636,4.045455,11.545455,8.681818,10.909091,71.681818,30.636364,6.636364,34.545455,21.409091,0,0,4.681818,4.363636,5042.409091,,,,,,,,,,,,,,
NB,79.090909,82.590909,50.136364,16.772727,212.409091,60.590909,85.863636,273.954545,254.363636,64.363636,65.954545,40.318182,29.5,19.045455,30.045455,9.181818,21.181818,24.636364,22.227273,22.5,22.318182,8.136364,9.5,17.954545,11.863636,661.136364,740.772727,387.818182,482.818182,166.227273,104.863636,29.136364,42.545455,44.727273,6.590909,7.409091,15.909091,4.681818,9.5,5.772727,9.272727,95.590909,42.227273,6.727273,41.727273,24.454545,0,0,4.681818,6,4475.090909,,,,,,,,,,,,,,
BK,479.863636,953.545455,738.272727,226.090909,39.045455,352.181818,365.863636,588.5,542.727273,281.181818,309.772727,193.590909,195.727273,147.863636,164.318182,98.5,165.363636,173.5,108.5,162.227273,124.590909,74.227273,48.636364,44.909091,79.863636,992.772727,991.909091,692.545455,743.772727,328.272727,254.590909,140.454545,129.818182,137.681818,36.909091,58.363636,116.318182,38.681818,71.818182,36.363636,41.909091,155.590909,149.818182,50.318182,73.227273,126.954545,0,0,28.818182,53.727273,12109.5,,,,,,,,,,,,,,
AS,110.545455,131.909091,82.636364,62.090909,306.954545,19.681818,80.545455,262.227273,268.181818,67.454545,99.772727,67.636364,50.090909,32.045455,36.363636,17.409091,36.227273,32.681818,24.045455,26.045455,25,10.590909,6.863636,12.136364,23.590909,744.136364,814.636364,448.636364,524.772727,236.227273,120.590909,32.272727,47.545455,54.318182,11.090909,8.863636,20.818182,8.318182,15.5,7.590909,12.045455,59.818182,37.454545,13.681818,28.409091,29.636364,0,0,5.454545,10.681818,5185.227273,,,,,,,,,,,,,,
MA,155.272727,258.318182,116.272727,82.136364,346.772727,82.409091,39.454545,203.863636,232.545455,66.045455,175.954545,139.045455,121.454545,100.636364,96.863636,60,72.409091,96.227273,162.136364,192.227273,143.727273,56.363636,45.863636,55.5,50.909091,1145.954545,1224.909091,836.227273,847.727273,393.181818,230.045455,82.909091,99.681818,99.045455,22.590909,24.590909,76.681818,53.045455,139.363636,32.136364,37,122.045455,66.181818,27.636364,32.545455,60.045455,0,0,51.954545,138.318182,8996.227273,,,,,,,,,,,,,,
19,196.636364,475,312.909091,282.227273,519.454545,262.363636,192.863636,41.818182,51.318182,47.727273,191.818182,160.5,242.045455,233.454545,220.409091,153.681818,219.681818,293.636364,317.681818,425.590909,332.772727,180.136364,127.954545,161.727273,66.545455,1465.318182,1615.045455,945.636364,1045.045455,463.409091,335.454545,175.318182,154.909091,151.045455,72.590909,74.545455,240.590909,144.318182,180.5,71.636364,71.909091,97.227273,142.272727,121.954545,41.136364,178.772727,0,0,61.863636,138.227273,13698.681818,,,,,,,,,,,,,,
12,228.772727,600.227273,343.954545,264.5,453.863636,259.545455,223.227273,48.363636,42.636364,37.227273,210.409091,267.636364,376.636364,349.318182,312.5,184,256.318182,294.5,331.227273,462.909091,313.590909,141.409091,127,162,96.272727,1369.636364,1365.090909,935.772727,965.409091,363.818182,328.409091,204.681818,209.136364,239.409091,132.681818,125.954545,270.954545,147.181818,237.909091,90.227273,94.772727,148.272727,165.227273,134.818182,52.818182,177.136364,0,0,63.909091,188,14399.272727,,,,,,,,,,,,,,
LM,43.363636,102.590909,81.772727,64.909091,269.727273,72.545455,70.227273,46.636364,49.409091,18.590909,166,244.318182,351.772727,271.590909,174.863636,85.454545,135.772727,122,40.636364,28.5,27.590909,7.863636,9.909091,29.272727,39.681818,983.818182,1085.409091,741.909091,675.636364,283.545455,156.181818,69.045455,105.5,139.5,8.181818,124.545455,209.045455,8.909091,29.272727,15.681818,16.681818,39.590909,16.727273,93.681818,26,108.227273,0,0,10.545455,24.863636,7527.5,,,,,,,,,,,,,,
FV,81.045455,110.227273,48.318182,67.954545,310.954545,100.227273,181.590909,194.681818,232.090909,167.363636,28.318182,230.5,231.090909,208.727273,224.636364,100.590909,84.5,108.136364,53.363636,28.181818,32.727273,16.363636,23.590909,48.545455,102.909091,995.181818,1061.090909,929.136364,863.136364,353.045455,227.727273,73.545455,120.409091,174.181818,9.909091,58.772727,128.136364,9.954545,28.772727,14.318182,28.136364,77.636364,33.727273,61.727273,16,85.454545,0,0,12.818182,23.863636,8403.318182,,,,,,,,,,,,,,
CL,74.181818,131.727273,42.454545,40.636364,173.5,71.045455,144.772727,178.045455,288.545455,218.818182,225.272727,26.590909,135.727273,168.954545,157.5,83.909091,101,109.545455,60.227273,45.136364,37.363636,19.181818,17.409091,29.318182,96,620.409091,598.136364,556.545455,441.772727,162.727273,140.454545,74.272727,88.454545,158.772727,16.818182,45.272727,138.227273,12.045455,44.227273,25.545455,25.045455,36.045455,30.5,66.545455,26.727273,139.636364,0,0,27.818182,41.409091,6194.272727,,,,,,,,,,,,,,
SL,34.045455,64.909091,31.5,32.818182,193.227273,51.636364,125.636364,257.954545,377.863636,351.181818,249.954545,147.090909,18.590909,140.090909,155.227273,80.727273,95.363636,122.227273,31.227273,28.5,22.681818,8.363636,10.045455,24.272727,45.454545,784.772727,864.590909,628.136364,549.227273,177.727273,105.409091,57.681818,88.545455,130.909091,9.909091,43.727273,116.090909,9.772727,17.818182,15,13.409091,52.545455,11.454545,52.5,8.454545,85.727273,0,0,9.045455,16.136364,6549.181818,,,,,,,,,,,,,,
BF,25.090909,43.045455,17.545455,22.272727,140.727273,32.045455,101.090909,234.909091,332.363636,261.318182,203.681818,168.954545,127.818182,15.681818,131.454545,68.909091,85.863636,149.272727,22.636364,15.363636,13.636364,4.045455,2.772727,13.818182,41.318182,692.318182,748.227273,553.727273,493.818182,156.136364,89.454545,32.090909,52.318182,106.090909,12,52.454545,134.409091,5.409091,10.409091,11.954545,17.818182,28.045455,10.181818,71.090909,7.272727,91.454545,0,0,5.954545,7.136364,5665.409091,,,,,,,,,,,,,,
HY,46.272727,88.409091,29.681818,31.318182,158.909091,35.863636,92.409091,219.909091,308.5,165.5,220.590909,166.863636,161.318182,105.318182,21,98.954545,216.727273,271.318182,37.181818,17.227273,20.863636,6.136364,6.363636,21.272727,35.227273,507.318182,548.227273,359.727273,312.772727,103.636364,59.727273,36.727273,41.181818,69.090909,5.318182,20.636364,78.181818,12.318182,32.454545,8.590909,15.136364,24.227273,8.454545,33.863636,11.318182,143,0,0,12.636364,29.454545,5057.136364,,,,,,,,,,,,,,
SH,19.545455,20.318182,8.636364,9.681818,90.954545,18.318182,58.863636,146.772727,171.636364,77.681818,93.636364,85.5,73.181818,59.090909,84.590909,14.181818,75.272727,119.727273,8,8.590909,8.863636,2.5,1.681818,7.227273,17.5,438.772727,416.045455,239.545455,262.545455,80.545455,47.727273,17.045455,27.136364,67.818182,6.727273,12.545455,36.181818,4.045455,8.909091,3.909091,7.227273,15,4.863636,21.272727,7.545455,93.454545,0,0,3.045455,4.954545,3108.818182,,,,,,,,,,,,,,
UC,15.954545,40.409091,18.727273,22.590909,161.954545,36.363636,67,225.590909,249.909091,131.363636,92.727273,101.681818,99.818182,91.545455,215.090909,77.090909,23.136364,183.090909,14.909091,16.409091,18.318182,4.681818,3.636364,12.454545,14.818182,937.272727,825.272727,385.227273,347.272727,94.636364,35.954545,11.954545,24.409091,75.772727,5.681818,18.409091,62.681818,2.363636,9.772727,5.227273,2.545455,27.045455,3.590909,27.818182,17.454545,108.409091,0,0,2.772727,9.181818,4980,,,,,,,,,,,,,,
FM,27.181818,53.272727,30.454545,25.590909,177.818182,32.136364,98.454545,288.181818,289.227273,126.727273,112.636364,114.636364,127.772727,151.636364,280.636364,130.909091,191.681818,39.590909,17.590909,20.818182,16.045455,5.772727,8.818182,17.727273,14,1409.681818,1202.181818,457.772727,373.590909,115.227273,33,24.454545,33.590909,75.136364,6.681818,24.954545,60.954545,4.818182,16.863636,5.772727,11.227273,33.954545,4.454545,25.318182,26.272727,122,0,0,4.318182,11.545455,6483.090909,,,,,,,,,,,,,,
CN,21.363636,26.545455,22.954545,23.909091,112.5,27.318182,158.090909,315.772727,328.863636,38.045455,51.818182,55.909091,30.772727,21.681818,37.045455,8.136364,15.5,18.863636,32.590909,105.954545,246.363636,94,52.818182,98.636364,16.5,875.181818,891.090909,527.318182,466.681818,143.227273,88.909091,54.272727,63.772727,122.727273,28.5,5.454545,8.727273,47.181818,165.181818,24.863636,25.136364,148.045455,34.727273,3.727273,36.863636,20.045455,0,0,95.727273,104.181818,5943.5,,,,,,,,,,,,,,
PH,17.272727,20.181818,19.681818,22.181818,158.636364,25.181818,194.5,420.272727,456.681818,22.590909,24.363636,42.272727,27.954545,14.727273,20.363636,8.818182,15.954545,21.136364,98.136364,29.363636,123.772727,49.727273,39.5,136.409091,11.818182,1704.409091,1795.545455,679.545455,647.227273,193.090909,84.272727,86.181818,64.909091,89.863636,14.318182,4.409091,3.863636,39.5,94.181818,28.681818,35.681818,194.227273,28.272727,4.636364,55.409091,16.818182,0,0,39.5,46.909091,7972.954545,,,,,,,,,,,,,,
WC,27.090909,33.818182,27.818182,23.636364,135.636364,26.227273,147.909091,336.681818,337.545455,27.409091,30.727273,40.681818,25.590909,14,21.727273,9.590909,19,17.772727,284,137.272727,30.590909,62.590909,43.545455,153.681818,17.954545,1405.727273,1424.363636,526.272727,495.090909,123.772727,69,53.181818,48.772727,71.545455,16.454545,5.636364,5.681818,66.409091,141.363636,22.363636,23.681818,186.045455,27.863636,2.454545,49.454545,10.954545,0,0,58.454545,93,6960.045455,,,,,,,,,,,,,,
LF,9.136364,10,7.954545,7.454545,74.863636,10.681818,54.818182,182.636364,142.045455,7.636364,15.136364,20.454545,6.454545,3.954545,5.409091,3.136364,4,5.954545,108.636364,59.863636,59.272727,15.636364,14.772727,76.363636,4.409091,905.727273,847.772727,278.545455,279.590909,60.318182,40.681818,21.5,15.090909,29.363636,5.727273,1.409091,1.409091,10.272727,25.090909,6.136364,9.363636,100.636364,13.090909,1.090909,29.681818,5,0,0,18.636364,17.863636,3634.681818,,,,,,,,,,,,,,
OR,8.818182,15.954545,6.227273,10.045455,49.590909,7.363636,49.727273,122.818182,130.772727,10.5,21.090909,17.772727,9.636364,2.5,6.5,2.363636,2.954545,8.818182,42.272727,34.954545,46.136364,20.590909,15.045455,67.136364,5.045455,828.909091,743.409091,248.454545,235.318182,64.045455,31.318182,29.363636,19.5,23.818182,2.636364,2.272727,2.818182,7.863636,11.318182,7.727273,8.772727,87.045455,12.090909,0.454545,17.727273,5.681818,0,0,8.363636,12.454545,3126,,,,,,,,,,,,,,
RR,26.045455,33.136364,27.727273,22.272727,47,13.409091,64.136364,190.272727,185.818182,28.818182,45.045455,27.954545,22.409091,9.227273,18.318182,10.136364,15.045455,18.045455,97.5,130.772727,151.727273,72.318182,70.545455,20,19.318182,1105.090909,1203.772727,578.454545,664.090909,222.454545,111.454545,48.909091,56.681818,44.363636,5.045455,6,10.363636,24.590909,36.409091,11.227273,13.272727,147,26.545455,5.045455,20.181818,10.636364,0,0,23.136364,36.818182,5778.545455,,,,,,,,,,,,,,
OW,26.545455,36.727273,13.136364,10.545455,70.363636,21.318182,49.454545,62,101.409091,28.636364,106.954545,100.636364,46.818182,42.681818,34.545455,17.318182,12.818182,13.181818,14.909091,9.272727,17.272727,4.227273,3.409091,19.727273,26.954545,1865.454545,1570.181818,1062.636364,916.318182,373.545455,222.818182,65.227273,86.090909,71.954545,14.818182,10,32.727273,6.090909,14.636364,15,24.409091,109.909091,36.5,9.5,10.227273,14.318182,0,0,11.318182,17.863636,7452.409091,,,,,,,,,,,,,,
