Exit stations,Entry stations->,,WEEKDAY,,,Dec 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,16.166667,103.222222,79.166667,64.333333,326.555556,87.611111,126.055556,149.611111,166.722222,36.5,78.222222,57.333333,35.333333,24.333333,28.333333,16.055556,16,23.111111,13.333333,14.388889,21.333333,4.388889,6.444444,23,26.944444,391.333333,386.555556,471.666667,319.833333,169.5,166.388889,46,64.666667,90.888889,17.333333,4.611111,12.333333,4.277778,14.833333,9.222222,18.666667,52.611111,20.944444,5.055556,11.777778,17.166667,0,0,8.611111,11.777778,3860.555556,,,,,,,,,,,,,,
EN,110.333333,20.944444,81.888889,83,671.222222,124.944444,236.277778,410.611111,539.055556,83.833333,98.111111,107.833333,53.611111,39.277778,59.555556,23.666667,33.5,38.777778,29.111111,18.555556,27.666667,8.555556,10.388889,27.333333,37.277778,884.722222,915.888889,902.722222,719.888889,264.777778,200.777778,82.166667,113.222222,142.833333,28.222222,9.111111,23.777778,6.166667,11.444444,34.611111,40.5,117.222222,63.111111,11.888889,36.722222,44.055556,0,0,5.5,6.388889,7641.055556,,,,,,,,,,,,,,
EP,84.055556,78,11.5,53.111111,565.277778,71.611111,115.833333,275.666667,310.111111,58.944444,42.055556,45.666667,26.111111,15.666667,26.333333,10.055556,15.444444,26.388889,17.333333,15.777778,25.833333,11.277778,4.444444,26.833333,10.555556,602.5,624.888889,478.444444,404.777778,129.277778,70.444444,27.388889,36.722222,51.555556,7.388889,4.166667,13,4.166667,8,7.333333,12.166667,72.388889,27.777778,6.111111,28.611111,19.611111,0,0,4.277778,3.333333,4588.222222,,,,,,,,,,,,,,
NB,61.555556,79.611111,53,14.388889,160.444444,52.388889,74.833333,238.333333,231.944444,48.555556,63.777778,40,24.277778,17.611111,23.888889,6.333333,18.833333,20.166667,15.444444,18.333333,19.388889,7.055556,8.333333,20.055556,10.222222,602.944444,650.166667,411.888889,432.666667,149.333333,90.388889,27.5,34.222222,34.111111,4.833333,6,11.277778,2.888889,9.722222,6.722222,8.722222,80.444444,33.944444,4.111111,34.833333,22.166667,0,0,4.666667,5.166667,3997.5,,,,,,,,,,,,,,
BK,363,723.555556,568.888889,173.888889,30.833333,315.222222,297.555556,467.277778,446.833333,170.555556,242.555556,139.944444,149.166667,108.888889,104.333333,60.333333,117,122.055556,88.055556,131.888889,105.444444,51.055556,40.444444,35,67.166667,806.666667,783.5,650.777778,562.277778,246.944444,194.666667,110.277778,87.333333,99.722222,25.666667,41.944444,91.277778,27.888889,62.277778,26.166667,33.388889,124.888889,103.388889,40.277778,49.555556,105.055556,0,0,25.5,41.222222,9461.611111,,,,,,,,,,,,,,
AS,97.222222,117.277778,75.833333,53.5,280.388889,15.666667,72.555556,234.722222,232.388889,55.833333,86.5,62.666667,41.444444,30.5,30.166667,15.666667,29.888889,24.277778,23.888889,24,21.222222,7.833333,6.333333,11.111111,21.111111,632.5,685.888889,449.833333,452.222222,218,112.555556,26.777778,39.222222,38.611111,10.055556,7.333333,19.722222,5.222222,10.888889,7.277778,13.444444,54.222222,29.277778,11.333333,24.166667,30.944444,0,0,4.555556,8.833333,4564.888889,,,,,,,,,,,,,,
MA,136.777778,230.666667,103.944444,70.277778,280.666667,78.5,31.444444,175.555556,205.166667,47.388889,151.722222,132.444444,108.277778,90.722222,87.944444,49.222222,63.888889,84.333333,135.555556,167.666667,134.333333,50.833333,38.611111,50.888889,44.555556,959.444444,1063.444444,801.555556,747.444444,351.277778,207.944444,73.944444,86.222222,80.111111,19.333333,21.888889,69.111111,47.166667,132.388889,25.5,32.5,107.444444,57.666667,23.666667,28.722222,55.777778,0,0,48.444444,116.666667,7909.055556,,,,,,,,,,,,,,
19,168.777778,424,279.277778,247.777778,414.388889,237.944444,171.944444,32.666667,48.888889,40.666667,173.555556,154.166667,211,203.333333,193.5,139.222222,186.944444,237.5,272.611111,362.888889,289.777778,150.888889,106.388889,152.611111,55.888889,1277.611111,1388.722222,916.666667,925.833333,415.388889,287.722222,147.111111,129.611111,127.888889,70.277778,68.833333,215.5,121.666667,168.666667,61.333333,68.055556,91.833333,126.111111,109.666667,36.055556,166.333333,0,0,56.944444,124.222222,12058.666667,,,,,,,,,,,,,,
12,187.111111,556.666667,307.055556,238.166667,373.444444,223.166667,195.444444,45.388889,36.555556,28.388889,196.555556,235.055556,337.888889,300.777778,278.722222,165.111111,238.444444,258.444444,298.444444,408.277778,299.388889,138.333333,124.166667,140.111111,85.722222,1199.722222,1196.555556,920.222222,844.111111,311.666667,287.777778,178.722222,186.555556,212.944444,124.611111,116.388889,246.5,136.444444,219.722222,89.444444,82.166667,118.944444,149.722222,127.555556,42.388889,167,0,0,56.444444,176.055556,12888.5,,,,,,,,,,,,,,
LM,29.944444,76,59.944444,49.5,160.555556,58.333333,47.555556,38.722222,32.388889,16.444444,120.444444,202.055556,284.555556,233.444444,138,72.388889,113.277778,105.777778,36.222222,24.111111,21.666667,7.611111,6.055556,23,29.555556,860.611111,927.222222,740.055556,589.444444,248.055556,145.777778,57.555556,79.888889,109.611111,7.722222,110.333333,175.666667,8.333333,20.5,10.166667,14.222222,33.944444,15.444444,82.111111,25,86.722222,0,0,7.444444,18.944444,6362.333333,,,,,,,,,,,,,,
