Exit stations,Entry stations->,,WEEKDAY,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,21.315789,106.368421,79.368421,65.684211,419.578947,84.315789,123.526316,159.263158,171.105263,56.631579,80.157895,56,36.894737,22.894737,31.631579,16.526316,17.947368,25.315789,13.842105,15.210526,24.105263,6.578947,8.210526,23.684211,22,379.263158,405.789474,454.736842,354.631579,180.157895,188.052632,50.789474,74.789474,106.105263,17.315789,4,15.578947,4.105263,15.368421,11.263158,18.842105,51.210526,26.157895,4.894737,9.789474,16.421053,0,0,8.684211,11.842105,4097.947368,,,,,,,,,,,,,,
EN,103.789474,20.578947,73.210526,86.631579,819,119.052632,240.263158,447.842105,552.157895,112.578947,98.526316,99.052632,53.157895,37.894737,78.842105,21,29.473684,38.368421,25.631579,17.473684,28.684211,7.789474,10.631579,32.315789,30.157895,873.578947,975.263158,858.421053,761.210526,281.789474,200,85.894737,118.684211,184.105263,27.052632,10.157895,22.947368,5.894737,11.684211,31.315789,37,105.578947,71.473684,10.894737,30.736842,41.263158,0,0,7.052632,7.684211,7943.789474,,,,,,,,,,,,,,
EP,79.157895,74.105263,11,50.368421,735.684211,75.736842,116.578947,300.473684,332.947368,75.473684,41.052632,39.368421,28.736842,14.052632,25.894737,9.263158,17.105263,27,20.157895,16.526316,21.157895,9.421053,4.421053,28.368421,12.421053,577.473684,659.684211,409.105263,450.526316,140.947368,70.631579,27.684211,40.631579,70.368421,6.368421,4.684211,10.473684,2.894737,6.473684,5.105263,13.157895,56.315789,29.894737,8.157895,25.368421,22.631579,0,0,2.421053,4.947368,4812.421053,,,,,,,,,,,,,,
NB,65,82.578947,49,14.210526,221.052632,61.789474,82.210526,253.578947,255.157895,57.526316,59,33.052632,25.947368,18.842105,30.631579,7.473684,19.473684,20.052632,17.789474,20,23.842105,4.947368,7.684211,19.157895,12.526316,631.736842,717.736842,382.684211,489.894737,163.052632,91.052632,31.473684,39.315789,44.421053,4.684211,4.736842,13.263158,3.421053,10.631579,6.315789,8.894737,66.578947,37.894737,6.105263,32.263158,24,0,0,4.578947,5.473684,4282.736842,,,,,,,,,,,,,,
BK,446.263158,882.105263,734.631579,233.894737,44.736842,366.684211,369,558.526316,535.052632,277.473684,287.684211,176.105263,200.578947,141.052632,134.105263,83.526316,151.157895,154.684211,106.894737,156.263158,133.052632,66.894737,52,48.421053,76.894737,935.473684,983.473684,691.157895,747.526316,334.368421,249.157895,139.894737,121.578947,138.947368,36.578947,61,109.157895,33.789474,69.105263,40.947368,45.684211,128.263158,142.473684,43.473684,59.842105,143.210526,0,0,31.631579,48.315789,11752.736842,,,,,,,,,,,,,,
AS,90.578947,117,77.684211,63.473684,350.263158,16.368421,77.210526,260.631579,265.789474,74.315789,86.421053,62.421053,44.315789,32.736842,31.947368,19.631579,30.789474,24.578947,26.473684,24.368421,19.315789,9.263158,6.210526,12.421053,23.789474,717.052632,787.315789,435.368421,513.368421,230.894737,115.842105,33.105263,44.473684,45.052632,9.894737,8.526316,17.263158,6.157895,11.631579,7.578947,16.421053,48.947368,34.210526,11.263158,19.578947,31.052632,0,0,4.315789,8.842105,5006.157895,,,,,,,,,,,,,,
MA,131.421053,239,102.105263,71.894737,349,82.947368,39.421053,211.789474,226.578947,68.631579,149.631579,114.421053,105.736842,91.789474,97.315789,51.631579,61.526316,84.052632,144.789474,167.526316,142.105263,58.631579,40.684211,53.263158,42.631579,1095.105263,1260.263158,782.789474,847.105263,372.263158,204.105263,78,94,93.315789,23.473684,26.894737,77.789474,47.052632,139.052632,27.421053,28.736842,86.052632,60.210526,25.105263,23.315789,68.315789,0,0,49.631579,117.210526,8555.736842,,,,,,,,,,,,,,
19,174.947368,473,300.105263,259.789474,496.157895,260.157895,206.684211,38.315789,62.210526,45.842105,166.263158,146.894737,224.263158,210.421053,210.789474,147.947368,205.421053,259.210526,284,389.157895,318.578947,165.631579,120.210526,165.315789,58.263158,1452.157895,1613.578947,909.684211,1060.947368,470.947368,324.947368,169.631579,145.421053,148.789474,79.421053,72.473684,225.631579,131.473684,173.157895,70.473684,72.421053,77.368421,134.263158,113.526316,28.421053,200.421053,0,0,60.736842,124.789474,13250.263158,,,,,,,,,,,,,,
12,191.578947,574.157895,323.736842,261.052632,467.368421,257.421053,222.473684,59.631579,43.421053,42.631579,218.894737,247.210526,349.842105,320.789474,296.052632,179.421053,252.631579,280.578947,327.052632,451.736842,316.894737,147.842105,121,174.736842,94,1341.736842,1399.736842,949.631579,994.736842,356.473684,320.210526,206,200.368421,238.842105,131.842105,128.684211,272.421053,150.947368,232.421053,95.894737,89.631579,114.210526,166.157895,141.789474,47.578947,187.105263,0,0,58.263158,182.157895,14229,,,,,,,,,,,,,,
LM,49.105263,107.684211,74.052632,57,273.315789,68,65.842105,51.052632,45.315789,16.578947,147.052632,225.736842,294.526316,229.894737,156.368421,80.789474,118.157895,101.894737,39.526316,21.789474,26.105263,6.526316,7.842105,33.842105,38.789474,941.421053,1099.947368,695.684211,677.842105,271.315789,148,63.315789,92.052632,126.210526,7.736842,113.263158,178.526316,8.526316,24.842105,11.263158,15.473684,27,20.315789,83.736842,16.315789,94.368421,0,0,8.894737,21.789474,7084.631579,,,,,,,,,,,,,,
FV,82.789474,93.578947,46.578947,67.736842,296.631579,82.789474,157.210526,183.578947,237.894737,157.526316,27.947368,207,198.947368,182.631579,192.368421,79.947368,68.421053,90.315789,39.473684,25.157895,35.631579,13.473684,18.736842,48.894737,84.736842,931.315789,1008.736842,870.421053,819.578947,351.947368,218.894737,68.315789,107.842105,158.473684,9.315789,46.894737,112.947368,7.368421,24.526316,13.526316,27.947368,57.315789,26,53.526316,9.421053,78.631579,0,0,9.578947,18.210526,7750.736842,,,,,,,,,,,,,,
CL,61.842105,104.157895,39.789474,33.210526,152.473684,63.684211,121.947368,161.263158,267.842105,200.578947,183.368421,22.684211,107.315789,132.894737,125.526316,73.210526,74.947368,84.578947,48.157895,41.210526,35.421053,15.789474,12.947368,23.736842,80.052632,549.894737,559.315789,507.105263,422.473684,149.315789,121,63,70.736842,120.578947,14.105263,37.789474,116.789474,11.842105,39,15.789474,23.105263,32,21.157895,49.315789,21.894737,103.368421,0,0,22.421053,33.263158,5373.894737,,,,,,,,,,,,,,
SL,39,57.368421,25.473684,27.947368,202,46.210526,107.894737,231.526316,358.368421,295.947368,202.421053,109.894737,15.684211,98.894737,139.842105,58.315789,88.368421,101.947368,29.473684,26.210526,22.052632,6.631579,7.052632,22.947368,39.947368,744.789474,855.526316,616.684211,542.684211,171,101.578947,47.263158,79.789474,126.947368,6.526316,38.578947,105.157895,9.052632,12.368421,13.526316,13.105263,45.684211,9.789474,50,7.842105,75.736842,0,0,6.421053,12.842105,6054.315789,,,,,,,,,,,,,,
BF,22.578947,33.684211,13.210526,20.526316,142.315789,31.894737,94.157895,211.263158,310.421053,216.473684,170.315789,130.263158,92.789474,17.315789,91.947368,53.473684,79.473684,139.157895,21.684211,10.473684,8.631579,2.789474,2.052632,10.473684,28.210526,676.526316,716.631579,534,473.842105,160.263158,84.315789,32.842105,56.789474,94.842105,10.631579,40.526316,124.894737,3.263158,6.842105,10.263158,15.052632,22.315789,9.578947,59.315789,5.684211,84.421053,0,0,4.263158,5.052632,5187.736842,,,,,,,,,,,,,,
HY,34.210526,80.473684,26.789474,30.631579,125.421053,38.315789,91.210526,218.947368,289.263158,152.157895,198.105263,136.263158,137.368421,86.736842,17.947368,84.684211,196.789474,222.631579,34.105263,20.947368,19.315789,7.789474,4.578947,16.315789,34.052632,472.473684,530.894737,345.315789,312.631579,104.736842,56.736842,33.368421,38.105263,63.631579,4.315789,16.210526,70.157895,14.789474,28.578947,6.052632,9.421053,20.842105,6.210526,34.263158,8.526316,134.421053,0,0,11.947368,29,4657.684211,,,,,,,,,,,,,,
