Exit stations,Entry stations->,,WEEKDAY,,,Jul 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,27.954545,104.318182,86.090909,66.090909,374.409091,97.409091,132.090909,159.227273,175.818182,47.727273,84.409091,67,43.5,21.818182,21.863636,18.727273,17.090909,23.045455,20.727273,17,21.363636,7.045455,9.136364,20.363636,29.636364,442.090909,427.318182,495.954545,375.136364,200.454545,198.954545,50.045455,64.863636,40.772727,17.409091,5.363636,14.227273,4.090909,15.545455,15.136364,21.590909,69.409091,28.636364,6.045455,14.409091,16.181818,0,0,9.454545,11.727273,4238.681818,,,,,,,,,,,,,,
EN,109.090909,20.136364,73.909091,74.590909,708.772727,128.727273,232.409091,435.090909,538.909091,87.454545,92.954545,114.363636,57.409091,34.090909,48.181818,21.863636,34.272727,37.818182,28.090909,17.409091,26.272727,6.909091,11.5,28.636364,36.545455,914.045455,908.045455,862.090909,760.090909,278.227273,193.863636,76.454545,96.863636,74.454545,28.090909,6.727273,26.181818,4.727273,11.909091,30.590909,37.090909,145.863636,64.454545,14.090909,39.363636,46,0,0,9.818182,9.590909,7644.045455,,,,,,,,,,,,,,
EP,84.818182,73.272727,12.636364,51.272727,631.909091,74.318182,130.090909,277.318182,321.272727,48.409091,43.636364,47.772727,32.090909,14.363636,20.454545,7.727273,15.5,22.681818,17.181818,19.454545,21.272727,7.5,6.590909,26.5,15.272727,577.818182,625.954545,408.227273,423.636364,140.909091,67.5,30.681818,28.318182,25.772727,4.136364,5.136364,12,3.045455,8.227273,6.863636,10.5,84.727273,34,5.545455,26.409091,22.772727,0,0,3.181818,4.409091,4583.090909,,,,,,,,,,,,,,
NB,68.136364,70.136364,47.954545,15.136364,143.545455,49.681818,93.454545,238.772727,246.545455,43.136364,58.454545,45.727273,24.954545,18.363636,23.818182,6.954545,17.590909,23.727273,21.545455,19.954545,22.454545,7.409091,10.181818,14.272727,13.909091,667.545455,663.545455,353.590909,444.636364,170.5,93.727273,31.727273,26.954545,24.272727,5.318182,7.590909,13.727273,5.772727,8.181818,7.5,7.409091,97.863636,33.227273,7.863636,31.409091,21.590909,0,0,3.363636,4.863636,4078,,,,,,,,,,,,,,
BK,419.045455,746.363636,622.681818,159.227273,53.272727,298.681818,344.863636,540.727273,539.5,200.454545,278.727273,174.318182,190,117.5,120.727273,82.818182,177.863636,202.681818,101,142.909091,129.272727,79.545455,59.681818,41.818182,71.545455,1205,1130,809.227273,747.590909,335.227273,241.045455,141.363636,113.772727,88.727273,35.272727,55.863636,176.454545,30.227273,69.818182,36.136364,39.818182,148.045455,160.045455,73.045455,52.681818,215.136364,0,0,40.409091,47.545455,11887.681818,,,,,,,,,,,,,,
AS,103.409091,118.409091,77.272727,60.590909,278.954545,19.318182,89.5,243.090909,248.590909,54.045455,96.909091,75.454545,49.181818,30.636364,33.818182,19.090909,34.045455,26.363636,24.454545,21.090909,21.863636,7.954545,8.045455,10.681818,24.818182,743.818182,766.772727,428.5,488.772727,225.5,105.545455,37.590909,34.409091,21,10.909091,8.045455,22.954545,5.727273,10.863636,10.318182,15,65.636364,33.409091,11.954545,25.363636,34.818182,0,0,4.954545,8.863636,4898.318182,,,,,,,,,,,,,,
MA,144.636364,225.863636,113.636364,84.5,332.727273,98.727273,46.409091,204.136364,228.090909,54.545455,137.681818,130.5,115.545455,78.272727,81.227273,43.318182,70.318182,75.227273,138.181818,166.545455,145.545455,55.636364,37.772727,55.954545,49.909091,1174,1254,781.772727,873.636364,396.818182,200.954545,80.409091,67.454545,57.5,25.363636,28.409091,69.181818,40.5,141.5,23.909091,25.363636,127.090909,61,22.272727,28.045455,61,0,0,48.681818,111.227273,8615,,,,,,,,,,,,,,
19,172.727273,452.545455,273.045455,246.909091,512,236.954545,199.772727,45.5,48.590909,30.181818,163.5,184.090909,220.454545,200.545455,201.272727,131.227273,187.681818,235.409091,278.772727,352.909091,292.636364,158.590909,108.681818,161.409091,65.772727,1443.045455,1574.681818,914.772727,1014.318182,445.227273,303.636364,163.545455,137.227273,132.136364,75.090909,80.409091,221.727273,116.590909,169.045455,63.5,63.454545,103.181818,129.909091,107.545455,34.136364,213.090909,0,0,52.681818,123.045455,12843.181818,,,,,,,,,,,,,,
12,199.181818,571.363636,309.727273,260.5,473.590909,248.863636,215.318182,54.545455,53.954545,31.5,206,242.136364,344.454545,309.636364,281.727273,175.909091,239.454545,266.545455,311.818182,453.090909,297.590909,161.681818,115.5,179.272727,78.272727,1355.363636,1328.5,918.545455,990.5,358,305.454545,195.681818,187.954545,202.954545,113.545455,123.590909,272.409091,119,227.818182,94.454545,85.454545,140.818182,144.454545,131.909091,47.318182,198.045455,0,0,60.136364,170.863636,13854.409091,,,,,,,,,,,,,,
LM,39.954545,84.863636,45.863636,45.409091,176.545455,55,55,29.045455,33.545455,19.5,144.681818,229.136364,297.136364,238.818182,134.863636,75.318182,106.136364,108.681818,31.318182,20.136364,26.227273,7.181818,7.772727,23.136364,27.363636,949.5,1034.5,683.045455,659.090909,255.227273,138.590909,59.045455,70,59.454545,4.545455,130.045455,193.227273,5.772727,24.409091,14.227273,15.272727,41.181818,15.318182,86.863636,22.545455,92.136364,0,0,8.909091,20.863636,6646.409091,,,,,,,,,,,,,,
