Exit stations,Entry stations->,,WEEKDAY,,,Sep 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,25.4,131.2,94.7,73.75,492.6,101.25,146.45,165.3,184.5,57.6,89.4,72.25,44.75,23.55,37.45,18.25,17.45,25.8,21.45,13.95,21.15,5.05,11.55,25.3,26.6,442.55,451.3,493.75,378.45,216.15,210.1,49.65,87.85,137.1,18.8,5.5,10.3,2.95,19.2,15.8,25.4,66.1,24.35,5.55,14,18,0,0,11.45,12.8,4643.8,,,,,,,,,,,,,,
EN,132.5,26.7,95.45,87.9,883.4,131.35,257.1,450.4,557.65,108.45,98.15,139.6,52.25,40.15,84.75,25.7,36.05,38.1,35.5,18.55,23.6,9.1,14.7,30.8,35,942.55,933,852.7,747.1,294.8,210.3,86,131.8,190.2,28.35,11.05,25.3,4.2,12.95,32.75,40.75,126.15,66,11.8,36.65,43.7,0,0,6.95,12,8259.95,,,,,,,,,,,,,,
EP,93.05,93.95,15.3,51.55,767.3,85.4,139.5,291.55,325.2,74.55,52.55,63,30.25,16.6,29.45,5.95,15.8,25.9,21,17.75,20.9,6,8.25,31.75,15.6,601.2,639.8,407.75,450.9,143.55,66.55,28.85,48.45,73.95,5,4.8,9.5,4.5,8.7,7.6,10.9,67.5,34.75,5.25,29.35,25.9,0,0,3.3,4.75,4980.9,,,,,,,,,,,,,,
NB,80.9,85.55,52.9,17,214.75,59.55,95.45,268.5,256.75,61.4,65.7,60.1,29.55,22.4,33,10.2,18.55,26.15,24,21.95,21.25,7.75,10.55,17.65,15.65,674.1,645.05,356.5,492.8,163.35,96.2,31.9,47.75,49.1,7.45,7.6,16.15,2.95,7.3,6.35,9.55,82.55,31.55,5.15,36.2,24.5,0,0,5.5,6.15,4382.9,,,,,,,,,,,,,,
BK,528.2,948.9,784.85,222.75,73.9,362.9,376.25,584,564.85,273.6,303.4,207.3,212.35,145.55,162.2,88.5,167.05,165.6,126.6,149.1,126.25,76.5,53.85,43.45,82.15,1055.2,985.25,674.95,763.45,347.95,275,153.9,134.15,152.35,41.9,68.7,137.6,37.35,79.35,39.65,45.55,127.05,151,49.05,69.65,183.05,0,0,40.25,61.45,12503.85,,,,,,,,,,,,,,
AS,102.5,121.7,82,66.95,332.7,20.6,88.1,258.1,249.4,75.8,108.5,85.55,47.7,38.25,36.8,20.55,35.15,30.7,21.95,21.5,19.05,5.3,8.05,12.35,26.55,748.7,768.8,432.35,516.25,236.6,111.45,34.55,49.85,49.85,12.4,8.7,17.7,6.8,11.7,11.15,14.5,53.45,34.7,10.85,26.75,34.15,0,0,7.85,12.65,5127.55,,,,,,,,,,,,,,
MA,165.8,259.85,127.1,90.5,358.85,93.15,59.55,222.3,245.1,80.45,155.9,169.7,122,87.55,95.9,48.15,79.15,80.95,147.05,179.3,145.45,59.2,37.8,67.7,44.45,1229.6,1294.55,803.15,912.15,403.4,217.25,85.15,100.4,104.5,27.35,30.25,63.75,41.75,146.75,25.8,30.6,120.7,67.95,23.55,31.95,70.3,0,0,61.8,124.25,9239.8,,,,,,,,,,,,,,
19,182.2,474.3,301.45,271.3,538.75,257.55,220.85,51.7,58.4,41.9,186.2,190.3,246.8,220.95,215,144.65,209.25,261.6,292.8,384.8,315.05,177.5,123.65,185.8,65.15,1608.65,1648.05,962.35,1080.15,488.7,338,173,164.8,161.15,78.1,79.95,229.35,130.65,179.15,68.4,65.75,104.6,134.9,116.25,42.75,224.4,0,0,61.8,137.65,13896.45,,,,,,,,,,,,,,
12,208.7,586.15,319.45,258.45,472.75,239.6,229.15,54.55,55.8,39.05,216.6,275.95,354.45,321.15,289.95,186.5,234.65,281.85,324.65,465.7,309.85,155.3,119.35,177.35,87.5,1383.65,1353.85,919,974.95,372.4,318.3,189.5,200.05,238.85,118.2,120.3,286.3,132.8,231.35,99.7,86.85,146.95,147.55,133.6,56.8,192.35,0,0,69.45,180.4,14217.6,,,,,,,,,,,,,,
LM,53.35,106.05,71.3,64.8,267.85,79.7,77.95,40.7,43.6,27.6,177.4,307.25,314.45,255.4,177.95,90.05,117,108.85,31.4,25.2,24.8,7.15,10.15,36.1,39.1,1031.3,1076.45,706.55,678.55,272.55,148.25,67.2,99,124.65,6.8,125.9,201,7.35,23.6,11.8,17.1,39.7,12.75,101.1,25.65,99.8,0,0,14.65,26.75,7473.6,,,,,,,,,,,,,,
FV,90.3,97.3,57.15,72.15,308.85,113.5,165.55,197.55,241.55,180.35,28.35,278.05,240.15,196.35,227.8,84.85,80.2,100.15,50.35,22.85,35.05,13.4,25,57.95,99.65,967.5,1009.05,830.25,821.35,358.15,239.7,65.35,129.15,176.4,12.9,50.9,126.1,5.4,24.05,15,24.25,68.25,23,65.3,17.5,89.9,0,0,15.65,17.85,8217.35,,,,,,,,,,,,,,
CL,78.15,157.05,62.2,60.8,204.95,90.85,183.25,221.9,307,263.45,275.5,38.35,181.9,187.9,201.3,93.7,98.15,129.35,73.5,64.5,61.5,30.35,32.05,48.75,94.9,613.35,590.1,499.95,442.55,183.5,144.3,66.7,78.75,158.8,12.75,83.55,259,23.2,46.75,19.7,24.75,47.4,28.1,111.6,45.55,172.45,0,0,26.9,53.95,6974.95,,,,,,,,,,,,,,
SL,45.4,55.35,30.4,32.1,209.85,51.15,132.1,257.6,369.45,331.1,239.6,215.8,18.3,127.55,171,74.55,80.85,97.55,30.25,27,20.95,9.95,11.5,22.35,39.25,797.2,858.5,605.55,558,184,108.75,48.2,88.3,139.5,8.5,39.6,113.4,7.75,17.85,16.4,13.65,49.65,12.95,56.1,10.8,90.9,0,0,8.45,17.7,6552.65,,,,,,,,,,,,,,
BF,22.5,39.95,13.4,19.55,142.8,37.2,93.85,220.7,321.05,249.75,178.15,178.45,117.95,19.55,99.15,63.4,78.85,129.4,18.75,9.6,8.95,2.95,3.25,14.95,32.2,703.6,729.9,557.65,485.4,163.45,82.4,36.3,58.65,109.1,9.75,42.85,131.3,5.85,6.35,8.1,15.85,31.4,11.55,60,6.55,90.4,0,0,3.5,7.9,5474.1,,,,,,,,,,,,,,
