Exit stations,Entry stations->,,WEEKDAY,,,Nov 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,27.444444,129.555556,93.833333,70.666667,453.333333,100.277778,147.777778,160.166667,191.111111,46.111111,83.444444,60.833333,38.5,24.722222,35.611111,17.222222,16.277778,24.666667,21.611111,14.388889,24.333333,6.611111,10.222222,22.444444,25.666667,445.055556,440.277778,495.166667,371.611111,222.222222,219.388889,51.777778,75.833333,112.666667,18.611111,6.333333,13.055556,4.111111,17.833333,15.222222,24.333333,58.555556,27.055556,7.333333,14.888889,20.055556,0,0,12.666667,9.833333,4530.722222,,,,,,,,,,,,,,
EN,133.944444,27.888889,90.388889,91,827.166667,125.5,246.555556,445.944444,566.111111,100.111111,97.333333,104.055556,59,39.777778,65.388889,26.5,32.277778,41.277778,29.388889,19.944444,27.333333,9.333333,13.5,31.166667,36.222222,899.166667,914.666667,876.444444,753.555556,302.833333,218.888889,89.444444,122,160.055556,29.277778,8.666667,21.444444,4.944444,13,33.722222,45.333333,132.055556,64.888889,12.111111,35.833333,45.055556,0,0,7.555556,12.888889,8090.944444,,,,,,,,,,,,,,
EP,92.777778,90.055556,12.277778,52.111111,725.555556,75,132.055556,286.333333,325.5,75.944444,47.222222,39.166667,29.166667,15.611111,28.888889,6.777778,14.5,26.333333,20.555556,18.666667,20.222222,7.388889,4.777778,30.666667,13.111111,555.611111,602.277778,412.611111,435,142.722222,68.555556,30.277778,40.444444,61.888889,3.222222,4.222222,11.722222,3.722222,8.833333,8.666667,13,68.722222,31.555556,5.444444,26.055556,25.166667,0,0,4.722222,3.888889,4759,,,,,,,,,,,,,,
NB,75.944444,86.055556,51,15.111111,202,50.611111,88.111111,246.555556,250.722222,63.222222,61.666667,34.833333,30.944444,16.166667,32.611111,7.5,15.611111,23.388889,20.944444,26.166667,18.555556,7.388889,9.611111,14.777778,13.444444,617.111111,598.5,376.277778,477.777778,164.222222,94.666667,30.444444,39.277778,43.555556,6.277778,5.888889,14.055556,3.944444,4.722222,6.111111,8.833333,90.666667,30.777778,3.555556,32.888889,25.222222,0,0,3,6.722222,4147.444444,,,,,,,,,,,,,,
BK,494.333333,889.777778,740.166667,208.277778,54.444444,330.388889,352.833333,574.833333,525.666667,245.555556,288.888889,168.5,201.555556,146.166667,145.055556,80.055556,153,140.222222,112.388889,141.666667,110.666667,60.444444,47.944444,41.888889,75.5,945.777778,886.666667,660.888889,705.777778,314.777778,246.333333,138.166667,116.555556,119.833333,39.055556,66.444444,120.166667,35.5,76.333333,37.555556,41.333333,128.333333,139.833333,41.944444,61.277778,155.388889,0,0,34.388889,53.5,11496.055556,,,,,,,,,,,,,,
AS,104.888889,120.666667,79.944444,61.111111,292.444444,15.5,91.888889,256.055556,257.055556,85.444444,98.277778,61,50.944444,33.055556,34.888889,21.611111,33.777778,28.444444,21.944444,24.555556,20.277778,5.666667,6.444444,12.666667,25.388889,687.611111,735.777778,432.111111,503.222222,240.666667,117.166667,34.333333,45.166667,42.444444,10.555556,9.611111,19.388889,6.111111,12.166667,11.388889,13.944444,54.388889,36.722222,10.333333,24.055556,38.055556,0,0,4.166667,13.444444,4946.777778,,,,,,,,,,,,,,
MA,166.555556,244.555556,129.555556,83.722222,340.277778,93.5,51.277778,237.055556,258.888889,76.222222,154.666667,137.222222,122.277778,79.111111,92.722222,46.166667,80.222222,76.666667,143.166667,165.222222,148.333333,59.722222,37.222222,63.222222,39.166667,1142.166667,1227.833333,820.722222,928.444444,414.166667,216.111111,83.055556,90.888889,97.222222,29.722222,31.722222,61.666667,36.277778,139.333333,25.666667,29.055556,111.333333,66.555556,22.5,27.833333,71.666667,0,0,54.444444,118.555556,8973.666667,,,,,,,,,,,,,,
19,180.388889,470.111111,292.888889,256.888889,523.333333,266.444444,225.111111,45.555556,67.111111,39.222222,193.833333,165.722222,240.888889,212.277778,201.777778,142.666667,207.444444,245.777778,293.666667,370.055556,307.5,165.944444,120.277778,182.111111,62.888889,1526.666667,1634.166667,1026.444444,1048.888889,470.222222,342.888889,162.277778,155.388889,151.444444,81.833333,79.444444,217.222222,127.222222,173.555556,68.833333,66.277778,94.111111,127.833333,104.222222,33.722222,218.277778,0,0,59.444444,141,13591.277778,,,,,,,,,,,,,,
12,206.333333,583.944444,317.166667,256.444444,442.222222,238.222222,237.611111,51,50.666667,35.722222,219.5,241.444444,344.5,311.777778,287.166667,187.111111,233.333333,272.166667,314.555556,464.666667,328.444444,154.444444,115.055556,173.333333,83.166667,1308.722222,1308.222222,939.5,956.333333,345.277778,317.166667,182.277778,186.111111,228.777778,122,113.388889,296.222222,136.944444,236.611111,103.388889,91.388889,129.277778,155.666667,130.666667,50.833333,206.111111,0,0,68.555556,191,13954.444444,,,,,,,,,,,,,,
LM,41.555556,97.666667,69.388889,71.333333,237.388889,87,71.388889,38.333333,38.944444,23.222222,164.444444,243.777778,309.611111,252.111111,163.333333,81.388889,113.277778,115.5,33.111111,27.611111,20.166667,8.222222,9.333333,38.611111,37.277778,972,1072.888889,729.444444,673.944444,268.944444,160.888889,61.222222,95.222222,110.666667,7.444444,126.722222,205.222222,7.777778,21.388889,14.222222,17.055556,34.444444,14.111111,100.444444,22.333333,103.055556,0,0,11.166667,23.055556,7247.666667,,,,,,,,,,,,,,
FV,90.111111,92.944444,52.888889,66.333333,284.833333,101.5,156.277778,201.944444,248.777778,171.555556,26.888889,230.444444,226.666667,184.444444,200.777778,74.277778,84.722222,94.388889,39.888889,20.111111,36.833333,15.666667,21.888889,56.944444,96.111111,915.444444,959.444444,830.555556,811.666667,344.055556,224.888889,64.333333,111.666667,142.444444,10.5,48.888889,129.166667,6.666667,24.111111,14.444444,22.666667,64.722222,24.666667,67.666667,13.5,84.555556,0,0,13.222222,21.111111,7827.611111,,,,,,,,,,,,,,
CL,67.388889,118.666667,39.666667,37.111111,147.222222,63.555556,137.111111,167.611111,268.611111,199.722222,230.888889,29.5,133.666667,153.333333,147.444444,72,77.722222,92.888889,58.055556,41.111111,37.611111,17.722222,17.722222,30.666667,76.833333,549.5,505.5,461.166667,410.277778,173.333333,122.833333,54.722222,66.666667,116.5,13.111111,47.666667,185.722222,13.166667,41.388889,19.444444,20.277778,47.555556,20.722222,71.111111,33.833333,113,0,0,22.222222,40.666667,5614.222222,,,,,,,,,,,,,,
SL,39.833333,60.722222,27.944444,35.277778,202.5,55.611111,121,246.888889,355.666667,323.222222,228.166667,140.611111,17.5,116.722222,157,67.5,77.666667,98.833333,26.444444,25.555556,20.333333,7.555556,9.055556,21.888889,40.555556,754.277778,813.666667,604.666667,564.277778,178.222222,109.222222,40.277778,78.888889,121.222222,7.444444,36.5,102.5,8.333333,14.111111,15.777778,12.222222,49.5,11.5,58.055556,7.388889,79,0,0,8.833333,17,6216.944444,,,,,,,,,,,,,,
BF,24.666667,34.666667,14,16.888889,141.055556,31.944444,88.666667,222.555556,325,239.888889,173.444444,149.111111,108.277778,16.777778,95.333333,54.277778,84.277778,126.944444,18.222222,9.333333,9.722222,4.333333,3.111111,14.5,33.277778,725.277778,689.944444,592.888889,486.5,169.444444,77,35.666667,54,89.388889,8.5,38.111111,130.333333,3.5,5.444444,8.111111,13.722222,31.333333,11.444444,60.555556,8.444444,89.777778,0,0,4.166667,8.444444,5382.277778,,,,,,,,,,,,,,
HY,39.888889,69.722222,26.722222,30.444444,140.111111,37.833333,97.5,210.555556,283.722222,156.666667,203.388889,150.333333,161.833333,94.222222,19.777778,99.833333,190.055556,229.888889,30.833333,16.944444,19.833333,7.944444,5.444444,19,32.611111,516.166667,532.777778,362.722222,324.222222,116.944444,62.5,36.611111,39.888889,72.666667,5.666667,17.888889,75.055556,10.444444,23.722222,9.833333,10.611111,27.388889,7.5,29.222222,9.333333,150.888889,0,0,11.222222,22.555556,4850.944444,,,,,,,,,,,,,,
SH,15.333333,27.055556,6.722222,8.166667,72.333333,20.666667,42.888889,134.5,174.944444,74.666667,76.333333,71.944444,58.333333,57.722222,87.722222,15.611111,90.388889,88,11.833333,6.833333,8.277778,2.5,1.722222,5.777778,16.055556,417,383.111111,241.166667,264.166667,84.055556,49,18.333333,18.5,50.5,4.888889,13.5,36.555556,2.5,5.388889,6.277778,7,21.666667,5.277778,18.055556,7.333333,111.111111,0,0,2.277778,4.166667,2948.166667,,,,,,,,,,,,,,
UC,18.333333,29.888889,17.166667,17.055556,156.888889,35.888889,83.166667,210.444444,224.611111,110.277778,86.388889,77.944444,84.277778,90.111111,185.888889,64.111111,20.444444,131.5,18.111111,15.277778,16.611111,3.555556,3.333333,10.333333,11.277778,830.944444,753.666667,366.833333,354.611111,117.111111,45.111111,14.722222,22.722222,71.777778,6.055556,13.611111,60.333333,0.555556,10.555556,12.666667,4,25.833333,5.222222,26.888889,13.444444,127.611111,0,0,3.388889,10,4620.555556,,,,,,,,,,,,,,
FM,25.611111,42.277778,25.777778,23.666667,154.944444,31.888889,73.055556,252.666667,265,114.111111,102.722222,94.777778,102.166667,128,236,108.111111,238.888889,34.444444,14.444444,16.888889,9.722222,5.055556,6.722222,16.555556,13.277778,1237.388889,1064.277778,403.222222,361,124.055556,35.611111,13.555556,22.111111,51.833333,4.333333,25.555556,52.944444,4.055556,9.333333,4.666667,6.944444,32.111111,4.444444,25.944444,15.833333,116.111111,0,0,5.277778,9.055556,5766.444444,,,,,,,,,,,,,,
CN,25.388889,30.944444,20.833333,20.833333,109.222222,23.277778,147.888889,290.388889,317.333333,34.055556,42.166667,54.722222,27.666667,18.777778,36.444444,12.333333,17.666667,14.444444,28.833333,102.277778,208.166667,81.666667,40.833333,84.5,21.5,809.944444,830,529.444444,492.444444,154.388889,89.055556,59,57.222222,101.444444,25.111111,3.5,8.611111,51.111111,168.944444,20.666667,26.722222,136.111111,25.833333,4.555556,30.055556,18.444444,0,0,99.611111,129.611111,5684,,,,,,,,,,,,,,
PH,16.055556,19.833333,19.777778,24.388889,140.222222,23.277778,164.555556,372.111111,446,26.722222,19.388889,38.166667,22.111111,10.166667,16.666667,7.722222,13.611111,16.333333,96.277778,29.222222,109.833333,47.777778,35.722222,125,14.611111,1602.833333,1643.333333,647.833333,651.5,202.944444,80.666667,88.777778,53.222222,85.277778,10.166667,2.166667,4.833333,37.833333,85.111111,26.444444,27.777778,173.222222,26.888889,4.777778,42.055556,16.666667,0,0,38.333333,66.333333,7474.555556,,,,,,,,,,,,,,
WC,23.888889,29.222222,23.555556,21.055556,114.888889,21.944444,160.277778,317.166667,343.055556,22.277778,34.5,36.833333,23.111111,10.166667,18.166667,8.5,15.388889,11.388889,242.277778,120.111111,26.777778,60.833333,37.055556,147.777778,14.333333,1319.222222,1307,518.833333,483.666667,150.5,68.444444,49.222222,47.611111,60.388889,15.833333,3.666667,4.833333,55.333333,136.555556,23.444444,22.5,174.722222,24.944444,2.222222,41,16.555556,0,0,51.333333,98.555556,6560.944444,,,,,,,,,,,,,,
LF,6.5,9.222222,6.5,7.222222,65.055556,7.555556,61.111111,163.555556,157.666667,8.388889,15.944444,16.166667,6.833333,4.888889,7.444444,2.5,3,4.444444,99.555556,44.222222,56.833333,14.777778,11.166667,74.555556,4.388889,833.888889,842,269.833333,279.555556,78.833333,39.444444,21.388889,13.5,21.555556,2.611111,1.333333,0.833333,7.444444,36.666667,4.833333,9.444444,105.277778,15.222222,0.555556,26.833333,4.5,0,0,14.333333,18.222222,3507.611111,,,,,,,,,,,,,,
OR,7.833333,12.444444,5.333333,9.333333,44.388889,7.888889,38.777778,115,120.444444,9.333333,19.722222,14.555556,9.888889,3.055556,5.333333,1.722222,2.444444,6.111111,40.611111,27,37.944444,13.888889,16.777778,56.888889,3.111111,756.666667,691.555556,221.277778,239.777778,66.555556,34.111111,27.444444,11.944444,18.722222,1.722222,3.222222,1.888889,5.888889,11.111111,5.944444,5.777778,79.888889,11,1.388889,14.833333,6.444444,0,0,10.055556,12.944444,2870,,,,,,,,,,,,,,
RR,22.888889,31.111111,30.888889,15.888889,51.388889,11.611111,63.944444,197.666667,197.111111,35.277778,48.666667,31.277778,23.277778,10.388889,17.833333,6.888889,10.611111,16.944444,80.777778,116.555556,148.555556,68.833333,54.944444,25.333333,20.166667,1068,1060,547.944444,661,222.833333,100.777778,56.944444,48,45.611111,3.611111,5.222222,8.055556,23,36.666667,9.277778,14.388889,139.777778,25.611111,5.333333,16.555556,14.055556,0,0,24.222222,41.888889,5517.611111,,,,,,,,,,,,,,
OW,23.722222,32.611111,11.222222,13.777778,70.111111,26.222222,46.5,59.722222,91.722222,30.111111,97.722222,75.222222,34.944444,31.722222,31.333333,13.111111,13.388889,12.777778,16.5,12.388889,13.5,4.166667,2.388889,19.5,26.722222,1763.555556,1544.666667,1033.5,893.277778,382.555556,203.888889,55.5,71.666667,66.444444,13.111111,6.388889,27.944444,5.055556,16.166667,19.777778,25.944444,109.333333,38.611111,10.277778,9.722222,11.722222,0,0,9.222222,18.944444,7148.388889,,,,,,,,,,,,,,
EM,549.944444,1061.055556,677.888889,716.944444,1077.5,898.944444,1432.666667,2017.611111,1743.277778,1246.944444,1157.166667,682.722222,997.666667,912.833333,652.444444,550.944444,999.833333,1437.5,1044.166667,2016,1589.888889,1014.055556,908.111111,1234.388889,2281.5,227.944444,139.611111,482.222222,647.111111,1166.666667,1899.833333,1265,1586.5,1383.333333,880.222222,633.555556,2311.055556,390.944444,609.666667,661.166667,586,368.222222,1088.944444,942.833333,142.333333,888.444444,0,0,171.944444,472.444444,47848,,,,,,,,,,,,,,
MT,540.277778,910.777778,628.555556,572.277778,824.5,779.722222,1230.777778,1623.333333,1244.333333,1150.666667,1017.333333,559.5,865.166667,765.666667,596.444444,432,786,1083.333333,863.388889,1667.833333,1259.944444,766.611111,654.388889,987.722222,1730.444444,147.666667,196.111111,181.777778,618.333333,1482.611111,2483.277778,1692.666667,2559.611111,1999.277778,1124.277778,562.277778,1815.555556,365.222222,574.777778,785.166667,823.888889,419.111111,1454.666667,672.333333,96.444444,793.5,0,0,141.222222,408.777778,44939.555556,,,,,,,,,,,,,,
PL,425.333333,661.888889,310.277778,306.5,539.388889,388.388889,672.111111,855.111111,836.666667,599.444444,684.555556,421.388889,490.944444,474.777778,298.5,212,302.722222,331,412.666667,519.222222,392.888889,216.555556,172.5,424.555556,962.833333,723.833333,308.611111,157.111111,337.277778,1220.222222,1556.833333,1028.722222,1953.944444,1238.444444,547.888889,236.611111,661.111111,174.277778,335.222222,416.833333,388.611111,932.833333,629.777778,254.5,87.555556,289.611111,0,0,115.333333,251.111111,25758.5,,,,,,,,,,,,,,
CC,333.888889,603.166667,384.944444,402.222222,537.777778,477.277778,832,919.333333,760.277778,599.277778,724.444444,381.444444,484.722222,427.666667,293,240.611111,310.944444,320.833333,410.944444,543.944444,399.944444,242.166667,193.666667,559.666667,884.055556,640.166667,605.444444,314.222222,101.111111,561.277778,977.166667,756.555556,1354.055556,884.111111,515.277778,252.222222,689.055556,180.722222,297.777778,394.944444,373.5,414.388889,620.055556,245.555556,48.611111,268.5,0,0,93.777778,251.444444,23108.166667,,,,,,,,,,,,,,
16,195.166667,248.666667,115.888889,137.666667,296.444444,217.333333,359.277778,449.5,310.5,242.777778,304.944444,155.444444,146.277778,154.444444,110.611111,83.111111,100.388889,106.5,129.111111,169.444444,110.277778,70,53.055556,183.388889,375.611111,1196.944444,1610.944444,1423.166667,657.277778,41.888889,195.5,333.888889,643.777778,379.111111,177.666667,74.833333,231.555556,63.611111,124.333333,151.888889,136.388889,198.888889,271.833333,83.222222,19.055556,92.388889,0,0,44.166667,84.611111,13062.777778,,,,,,,,,,,,,,
24,182.888889,181.333333,64.944444,86,221.444444,112.555556,204.166667,316.833333,282.555556,153.166667,208.388889,118.611111,103.888889,73.166667,59.666667,42.555556,39.166667,30.944444,75.166667,75.555556,65.388889,33.555556,30.166667,95.666667,204.333333,1602.611111,2101.388889,1827.611111,1004.888889,205.555556,49.444444,263.777778,543.166667,262.611111,126.833333,26.333333,69.666667,28.222222,85.777778,104.444444,125.722222,157.777778,224.611111,35.555556,16.888889,29.555556,0,0,20.555556,53.611111,12028.722222,,,,,,,,,,,,,,
GP,40.5,76.5,24.388889,30.388889,120.611111,31.888889,75.666667,158.277778,160.888889,51.444444,62.5,57.333333,37.5,29.944444,28.611111,17.555556,13.333333,7.722222,47.666667,46,35.5,19.888889,16.5,47.444444,63.222222,1083.055556,1407.388889,1174.222222,692.611111,329.166667,271.5,23.722222,121.277778,67.055556,56.722222,15.944444,60.388889,18.277778,34.111111,34.833333,62.5,110.333333,134.666667,27.277778,11.277778,14.111111,0,0,11,38.055556,7100.777778,,,,,,,,,,,,,,
