Exit stations,Entry stations->,,WEEKDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,19.857143,119.52381,86.619048,70.238095,389.52381,93.47619,140,168.619048,183.047619,45.761905,78.095238,53.761905,34.666667,22.428571,27.809524,17.428571,16.761905,19.571429,19.714286,15.714286,19.238095,4.095238,9.52381,22.190476,22.142857,417.428571,415.952381,451.952381,361.428571,200.666667,212.619048,54.809524,65.809524,56.52381,16.666667,4,11.619048,2.809524,15.904762,15.190476,26.238095,56.571429,23.095238,7.428571,10.047619,15.190476,0,0,9.809524,10.428571,4162,,,,,,,,,,,,,,
EN,131.142857,21.761905,89.142857,85.047619,707.190476,122,249.571429,433.428571,559.190476,82,85.285714,73.333333,51.380952,33.761905,57.47619,21.857143,28.380952,30.285714,26.333333,20.142857,26.190476,9.666667,9.666667,31.952381,32.142857,880.47619,903.142857,834.47619,755.857143,279.714286,205.380952,79.380952,101.142857,90.52381,28.619048,8.428571,21.238095,4.047619,12.047619,29.190476,36.857143,122.095238,62.571429,10.571429,28.952381,39.714286,0,0,5.52381,12.095238,7570.380952,,,,,,,,,,,,,,
EP,87.52381,80.285714,11.952381,56.619048,635.238095,77.047619,133.52381,288.904762,335.52381,54.333333,43.285714,26.761905,27.666667,14.714286,21.047619,6.761905,14.761905,23.619048,15,19,22.142857,5.952381,6.857143,28.761905,13.619048,548.761905,594.809524,383.952381,423.52381,130.952381,69.619048,28.714286,36.761905,34.714286,4.952381,4.380952,11.047619,4.142857,7.095238,7.714286,12.761905,68.333333,33.47619,6.428571,21.428571,25.47619,0,0,3.809524,6.190476,4519.952381,,,,,,,,,,,,,,
NB,70.095238,76.190476,49.47619,11.333333,193.714286,55.52381,95.333333,247.47619,256.52381,46.333333,57.380952,25.285714,27.714286,17.47619,24.190476,8.380952,18.666667,16.095238,18.190476,21.047619,18.238095,6.761905,8.809524,14.761905,13.333333,591.047619,595.52381,339.333333,460.142857,157.619048,87.952381,30.809524,33.761905,24.904762,5.714286,6.333333,12.952381,3.190476,6.666667,5.904762,8.619048,87,33.333333,3.428571,27.380952,21.190476,0,0,1.857143,4.238095,3947.238095,,,,,,,,,,,,,,
BK,436.761905,763.761905,641.428571,204.047619,41.619048,313.047619,351,533.809524,488.52381,205.47619,256.952381,131.857143,172.619048,112.952381,118.142857,70.047619,119.952381,115.095238,98.904762,136.142857,104.714286,60.142857,42.904762,39.47619,69.238095,826.333333,793.380952,556.380952,615.952381,275.857143,216.619048,116.47619,90.857143,84,30.809524,50.571429,100.666667,31.714286,67.714286,31.190476,32.571429,170.809524,118.571429,39.857143,61.380952,126.714286,0,0,27.952381,46.952381,10141.952381,,,,,,,,,,,,,,
AS,95.857143,115.904762,75.761905,57.857143,289.095238,15.047619,98.904762,258.47619,258.904762,60.52381,91.52381,49.809524,43.666667,32.095238,30.333333,18.857143,34.238095,30.142857,21.761905,23.52381,18.095238,6.380952,5.857143,12.047619,23.52381,667.047619,744.761905,396.571429,501.666667,227.238095,108.285714,32.428571,40,29.47619,7.571429,6.904762,20.714286,5.761905,11.52381,11.714286,13.428571,57.333333,35.285714,10.380952,20.285714,29.285714,0,0,3.666667,11.380952,4760.904762,,,,,,,,,,,,,,
MA,155.47619,241.714286,127.238095,86.52381,335.809524,100.47619,49.857143,220.952381,268.285714,71.047619,144.190476,114.857143,114.333333,78.47619,92.619048,45.714286,74.761905,79.428571,136.761905,159.380952,146.714286,56.47619,32.52381,66.190476,41.238095,1133.571429,1249.142857,758.238095,914.142857,403.809524,203.285714,84.52381,77.380952,68.047619,31.333333,26.190476,64,39.809524,142.190476,24.809524,26.809524,110.761905,63.428571,24,23.952381,64.571429,0,0,50.428571,106.095238,8731.571429,,,,,,,,,,,,,,
19,181.285714,461.52381,293.47619,260.857143,484,256.52381,215.904762,34.809524,64.47619,36.047619,185.809524,144.047619,223.428571,216.047619,195.619048,151.47619,205.47619,241,306.761905,377.380952,320.952381,169.095238,119.666667,182.238095,63.285714,1543.190476,1671.190476,963.666667,1039.095238,465.47619,319.238095,163.52381,150.47619,136.52381,85.714286,85.619048,232.190476,128.52381,162.904762,64.428571,66.904762,92.238095,127.333333,108.047619,29.285714,218,0,0,55.47619,130.952381,13431.190476,,,,,,,,,,,,,,
12,204.380952,562.952381,324.238095,267.095238,417.333333,243.761905,255.571429,56.714286,48.428571,29.380952,206.666667,211.333333,324.666667,314.761905,279.333333,168.809524,228.809524,275.238095,302,475.095238,328.047619,156.619048,115.904762,196.285714,87.428571,1285.52381,1282.333333,871.333333,932.095238,345.190476,297.285714,179.238095,189.238095,197.095238,124.428571,111.619048,291.761905,136.095238,238,100.52381,87.666667,126.190476,155.952381,134.238095,45.619048,200.809524,0,0,59.142857,184.809524,13657.047619,,,,,,,,,,,,,,
LM,38.952381,77.666667,51.142857,45.142857,200.904762,66.095238,66.619048,36.428571,34.047619,21.333333,141.52381,173.52381,282.428571,233.571429,140.190476,76.095238,108,87.52381,32.571429,22.666667,25.52381,8.190476,7,27.285714,37.809524,969.714286,1077.47619,660.809524,640.047619,261.666667,138.571429,61.857143,82.904762,64.619048,5.190476,107.52381,180.904762,5.619048,20.571429,11.761905,13.714286,30,14.142857,93.285714,19.190476,89.285714,0,0,10.238095,23.238095,6624.571429,,,,,,,,,,,,,,
