Exit stations,Entry stations->,,WEEKDAY,,,Mar 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,12.590909,74.818182,50.863636,41.727273,215.772727,52.181818,84.409091,90.909091,93.909091,24.590909,51.272727,36.090909,21.136364,13.181818,19,11,9.590909,11.181818,11.727273,5.954545,10.454545,2.818182,5.363636,10.409091,20.090909,214.818182,210.681818,243.318182,208.863636,117.818182,120.727273,31.272727,38.909091,43.818182,9.5,2.045455,6.272727,1.818182,12.090909,8.727273,16.5,29.590909,11.318182,3.136364,4.818182,8.318182,0,0,8.136364,6.909091,2340.454545,,,,,,,,,,,,,,
EN,83.318182,14.590909,47.272727,41.045455,354.409091,69.045455,135.090909,213.272727,276.5,48.954545,57.818182,48.272727,30.363636,21.818182,33.772727,14.681818,14.090909,20.045455,14.863636,12.590909,14.454545,4.772727,6.454545,15.363636,24.227273,396.863636,408.545455,400.181818,387.636364,157.181818,116.590909,40.318182,56.818182,61.136364,14.590909,4.681818,11.227273,3.545455,7.227273,15.227273,16.454545,66.045455,28.954545,3.818182,14.636364,20.954545,0,0,4.136364,8.545455,3862.409091,,,,,,,,,,,,,,
EP,50.954545,43.545455,5.772727,29.272727,291.681818,39.863636,66.181818,123.090909,143.909091,25.045455,25,18.545455,14.136364,7.5,11.136364,4.818182,7.5,11.045455,9.409091,8.772727,7.863636,2.272727,2.318182,12.136364,7.227273,205.772727,215.636364,147.136364,183.272727,56.818182,32.818182,12.045455,16.454545,22.136364,1.954545,2.272727,4.181818,2.272727,3.727273,2.227273,6.318182,27.227273,11.818182,2.5,8.318182,8.727273,0,0,1.909091,2.409091,1946.954545,,,,,,,,,,,,,,
NB,41.772727,41.954545,26.181818,4.318182,78.227273,28.045455,40.272727,101,100.681818,22.272727,36.636364,13.181818,16.681818,9.727273,14.227273,5.272727,7.409091,6.681818,7.954545,8.636364,7.409091,2.409091,5.136364,5.181818,8.954545,192.090909,202.454545,118,168.363636,61.318182,37.681818,11.5,15.409091,14.818182,2.863636,3.136364,5.818182,1.636364,4.772727,1.863636,3,26.772727,9.227273,3.545455,8.636364,8.318182,0,0,1.318182,2.045455,1544.818182,,,,,,,,,,,,,,
BK,233.772727,381.454545,294.5,89.363636,17.772727,145.181818,168.590909,237.5,234.454545,93.5,134.954545,79.909091,82.454545,58.727273,59.227273,35.272727,59.181818,49.772727,45.863636,52.136364,43.863636,20.454545,16.409091,16.090909,39.181818,311.681818,308.818182,218.227273,259.590909,118.636364,88.409091,45.818182,44.590909,46.545455,15,22.727273,42.227273,12,34.909091,11.227273,11.272727,47.363636,45.863636,16.409091,18.909091,54.590909,0,0,15.318182,27.5,4507.227273,,,,,,,,,,,,,,
AS,51.954545,64.681818,38.136364,25.454545,129.818182,6.636364,47.454545,110.363636,115.954545,30.590909,53.272727,31.409091,28.636364,17.227273,18.136364,10.681818,16.681818,10.954545,11.909091,8.363636,8.227273,3.318182,3.954545,4.318182,14.954545,233.954545,257.318182,153.454545,200.454545,87.636364,44.545455,13,18.681818,15.318182,3.681818,3.5,8.727273,2.454545,7.545455,4.136364,7.136364,20.318182,14.409091,3.409091,6.727273,12.090909,0,0,1.954545,5.409091,1988.954545,,,,,,,,,,,,,,
MA,95.454545,137.590909,64.363636,36.409091,155.136364,48.227273,31.090909,95.136364,124.909091,37,96.863636,71,63.318182,46.409091,49.090909,31.181818,35.545455,33.363636,65.681818,62.818182,64.772727,23.954545,16.090909,29.363636,27.545455,423.909091,447.5,315.772727,372.454545,164.863636,91.818182,40.227273,37.136364,39.681818,13.409091,13.136364,34.181818,18.727273,80.454545,10,12.318182,43.318182,22.772727,10.363636,9.181818,28.590909,0,0,31.727273,58.136364,3862,,,,,,,,,,,,,,
19,97.727273,214.727273,121.454545,99.318182,216.227273,103.318182,90.681818,15.909091,27.863636,20.818182,97.727273,89.590909,119.454545,96.090909,95.181818,76.272727,81.590909,97.318182,139.590909,162.636364,131.318182,69.045455,50.909091,73.590909,39.863636,584.681818,597,380.409091,431.5,203,136.818182,74.772727,72.590909,70.090909,36.545455,34.363636,85.772727,56.181818,83.454545,32.545455,30.909091,37.772727,48.227273,39.727273,10.727273,90.909091,0,0,29.272727,73.363636,5668.863636,,,,,,,,,,,,,,
12,96.863636,277.818182,135,105.590909,201.545455,108.227273,110.5,25,19.136364,17.681818,117.909091,118.318182,165.454545,159.5,133.818182,82.045455,102.318182,107.181818,137.318182,197.409091,129.772727,61.818182,43.181818,73.909091,53.409091,484.954545,472.727273,349.772727,395.590909,146.045455,123,74,84.772727,104.636364,56.954545,47.545455,120.863636,57.363636,114.227273,46.909091,37.227273,44.409091,53.227273,54.090909,16.909091,80.954545,0,0,34,91.5,5872.409091,,,,,,,,,,,,,,
LM,23.090909,46.409091,22.181818,22.727273,92.5,32.363636,33.772727,19.954545,17.318182,10.090909,93.5,111.454545,150.409091,122.863636,85.363636,46.954545,53.954545,47.136364,16.318182,12.181818,12.954545,3.409091,2.954545,15.727273,23.227273,374.772727,413.818182,278.045455,290.363636,112.954545,68.090909,25.772727,38.454545,39.909091,2.590909,51.954545,93.272727,3.363636,12.454545,6.409091,6.227273,15.636364,5.545455,43.454545,9.272727,41.727273,0,0,6.409091,13.863636,3073.181818,,,,,,,,,,,,,,
FV,52,56.681818,28.045455,38.909091,139.045455,56.772727,97.136364,103.590909,128.318182,90.909091,16.318182,129.318182,149.818182,121.318182,127.272727,54.181818,43.863636,50.681818,22.045455,14.727273,21.818182,7.863636,12.636364,27.5,59.909091,396.954545,405.636364,385.590909,430.318182,176.045455,120.409091,30.409091,55.318182,59.545455,5.636364,34.590909,75.590909,3.409091,12,4.681818,11.090909,28.636364,10.636364,33.227273,5.636364,44.590909,0,0,10.363636,13.681818,4004.681818,,,,,,,,,,,,,,
CL,40.090909,54.727273,17.727273,14.545455,72.636364,31.136364,81.090909,90.181818,140.181818,89.409091,128.5,11.454545,66.272727,74,73.909091,44.045455,30.090909,28.681818,19.454545,13.954545,10.181818,3.454545,4.409091,12.227273,54.318182,215.318182,214.136364,185,207.590909,92.090909,61.5,25.272727,31,43.045455,6.545455,18.181818,58.227273,5.954545,16.272727,8.227273,10.681818,19.227273,7.818182,20.954545,10.454545,35.772727,0,0,13.227273,19.363636,2532.545455,,,,,,,,,,,,,,
SL,21.090909,33.818182,12.590909,14.909091,84.409091,30.227273,66.636364,121.727273,176.818182,151,147.818182,72.5,7.954545,60.727273,93.727273,47.545455,37.363636,49.772727,16.181818,8.090909,10.590909,2.909091,5.409091,10.863636,27.227273,323.318182,344,269.090909,273.409091,84.227273,48.590909,17.181818,34.681818,46.681818,4.727273,24.545455,53.772727,3.545455,7.318182,6.636364,5.727273,27.136364,5.090909,23.136364,4.318182,35.272727,0,0,6.772727,10.818182,2971.909091,,,,,,,,,,,,,,
BF,13.136364,19.181818,5.772727,10.227273,57.727273,17.045455,47.636364,100,159.772727,121.5,115.727273,71.409091,57.454545,8.318182,53.181818,40.590909,40.909091,75.454545,11.363636,4.772727,5.954545,2.863636,2.136364,5.590909,25.545455,279.681818,296.090909,255.727273,260.363636,85.5,41.818182,17.545455,25.818182,34.181818,5.954545,20.272727,71.909091,3.136364,3.954545,5.772727,5.454545,18.090909,6.136364,30.454545,2.818182,41.772727,0,0,1.590909,5.272727,2592.590909,,,,,,,,,,,,,,
HY,20.772727,34.954545,11,13.954545,55.227273,19.045455,49.409091,95.727273,133.136364,78.772727,123.818182,77.318182,97.045455,55.227273,9.454545,51.636364,94.227273,126.772727,15.772727,6.863636,10.863636,3.909091,2,9.363636,19.727273,199.636364,200.863636,148.545455,154.045455,56.681818,29.681818,15.454545,16.909091,26.5,3,11.454545,40.409091,5,9.818182,5.409091,7.454545,12.954545,3.636364,17.545455,3.409091,68.681818,0,0,6.227273,10.727273,2270.045455,,,,,,,,,,,,,,
SH,11.5,13.272727,5.090909,5.136364,32.772727,8.363636,30.090909,68.5,80.818182,43.545455,55.409091,42.363636,43.727273,43.863636,46.181818,6.636364,37.318182,53.090909,6.136364,3.363636,4.045455,0.590909,0.818182,2.090909,9.454545,174.227273,152.045455,101.818182,136.863636,44.136364,24.772727,9.727273,10.318182,17.409091,3.818182,8.681818,17.590909,0.636364,4.5,3.272727,3.681818,10.136364,2.363636,11.545455,3.227273,56.272727,0,0,2.363636,2.227273,1455.818182,,,,,,,,,,,,,,
UC,10.318182,14.272727,7.363636,6.454545,56.318182,16.909091,37,82.954545,101.409091,50.590909,45.272727,33.318182,40.681818,47.363636,94.363636,40.727273,7.727273,72.818182,7.136364,5.636364,7.045455,1.045455,1.181818,4.363636,5.545455,252.318182,237.136364,116.772727,141.909091,44.909091,22.636364,5.954545,9.181818,20,3.909091,7.090909,27,0.5,5,2.772727,1.863636,8.863636,1.090909,13.090909,4.363636,55.181818,0,0,2.409091,5.5,1787.272727,,,,,,,,,,,,,,
FM,13,20.409091,11.045455,6.727273,47.136364,12.772727,33.272727,102.727273,104.227273,47.772727,56.636364,31.5,51.681818,61.863636,125.681818,60.818182,253.818182,12.272727,8.5,5.272727,4.136364,1.454545,2.636364,4.727273,5.181818,344.045455,297.090909,121.863636,115.454545,50.545455,15.363636,9.909091,8.590909,17.227273,3,12.545455,23.363636,1.454545,4.409091,1.363636,4.318182,9.590909,1.954545,7.363636,3.772727,52.954545,0,0,3.227273,5.272727,2199.954545,,,,,,,,,,,,,,
CN,12.681818,15.954545,8.727273,8.818182,47.318182,12.409091,69,137,141.545455,15.136364,22.954545,20.863636,15.363636,12.363636,17.818182,6.181818,6.136364,8.5,16.727273,53.5,108.363636,47.954545,22.636364,37.727273,13.136364,335.681818,346.590909,231,252.090909,71.954545,48.954545,26.772727,25.818182,37.272727,11.818182,1.909091,3.318182,37.318182,87.727273,10,10.954545,60.5,13.272727,1.454545,12.272727,10,0,0,51.545455,67.136364,2634.181818,,,,,,,,,,,,,,
PH,9.318182,12.590909,9.272727,9.272727,51.590909,9.136364,65.409091,164.681818,190.090909,12.409091,10.954545,11.5,6.772727,5.272727,7.409091,2.772727,3.954545,5.863636,51.363636,10,47.590909,20.636364,14,52.545455,7.590909,571.090909,594.909091,251,275.090909,83,34.045455,34.045455,23.590909,27.681818,3.409091,1.045455,2.136364,25.818182,46.863636,9,12.045455,60.727273,8.590909,1.590909,13,7.045455,0,0,20,28.863636,2926.590909,,,,,,,,,,,,,,
WC,11.636364,14.954545,8.590909,7.954545,42.954545,9.545455,71.136364,130.454545,139.590909,13.227273,17.818182,12.272727,12.727273,7.454545,10.136364,4.681818,6.363636,4.772727,122.727273,56.090909,8.772727,28.818182,17.136364,59.954545,8.681818,455.863636,447.272727,167.681818,174.818182,56.863636,26.090909,17.5,21.636364,22.863636,5.5,1.545455,1.727273,31,64.272727,8.409091,8.227273,56.818182,7.454545,0.772727,11.090909,5.409091,0,0,30.954545,49.636364,2501.863636,,,,,,,,,,,,,,
LF,3.272727,5.227273,2.409091,2,20.727273,3.409091,25.681818,70.454545,64.136364,4.409091,7.636364,3.772727,2.909091,3.272727,2.772727,0.181818,1.136364,1.590909,58.136364,20.818182,31.681818,5.863636,6.136364,27.181818,2.136364,267.681818,281.5,81.409091,100.454545,25.863636,12.409091,6.727273,6.136364,8,1.454545,0.181818,0.636364,4.954545,19.227273,2.181818,4.090909,30.318182,4.409091,0,6.363636,2.363636,0,0,6.545455,8.5,1258.363636,,,,,,,,,,,,,,
OR,6,6,2.272727,5.090909,15.954545,4.5,18.636364,48.909091,46.272727,3.545455,9.636364,4.590909,5.363636,2.136364,1.954545,0.818182,0.590909,2.409091,18.954545,11.863636,15.863636,6.272727,5.863636,18.954545,1.909091,252.772727,230.681818,71.181818,87.863636,22.818182,13.863636,8.454545,4.590909,5.5,1.181818,0.818182,0.545455,2.318182,6.545455,2.045455,2.545455,22.136364,3.636364,0.363636,3.590909,1.590909,0,0,4.5,4.954545,1018.863636,,,,,,,,,,,,,,
RR,11.5,17.818182,13.090909,6.636364,19.590909,4.5,28.863636,85.727273,85.863636,14.681818,28.636364,11.818182,10.681818,5.727273,8.454545,1.954545,3.863636,4.818182,37.272727,53,59.818182,26.545455,22.272727,7,13.409091,356.772727,362.863636,175.5,238.136364,74.318182,41.954545,16.909091,20.045455,15.181818,1.454545,2.227273,3.772727,8.409091,22.363636,5.636364,6.363636,43.954545,8.181818,1.272727,4.772727,3.454545,0,0,13.045455,19.954545,2030.090909,,,,,,,,,,,,,,
OW,17.181818,19,6.954545,7.409091,35.272727,15.363636,28.727273,33.590909,59.045455,17.090909,57.727273,52.909091,25.863636,20.181818,18.045455,9.318182,7.045455,4.863636,11.818182,6.954545,7.954545,2.136364,1.227273,12.681818,13.045455,703.227273,609.5,399.590909,394.772727,152.545455,94.727273,30.590909,34.318182,27.727273,7.909091,5.545455,16.227273,2.636364,8.863636,10.909091,13.681818,42.409091,15.181818,2.818182,2.909091,4.363636,0,0,7,13.363636,3092.227273,,,,,,,,,,,,,,
