Exit stations,Entry stations->,,WEEKDAY,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,6.181818,26.363636,16.954545,17.772727,39.090909,18.772727,30.272727,16.045455,25.727273,7.909091,22.181818,21.590909,9.454545,2.727273,4.954545,6.181818,2.636364,4.636364,6.136364,0.863636,3.363636,0.409091,1.227273,2.318182,8.045455,51.818182,51.227273,65.136364,72.363636,36.727273,34.181818,11.727273,8.727273,6.181818,1.227273,0.636364,2.454545,1.545455,3.590909,3.363636,6.409091,4.727273,3.909091,0.5,0.818182,2.045455,0,0,4.181818,2.454545,677.772727,,,,,,,,,,,,,,
EN,25.636364,6.409091,13.727273,12.181818,58.318182,25.681818,37.818182,27,34.772727,12.681818,24.545455,22.363636,11.363636,9.818182,5.454545,6.954545,4.181818,8.772727,3.181818,2.772727,5.636364,0.909091,1.772727,3.045455,9.818182,76,67.727273,85.863636,97.818182,40.045455,28.636364,11.454545,14.772727,8.5,2.863636,1,2.954545,2.090909,3.045455,6.863636,5.772727,11.045455,4.545455,1.545455,1.590909,3.409091,0,0,2.045455,3.272727,857.681818,,,,,,,,,,,,,,
EP,18.227273,13.590909,2.863636,6,34.590909,9.863636,15.363636,13.863636,17.727273,2.818182,8.954545,5.636364,5.181818,3.727273,2.045455,1.681818,3.545455,1.090909,1.909091,1.363636,0.545455,0.136364,0.272727,2.272727,2.772727,16,16.318182,18.318182,19.727273,11.636364,4.863636,1.545455,2.454545,1.409091,0.863636,1.409091,0.681818,1,1.772727,0.227273,1.363636,2.590909,2,0.090909,0.272727,0.863636,0,0,0.909091,1,283.363636,,,,,,,,,,,,,,
NB,15.909091,12.772727,7.181818,0.909091,6.863636,3.772727,6.409091,7.545455,6.545455,4.818182,14.5,4.954545,5.272727,2.636364,2.409091,0.909091,0.590909,1.590909,0.863636,1.727273,0.590909,0.227273,0.681818,0.727273,1.863636,8.045455,8.590909,8.681818,13.227273,4.590909,4.136364,0.5,1.681818,1.636364,1.454545,1.636364,0.681818,0.181818,3.227273,0.136364,0.681818,0.954545,0.454545,0.045455,0.136364,1.363636,0,0,0.090909,0.090909,174.5,,,,,,,,,,,,,,
BK,46.909091,61.136364,35.727273,7.727273,7,23.863636,27.318182,23.363636,41.181818,10.227273,28.454545,18.863636,13.090909,8.727273,8.272727,5.090909,3.454545,1.727273,2.5,1.681818,2.136364,1.5,0.5,2.454545,7.181818,17.090909,14,16.272727,31.227273,9.409091,7.545455,2.227273,3.590909,4.090909,1.545455,1.363636,3.318182,0.681818,4.454545,0.090909,1.545455,1.909091,1.590909,1.181818,1.181818,2.772727,0,0,1.590909,3.636364,522.409091,,,,,,,,,,,,,,
AS,17.454545,25.409091,10.136364,4.454545,17.909091,1.636364,11.681818,13.045455,17.181818,4.363636,16.409091,11.818182,8.863636,5.363636,4.545455,3.863636,5.136364,1.227273,3.863636,1.272727,1.636364,0.363636,1.318182,1,5.636364,15.681818,15.227273,19.454545,21.909091,9.5,6.863636,1.818182,4.136364,0.409091,0.136364,1.227273,0.818182,0.5,1.909091,0.454545,4.045455,0.863636,1.136364,0.318182,0.318182,1.045455,0,0,0.818182,2,306.181818,,,,,,,,,,,,,,
MA,32.545455,39.363636,15.318182,7.227273,21.181818,12.863636,7.454545,13.863636,24.590909,7.045455,29.681818,25.818182,16.954545,18.181818,11.181818,9.272727,7.909091,6.727273,16,10.227273,11.818182,4.772727,3.090909,5.272727,11.863636,36.045455,27.545455,40.590909,59.636364,22.181818,14.909091,10.318182,3.954545,7.863636,3.363636,2.636364,7.954545,5.363636,22.409091,1.727273,2.909091,5.409091,1.954545,2.545455,0.818182,4.545455,0,0,11.818182,17.818182,684.545455,,,,,,,,,,,,,,
19,18.545455,28.863636,11.545455,5.954545,19,14.136364,12.590909,4.045455,4.863636,2.318182,17.454545,26.727273,21.363636,19.409091,13.363636,8.954545,7.227273,3.909091,13.772727,12.090909,8.181818,2.590909,2,5.545455,9.454545,30.681818,29.045455,41.409091,43.181818,19.818182,9.590909,6.5,6.227273,6.227273,4.045455,1.863636,5.318182,5.863636,12.590909,4.5,4,1.5,2.090909,1.863636,0.681818,5.545455,0,0,4.454545,12.045455,552.954545,,,,,,,,,,,,,,
12,27,38.818182,15.136364,5.954545,31.318182,14.545455,19.090909,4.954545,6.909091,3.545455,25.863636,25,30.545455,26.045455,18.681818,8.045455,11.772727,9.590909,16.818182,18.772727,9.954545,1.636364,2.454545,5,19.454545,36.5,32.590909,58.136364,60.318182,26.863636,20.454545,10.272727,14.772727,13.545455,6.636364,2.318182,4.863636,3.454545,17.181818,4.590909,4.409091,4.727273,2.909091,0.954545,0.545455,5.727273,0,0,6.318182,13.136364,748.136364,,,,,,,,,,,,,,
LM,7.590909,9.727273,2.136364,4.181818,7.136364,4.863636,5.409091,3.181818,3.863636,2.681818,31.272727,40.227273,30.045455,29.318182,19.818182,13.590909,9.954545,11.045455,2.5,2.863636,2.909091,0.227273,1.136364,2.363636,8.5,27.909091,28.318182,45.181818,51.727273,14.590909,14.045455,4.181818,5.363636,4.727273,1,10.136364,21.181818,0.545455,2.5,0.909091,1.045455,1.545455,0.363636,6.272727,0.727273,4.863636,0,0,2.363636,3.409091,509.454545,,,,,,,,,,,,,,
