Exit stations,Entry stations->,,WEEKDAY,,,May 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,6.3,25.1,17.75,18,50.45,18.2,33.5,19.05,26.45,9.35,23.25,26.35,11.25,3.35,6.45,8.1,3.3,5.95,6.4,1.2,3,1.3,1.95,3.1,9.35,62.4,58.55,75.1,78.6,50.4,44.35,13.55,15,9,2.3,1.1,2.45,0.5,4.7,2.8,8.65,4.3,5.15,0.8,1.05,3.05,0,0,4.3,3.4,789.95,,,,,,,,,,,,,,
EN,27.35,7.2,12.65,15.35,61.9,23.05,39.35,30.9,41.7,13.35,27.7,21.75,11.85,9.5,7.5,7.7,6.65,9.55,5.7,2.6,6.75,0.8,2.15,2.6,13.15,88,86.75,92.35,112.45,45.1,36.6,13,16.35,9.55,5.45,1.45,3.7,2.3,2.7,8,6.25,10.7,5.45,1.3,2.2,6.1,0,0,1.55,2.5,968.55,,,,,,,,,,,,,,
EP,20.3,12.5,1.85,6.9,35.45,11.35,15.45,16.2,20.4,3.75,10.8,4.9,6.1,3.85,1.9,2.2,4.1,1.9,2.4,1.9,0.95,0.25,0.75,3.05,3.5,21.85,22.05,23.5,20.9,12.3,6.9,1.8,3.45,0.75,1.1,1.7,1.05,0.85,3,0.7,1.55,1.5,2.2,0.05,0.6,1.5,0,0,1.05,0.9,323.95,,,,,,,,,,,,,,
NB,18.45,14.25,6.9,1.85,6.3,4.2,7.85,9.45,7.65,5.75,18.5,7.1,5.65,3.35,4.9,0.85,1.05,4,1.45,1.7,1.1,0.8,0.35,0.4,1.65,14.4,8.1,10.95,13.95,6.45,7.6,1.8,1.5,2.7,1.6,2.35,0.85,0.15,3.05,0.6,1.1,1.1,0.55,0.15,0.7,1.6,0,0,0.1,0.2,217.05,,,,,,,,,,,,,,
BK,60.15,69.75,40.3,8.25,5.05,23.25,28,24.05,41,10.75,35.85,23.25,16.55,10.1,9.25,5.8,5.5,2.95,4,3.05,1.85,1.75,0.35,1.45,7.2,30.6,17.35,23.8,36.5,12.55,10.8,3.5,3.75,4.4,1.85,1.15,2.9,0.85,4.65,1,1.85,3.75,2.75,1.05,1.8,4.6,0,0,1.9,2.95,615.75,,,,,,,,,,,,,,
AS,18.9,26.3,10.6,4.5,19.05,2.15,11.2,14.95,18.9,4.7,22.3,16.25,9.4,6.25,4.8,3.25,5.95,1.95,3.45,1.4,2,0.55,0.55,0.6,7.1,20.2,16.7,19.05,22.35,11.75,7.8,1.9,4.8,1.05,1,1.6,1.15,0.25,1.8,0.65,4.1,1.15,0.9,0.1,0.5,1.75,0,0,0.35,2.05,340,,,,,,,,,,,,,,
MA,34.9,40.05,14.75,10.2,22.85,13.8,7.65,13.3,25.6,6.35,36.85,29.8,20.95,21.2,16.1,11.75,10.75,7.8,19.95,12.1,16.15,6,3.25,4.7,11.35,46.7,32.9,47.3,65.5,27.9,23.75,12.05,7.3,6.9,4.45,3.3,8.1,4.5,22.65,2.1,3.3,5.2,3.15,2.55,1.55,7.15,0,0,16.1,20.8,793.35,,,,,,,,,,,,,,
19,22,38.3,12.8,8.25,17.45,14.25,13.85,4.15,3.9,2.85,23.6,28.65,22.45,23.2,14,7.5,8.7,6.7,13.4,16.75,10.1,4,2.15,6.7,10.4,35,36.3,46.8,53.6,24.6,11.9,7.85,7.1,9.95,4.2,2,4.95,7.05,14.75,4.95,4.65,2.4,2.2,2.35,1.1,10.75,0,0,6.5,16.7,653.75,,,,,,,,,,,,,,
12,28.45,44,19.2,7.65,31.7,17.85,22.5,3.75,9.05,4.4,28.55,29.8,35.15,29.35,23.35,10.25,14.2,9.95,19.9,19.5,14.2,2.35,5,6.65,18.4,43.3,42.3,70,65.2,31.05,23.45,13.4,18.05,19.95,7.55,1.85,4.35,4.1,18.2,5.65,6.5,4.95,3.85,1.05,0.95,8.1,0,0,7.1,15.05,871.1,,,,,,,,,,,,,,
LM,9.75,12.5,4.25,5.05,8.25,4.8,5.9,3,5.4,3.3,36.95,49.15,43.35,38,23.25,18.35,14.15,12.85,3.1,3.2,2.9,0.2,0.4,2.3,8.65,37.95,35.25,53.45,63.25,20.95,18.45,6,8.15,6.7,0.6,12.55,25.5,0.25,2,0.3,1.25,1.7,0.6,8.25,1.95,10.2,0,0,2.3,2.45,639.05,,,,,,,,,,,,,,
