Exit stations,Entry stations->,,WEEKDAY,,,Jul 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,7.454545,29.318182,26.681818,23.363636,77.454545,23.681818,41.181818,27,31.318182,10.363636,34.318182,34.045455,13.954545,7.636364,8.727273,7.5,3.681818,6,7.727273,2.727273,5.409091,1.272727,2.363636,3.590909,11.681818,86.363636,77.545455,125.454545,97.954545,64.181818,62.727273,19.590909,20.545455,12.227273,7.045455,1.272727,3.272727,1.5,7.136364,6.045455,11.909091,7.363636,6.5,0.909091,2.363636,2.636364,2.727273,1.545455,5.409091,1.909091,1084.590909,,,,,,,,,,,,,
EN,33.681818,8.5,20.136364,18.136364,87.954545,33.636364,51.318182,43.136364,59,21.090909,36.090909,30.363636,18.181818,10.727273,9.909091,8.227273,11.090909,11,9.545455,4.272727,8.090909,2.045455,2.454545,5.272727,12.954545,137.772727,120.772727,175.409091,143.363636,69.363636,56.181818,18.545455,22.636364,15.727273,9.636364,2.045455,7.772727,2.363636,6.545455,9.545455,8.681818,17,9.545455,1.590909,5,5.818182,3.363636,3.909091,2.318182,4.136364,1415.863636,,,,,,,,,,,,,
EP,26.863636,21.363636,2.227273,10.954545,58.454545,18.136364,19.227273,20.681818,30.909091,4.863636,16.863636,7.590909,7.727273,3.227273,3.636364,3.181818,5.136364,2.681818,4.818182,1.909091,2.681818,1.272727,1.636364,3.090909,5.909091,42.363636,37.772727,45.318182,41,14.272727,11.727273,3.454545,5.136364,1.863636,1.227273,1.363636,1.363636,1.136364,1.909091,1.136364,2.681818,4.909091,3.454545,0.636364,1.818182,1.545455,0.954545,1.363636,2.090909,1.227273,516.772727,,,,,,,,,,,,,
NB,24.727273,17.727273,12.727273,2.090909,9.863636,7.272727,11.863636,10.681818,14.272727,6.409091,22,7.590909,8.090909,3.818182,7.136364,0.863636,1.863636,2.318182,1.318182,3.181818,3.090909,0.363636,0.772727,0.681818,2.272727,25.409091,17.954545,23.954545,23,14.681818,11.272727,3.409091,3.136364,4,1.5,1.409091,1.636364,0.409091,2.772727,1.636364,0.681818,3.772727,0.409091,0.545455,1.818182,2.772727,1.272727,0.772727,0.136364,0.181818,331.545455,,,,,,,,,,,,,
BK,89.590909,98.454545,65.318182,11.545455,8.227273,34.954545,39.272727,33.772727,54.772727,18.863636,53.681818,32.363636,21.272727,14.954545,16.409091,8.863636,11.545455,7.363636,6.590909,5.909091,7.454545,2.090909,2.681818,1.954545,10.5,44.545455,34.045455,45.636364,51.136364,28.909091,21.954545,4.045455,10.909091,8.090909,3.363636,3.136364,4.909091,1.954545,8.590909,3.954545,2.909091,7.909091,6.954545,1.954545,3.318182,3.636364,2.272727,6.454545,2.272727,3.772727,975.045455,,,,,,,,,,,,,
AS,27.136364,38.909091,17.454545,7,26.863636,2.318182,13.227273,17.772727,20.045455,6.818182,28.227273,16.454545,11.909091,8.772727,6.227273,4.409091,5.727273,1.545455,3.863636,1.090909,3.136364,1.272727,1.227273,1,7.681818,35.772727,30.227273,41.636364,39.772727,18.409091,12.090909,4.545455,7.954545,2.681818,1.272727,2.681818,2.227273,0.454545,3.590909,1.636364,3.636364,3,2.227273,0.318182,1.909091,3.045455,0.409091,3.090909,0.5,2.136364,505.318182,,,,,,,,,,,,,
MA,46.045455,50.681818,20.409091,12.909091,31.045455,15.318182,9.818182,16.863636,27,7.636364,45.772727,38.045455,25,22.909091,19.045455,13.318182,10.636364,10.954545,27.5,19.318182,21.954545,6.227273,4.5,8.181818,11.863636,74.954545,61.318182,86.363636,83.954545,48.681818,28.318182,14.590909,12.454545,8.954545,4.818182,2.909091,9.818182,4.227273,28.227273,2.954545,3.545455,8.727273,5.5,2.409091,3.363636,4.045455,2.818182,4.818182,18.227273,25.909091,1074.863636,,,,,,,,,,,,,
19,27.590909,45.590909,17.227273,10,26,15.136364,17.227273,5,4.727273,3.318182,28.136364,29.454545,26.318182,30.545455,21.909091,12.136364,11.045455,9.227273,21.818182,24.090909,13.181818,6.045455,4.5,7.727273,11.136364,67.272727,67.227273,88.818182,76.5,38,21.863636,13.363636,11.227273,14.318182,5.318182,3.318182,5.863636,10.772727,22.181818,6.227273,6.181818,6.545455,6.590909,3,2.818182,4.454545,2.818182,7.590909,8.590909,21,950.954545,,,,,,,,,,,,,
12,33.727273,62.136364,30.954545,13,39.681818,19,22.5,5.090909,10.863636,4.727273,32.272727,35,46.681818,34.590909,32.409091,15.409091,19.409091,16.545455,29.863636,25.909091,19.181818,5.818182,9.818182,11.727273,17.318182,70.636364,70.136364,115.863636,87.909091,42.909091,32,15.363636,25.272727,25.909091,12.818182,3.5,4.681818,5.909091,23.545455,10.272727,10,8.727273,8.090909,1.909091,2.454545,4.090909,2.954545,6.409091,9.363636,23.636364,1218,,,,,,,,,,,,,
LM,11.136364,15.363636,5.727273,5.681818,14.045455,7.090909,10.090909,3,5.727273,4.954545,42.727273,47.636364,69.954545,48.136364,31.181818,24,18.681818,18.045455,5.227273,3.363636,3.272727,1.181818,1.045455,3.318182,9.909091,75.181818,68.863636,107.590909,83.363636,36.227273,25.772727,10.454545,15.863636,12.545455,1.181818,18.5,36.136364,1.227273,3.545455,1.681818,2.590909,3.136364,1.590909,14.954545,4.409091,10.863636,4.909091,6.5,2.090909,3.772727,963.454545,,,,,,,,,,,,,
