Exit stations,Entry stations->,,WEEKDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,9.571429,29.571429,29.142857,22.428571,81.571429,25.333333,40.285714,30.47619,39.190476,15.095238,34.428571,29.666667,15.380952,9,10.47619,8.047619,5,6.619048,6.47619,2.904762,7.380952,2.380952,2.809524,5.238095,11.52381,85.619048,95.238095,145.238095,100.904762,71.142857,73.904762,20.047619,19.714286,15.285714,7.095238,1.190476,3.809524,0.857143,5.285714,5.380952,11.52381,10.047619,6.619048,1,3.333333,2.095238,2.285714,2.190476,5.333333,3.190476,1178.333333,,,,,,,,,,,,,
EN,32.428571,8.428571,17.809524,18.809524,110.809524,27.571429,54.761905,47,67.380952,21.761905,38.761905,30.619048,18.52381,13.190476,13.761905,10.571429,9.142857,11.285714,10.428571,4.380952,8.666667,2.809524,2.238095,3.952381,14,147.714286,139.857143,216.380952,173,76.333333,79.52381,24.52381,27.238095,20.095238,9.52381,1.666667,8.904762,1.571429,7.47619,9.714286,10.380952,22.666667,11.238095,2.047619,5.857143,5.619048,4.52381,6.285714,2.619048,5.190476,1619.047619,,,,,,,,,,,,,
EP,32.809524,18.285714,3.809524,13.285714,72.52381,19.238095,25.952381,20.761905,36.190476,8.666667,17.904762,8.428571,9.571429,5.380952,3.190476,4.904762,4.428571,4,3.238095,3.142857,2.904762,2.285714,1.238095,3.52381,3.666667,51.952381,54.52381,62.52381,49.333333,24.142857,17.714286,3.761905,7.238095,3.095238,1.47619,1.333333,1.190476,1.238095,2.952381,2.047619,1.666667,7.190476,4.428571,1.238095,1.761905,1.238095,1.285714,0.952381,0.761905,1.190476,635.571429,,,,,,,,,,,,,
NB,22.428571,19.619048,13.619048,2.904762,11.333333,8.761905,15.619048,13.142857,15.52381,6.714286,18.809524,9.47619,7.952381,6.285714,7.47619,1.666667,0.571429,2.47619,2.142857,4.380952,3.52381,0.619048,0.428571,0.714286,1.571429,30,27.904762,29.619048,29.238095,14.666667,14.714286,3.47619,3.095238,4.761905,0.857143,1.380952,2.380952,1.190476,2.952381,0.52381,0.333333,4.095238,0.952381,0.285714,2.095238,1.952381,1.809524,1.190476,0,1.47619,378.714286,,,,,,,,,,,,,
BK,97.666667,116.571429,78.952381,12.952381,7.571429,38.571429,45.333333,46.333333,56.952381,17.571429,54.761905,32.333333,25.952381,19.285714,16.095238,10.095238,14.238095,9.428571,7.952381,5.857143,7.904762,4.47619,2.714286,1.238095,13.619048,55.714286,40.904762,61.952381,61.619048,35.095238,27.666667,5.619048,13.238095,10.285714,4.904762,4.904762,7.619048,2.904762,10.238095,5.666667,3.238095,8.904762,6.666667,4.285714,4.285714,2.142857,1.809524,8.761905,1.809524,6,1140.666667,,,,,,,,,,,,,
AS,21.333333,31.47619,18,8.857143,28.666667,3.52381,17.285714,18.666667,28.904762,7.47619,28.904762,17.190476,13.619048,7.238095,5.333333,4.761905,6.857143,2.666667,4.428571,2.380952,2.047619,0.761905,1.285714,1.238095,8.333333,34.761905,34.904762,48.619048,50.857143,24.714286,15.238095,3.428571,6.52381,3.809524,2.047619,1.333333,2.52381,0.47619,2.285714,1.571429,4.190476,4.952381,2.333333,0.761905,1.904762,4,2.238095,3.238095,1,2.904762,551.857143,,,,,,,,,,,,,
MA,46.095238,59.761905,23.47619,16,37.904762,19.761905,7.666667,18.666667,26.333333,9.380952,46.238095,35.761905,27.047619,20.095238,17.904762,12.285714,11.571429,12.285714,24.714286,22.333333,24.142857,6.238095,6,8,14.571429,88.571429,69.619048,114.095238,100.952381,60,34.809524,14.095238,9.47619,12.047619,7.285714,3.47619,10.714286,6.190476,28.952381,4.428571,5.238095,12.952381,4.952381,2.857143,3.428571,6.47619,5.142857,6.142857,18.952381,29.190476,1214.285714,,,,,,,,,,,,,
19,29.380952,45,17.238095,12.857143,42.095238,18.238095,16.714286,6.047619,4.571429,3.047619,30,31.142857,27.47619,34.380952,24.904762,13.761905,16.666667,8.52381,24,24.142857,17.571429,8.666667,5.857143,7.857143,9.52381,85.333333,79.52381,97.380952,96.619048,49.190476,29.904762,13.809524,12.666667,15.619048,6.428571,2.333333,5.380952,8.809524,27.761905,5.142857,6.380952,9.190476,5.904762,2.809524,3.190476,6.761905,3.714286,9,8.095238,24.666667,1095.285714,,,,,,,,,,,,,
12,39.380952,71.190476,34.238095,15.380952,49.190476,23.809524,25.714286,5.714286,12,5.285714,27.809524,39.952381,53.238095,40.047619,35.428571,18.571429,21.904762,18.428571,34.47619,30.857143,25.904762,9.666667,10.380952,11.285714,17.666667,82.52381,86.761905,137.380952,97.333333,50.714286,39.571429,17.428571,26.142857,27.952381,14.952381,2.809524,7.47619,6.904762,26.857143,11.571429,8.714286,13.619048,10.52381,1.571429,2.857143,5,3.190476,8.285714,9.238095,25.619048,1402.52381,,,,,,,,,,,,,
LM,13.380952,19.571429,9.333333,6.714286,11.428571,8.52381,8.904762,4.428571,6.095238,5.952381,42.428571,53.428571,72.428571,59.571429,39.428571,24.52381,22.666667,20.952381,4.904762,4.857143,5.333333,1.333333,1.142857,3.809524,10.095238,90.333333,82.714286,123.047619,100.142857,43.571429,30.142857,12.047619,16.238095,12.285714,2.142857,25.571429,39.047619,3.047619,4,1.238095,2,4.904762,1.333333,17.761905,3.952381,13.904762,8.333333,8.52381,1.952381,5.761905,1115.238095,,,,,,,,,,,,,
