Exit stations,Entry stations->,,WEEKDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,9.166667,30.166667,28.444444,22.777778,81.5,23.944444,35.555556,27.222222,37.944444,10.555556,35.666667,25.666667,13.666667,10,9.111111,7.722222,5.611111,6.277778,8.388889,2.5,6.388889,2.388889,3.222222,4.222222,11.055556,90.111111,90.055556,145,101,67.055556,69.055556,20.222222,20.388889,11.5,6.888889,1.388889,3.777778,0.833333,4.611111,4.666667,10.666667,10.166667,5.277778,0.833333,3.166667,4.333333,2.333333,2.555556,3.833333,3.444444,1142.333333,,,,,,,,,,,,,
EN,33.5,9.888889,17.833333,18.222222,103.166667,30.666667,53.611111,43.444444,72.222222,19.777778,40,26.777778,18.111111,13.333333,11.944444,6.944444,8.666667,9.944444,9.611111,4.888889,9.055556,2.388889,2.388889,5.277778,12.388889,149.444444,139.166667,205.666667,159.722222,66.333333,75.944444,22.777778,31,16.5,9.277778,2.5,8.555556,1.888889,7.388889,8,9.055556,19.277778,11.833333,2.5,6.222222,4.555556,5,4.333333,3.166667,3.888889,1558.055556,,,,,,,,,,,,,
EP,32.888889,18,2.888889,14.277778,80.944444,18.833333,25.5,22.555556,39.166667,7.833333,18.5,8.444444,8,5.166667,3.333333,4.5,4.777778,3.222222,3.055556,2.888889,2.888889,2.277778,1,4.444444,4,49.444444,51.222222,55.611111,48.722222,22.333333,16.833333,4.944444,6.111111,3.111111,1.555556,1.388889,1.277778,1.055556,3,2.333333,1.277778,7.666667,4.444444,0.944444,2.222222,0.888889,1.5,1.666667,0.722222,1.166667,630.833333,,,,,,,,,,,,,
NB,23.666667,19.777778,15,2.444444,12.555556,7.277778,17,15.166667,14.777778,4.444444,20.222222,10.5,7.055556,6.055556,8,2.5,0.722222,2.333333,2.166667,3.833333,4.222222,0.333333,0.444444,0.555556,2.777778,32.222222,26.833333,28.722222,27.722222,16.722222,14.055556,3.611111,4.944444,4.722222,0.833333,1.388889,1.555556,1.055556,2.722222,0.611111,0.777778,4.388889,1.833333,0.222222,2.166667,2.333333,1.611111,0.888889,0.277778,1.388889,387.444444,,,,,,,,,,,,,
BK,90.666667,114.5,83.333333,15.777778,10.388889,36.555556,43.888889,44.055556,54.444444,17.722222,57.222222,33.277778,23.5,17.055556,16.555556,9.722222,13.222222,10.277778,8.777778,6.611111,7.888889,3.666667,2.222222,2.222222,15.166667,58.444444,43.166667,60.888889,57.833333,34.666667,26.944444,6.333333,12.055556,10.166667,3.277778,4.166667,7.166667,2.555556,11.388889,3.777778,3.388889,7.888889,7.666667,3.222222,4.611111,3.111111,3.444444,7.611111,1.333333,8.388889,1132.222222,,,,,,,,,,,,,
AS,24.111111,33.111111,18.944444,7,28.222222,3.444444,17.277778,21.333333,29.277778,7.833333,33.888889,16.833333,11.833333,7.611111,5.333333,3.722222,6.388889,2.444444,4.722222,2.333333,2.333333,1.111111,1,1.333333,9.777778,37.388889,35.833333,48.666667,48.222222,21.666667,12.166667,3.777778,8.666667,3.055556,1.5,1.111111,2.111111,0.277778,2.611111,1.277778,3.833333,4.277778,3.111111,1,1.833333,4.333333,2,2.444444,0.555556,2.111111,555.055556,,,,,,,,,,,,,
MA,46.333333,53.888889,22.888889,16.777778,38.777778,20.166667,7.111111,19.166667,25.222222,9.166667,48.5,36.388889,25.111111,20.777778,16,11.833333,12.888889,12.888889,21.222222,20.166667,24.055556,7.333333,5.222222,8.333333,15.166667,85.222222,69.222222,114.888889,104.944444,60.833333,36.833333,13.944444,9.666667,12,7.722222,4.166667,9.444444,5.055556,29.166667,3.444444,4.222222,13.166667,4.666667,2.666667,2.5,6.055556,4.722222,5.722222,18.277778,23.444444,1197.388889,,,,,,,,,,,,,
19,28.333333,43.833333,16.222222,14.166667,39.388889,20.388889,15.777778,5.166667,6.055556,4,27.444444,31.777778,26.611111,33.333333,19.388889,13.388889,14.333333,9,23.611111,24,19.333333,8.055556,6.111111,8,12.555556,84.555556,86.777778,97.944444,93.777778,47.555556,31.888889,12.277778,12.888889,14.055556,7.611111,2.222222,5.777778,8.277778,28.666667,4,6,8.888889,4.944444,2.777778,3.277778,5.388889,5.166667,6.833333,6.944444,22,1080.777778,,,,,,,,,,,,,
12,37.444444,76.722222,36.666667,16.388889,41.666667,26.666667,26.611111,4.277778,11.111111,5.666667,30.5,38.888889,47.111111,40.333333,31.944444,16.777778,20.888889,18.055556,29.833333,30.166667,23.777778,7.888889,10.444444,14.111111,22.388889,83.055556,81.388889,146.111111,91.833333,49.722222,37.944444,16.944444,25.333333,24.666667,14.722222,3.055556,8.111111,6.833333,27.333333,12.055556,9.111111,14.166667,9.888889,1.611111,2.055556,9.055556,3.777778,7,9.555556,27.111111,1388.777778,,,,,,,,,,,,,
LM,10.833333,19.888889,8.666667,6.777778,13.833333,7.666667,9.111111,3.777778,6.166667,4.833333,42.277778,52.111111,68.277778,59.166667,38.277778,24.555556,20.833333,19.888889,4.333333,5.055556,4.111111,1.111111,0.333333,3.166667,9.222222,84.666667,79,130.888889,97.944444,40.666667,23.5,12.277778,19.333333,12.388889,1.333333,22.388889,35.555556,2.666667,5.277778,1.333333,1.444444,6.111111,1.111111,16.555556,4.333333,13.444444,9.222222,7.611111,2.388889,4.388889,1080.111111,,,,,,,,,,,,,
