Exit stations,Entry stations->,,WEEKDAY,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,6.1,27.95,24.9,21.2,68.55,23.5,32.1,23.55,37.9,9.65,26.45,28.85,14.55,12,10.6,7,5.8,5.2,6.25,2.3,5.5,1.4,2.4,5.2,10.85,75.15,76.25,133.3,90.2,57.8,63,19,18.9,11.95,6.3,0.7,3.25,0.55,4.45,4.55,11.15,7.05,4.85,1.1,2.6,3.15,2.25,1.95,2.55,2.15,1023.9,,,,,,,,,,,,,
EN,30.15,9,15.55,17.65,93.4,30.85,50.15,38.6,59.8,17.1,36.6,25.45,16.65,12.1,9.3,5.8,7.95,9.9,8.65,4.05,7.35,2.1,2.9,6,10.9,133.4,125.85,185.8,144.9,61.35,68.9,19.45,27,15.2,8.25,1.45,5.95,1.3,7.2,6.9,8.5,16.9,9.15,1.8,3.95,4.85,4.55,5.8,2.7,4.1,1403.15,,,,,,,,,,,,,
EP,26.55,13.2,2.65,14.15,68.35,17.95,23.15,18.3,36.6,7.6,17.85,8.35,7.35,3.85,1.85,3.95,4.7,2.55,2.8,1.7,2,1.45,0.55,3.65,3.5,48.4,39.2,53.55,44.6,17.25,15.45,4,6,2.05,1.3,1.45,1.15,0.95,2.25,3.05,1.3,5.05,3.5,0.85,1.25,1.15,0.95,1.05,0.6,1.25,552.2,,,,,,,,,,,,,
NB,22.45,16.2,14.9,2.7,10.8,10.7,13.6,13.45,11.9,4.6,17.25,11.3,6,6.45,6.15,1.85,0.55,2.65,1.55,3.3,4.6,0.25,0.4,0.6,2.6,25.85,21.6,25.95,23.3,11.75,11.9,2.1,4.3,4.55,0.8,1.2,1.4,0.7,3,0.45,0.55,4.2,1.55,0.35,1.55,2.35,0.9,1.05,0.2,1.5,339.85,,,,,,,,,,,,,
BK,82.1,103.3,67,12.5,7.8,34.25,38.3,34.9,48.7,15.85,47.1,28.85,21.25,15.05,14.05,8.3,11.8,7.95,7.75,4.65,5.45,3.25,2,2,12,46.6,30.45,53.8,50,23.9,22.9,7.45,11.6,10.3,2.35,3.7,5.05,1.6,10.85,2.75,2.2,6.55,5.35,2.35,4.15,2.9,3.35,6.4,2.35,6.05,961.1,,,,,,,,,,,,,
AS,22.4,31.1,17.7,7.35,26.55,2.85,17.65,18.8,25.55,5.95,31.1,15.3,9.8,6.05,5.25,2.6,5.85,2.35,5.35,2.4,1.6,0.45,1.2,0.6,8.55,28,31.5,42.2,44.5,17.45,12.45,3,5.9,2.4,1.25,0.6,1.65,0.1,2.6,0.85,4.25,3.8,2,0.8,1.5,4.5,1.3,2.75,0.55,2,492.25,,,,,,,,,,,,,
MA,44.95,49.1,21.15,12.3,34,17.6,6.25,16.35,23.85,8.55,44.8,33.05,25.9,19.65,15,9.45,11.9,10.25,19.75,17.85,20.2,5.7,5.8,6.35,13.35,64.6,55.45,110.75,85.95,48.35,31.7,13.3,10.75,9.75,7.4,2.1,8.3,4.35,27,4.25,2.85,10,3.7,2.6,1.95,3.3,4.15,4.65,16.9,22.8,1050,,,,,,,,,,,,,
19,25.4,38.25,13.2,12,31,16.1,14.3,3.75,5.5,3.65,21.45,29.85,21.8,29.1,18.55,11.35,10.7,7.7,20.8,19.95,14,4.8,4.25,9.45,11.55,73.3,68.25,92.2,77.6,37.35,24.3,11.2,15.2,13.45,5.25,2.35,3.7,6.85,22.15,2.85,5.25,7.6,3.95,3.4,2.55,3.3,5.15,4,7.1,18.15,914.9,,,,,,,,,,,,,
12,36.6,62.75,32.75,12.7,40.35,22.55,21.1,4.8,9.85,4.5,28.35,32.45,39.55,33.65,28.9,12.25,16.85,15.15,24.8,27.2,22.35,6.3,7.55,11.1,17.7,74.4,73.65,130.05,83.45,44.05,32.65,13.6,20.65,22.8,10.9,1.8,5.15,6,21.2,9.65,10.85,11.85,7.15,1.15,2.15,6,3.45,6.2,7.6,26.8,1205.3,,,,,,,,,,,,,
LM,8.9,16.9,8.75,5.2,11.6,7.25,7.95,4.4,5.4,4.4,37.35,44.95,63.4,51.3,28.6,22,19,17.1,2.95,4.85,4.65,0.85,0.2,2.45,9.45,70.05,67.65,112.25,79.45,36,21.35,10.95,16.2,10.4,1.25,20.85,30.6,1.6,4.1,1.15,1.7,3.9,1.25,12.5,3.95,11.3,7.6,7.1,1.9,4,928.9,,,,,,,,,,,,,
