Exit stations,Entry stations->,,WEEKDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,6.947368,26,22.052632,20.052632,66.947368,23.421053,36.421053,25.736842,40.210526,9.578947,29.315789,28.263158,11.210526,8.263158,6.894737,7.842105,3.210526,4.210526,8.263158,2.578947,8.210526,3.105263,2.105263,4.789474,13.315789,73.736842,82.473684,127.894737,85.947368,66.842105,67.631579,19,19.052632,12.210526,6.421053,1.315789,3.052632,1.052632,3.789474,5.263158,8.157895,7.473684,5.684211,0.526316,2.421053,5.842105,2.157895,2.842105,3.526316,2.421053,1035.684211,,,,,,,,,,,,,
EN,30.473684,9.631579,17.052632,18.210526,92.526316,35.052632,55.473684,42.789474,63.473684,18.421053,39.842105,26.105263,14.947368,14.526316,12.368421,7.473684,7.473684,9.473684,7.263158,4.631579,9.210526,3.210526,2.578947,6.210526,10.368421,144.473684,129.421053,177.684211,141.368421,69.052632,76.052632,20.210526,28.578947,14.789474,7.368421,1.421053,8,1.210526,6.052632,7.789474,9.526316,12.842105,10.210526,2.842105,4.052632,6.947368,3.105263,4.894737,3.263158,3.368421,1453.315789,,,,,,,,,,,,,
EP,27.315789,17.105263,3.052632,14.789474,76.105263,17.157895,22.526316,21.315789,38.473684,8,13,7.526316,5.368421,4.473684,4.736842,3.526316,4.578947,3.368421,3.421053,1.684211,2.526316,1.631579,0.526316,4.736842,3.578947,48.631579,45.894737,52.368421,47,17.684211,14.105263,4.105263,6.421053,2.105263,0.947368,1.105263,1.105263,1,3,2.842105,1.263158,4.894737,3.736842,1.157895,1.210526,1.578947,1.789474,1.631579,0.105263,1.315789,577.526316,,,,,,,,,,,,,
NB,23.052632,18.105263,14.052632,2.210526,11.947368,7.631579,12.421053,13.315789,12.789474,4.736842,20.894737,9.947368,5.894737,4.263158,6.157895,1.578947,1.105263,2.631579,1,3.789474,2.842105,0.684211,0.315789,0.894737,3.894737,29.842105,24.210526,29.526316,29,15.052632,15.157895,2.105263,6.631579,4.631579,0.736842,0.368421,1.842105,0.631579,3.263158,1.052632,0.684211,3.315789,0.947368,0.315789,1.315789,2.789474,1.157895,0.684211,0.105263,1.052632,362.578947,,,,,,,,,,,,,
BK,79.736842,99.210526,74.368421,12.263158,9,34.105263,40.263158,41.368421,46.578947,13.421053,50.157895,38.263158,21.473684,17.789474,14.526316,9.842105,12.578947,8.105263,8.894737,5.473684,8.368421,2.947368,1.263158,1.473684,13.526316,47.052632,37,58.526316,56.684211,29,23.631579,9.736842,12.315789,8.789474,3.105263,2.947368,6.421053,2.157895,10.157895,3.368421,3.684211,5.052632,7.526316,3.052632,3.736842,4.263158,2.736842,6.684211,2.421053,6.631579,1021.684211,,,,,,,,,,,,,
AS,23.842105,35.315789,16.210526,6.052632,25.157895,3.894737,14.526316,21.421053,27.842105,7.578947,32.421053,19.421053,12.105263,8.315789,4.315789,3.052632,6.210526,2.421053,5.736842,3.315789,2.210526,0.789474,0.473684,1.263158,7.421053,31.578947,33.368421,49.052632,42.578947,18.736842,11.684211,2.947368,7.105263,3.684211,1.210526,0.947368,2.157895,0.105263,1.315789,1.578947,4.263158,2.789474,2,0.947368,1.315789,4.263158,2.526316,2.736842,0.578947,3.052632,523.842105,,,,,,,,,,,,,
MA,44.578947,51.894737,22.368421,12.789474,34.157895,18.368421,7.368421,17.578947,25,8.631579,46.842105,35.210526,28.631579,22.894737,15.526316,10.526316,11.947368,11.105263,18.210526,21.947368,25.473684,6.842105,4.631579,6.210526,13.157895,68.421053,75.947368,109.368421,95.210526,50.842105,31.842105,13.368421,12.631579,10.157895,8.578947,2.421053,9.684211,4.578947,28.421053,3.947368,2.736842,7.526316,4.947368,2.684211,2.368421,4.210526,4.894737,3.842105,17.263158,24.526316,1122.315789,,,,,,,,,,,,,
19,26.473684,42.789474,17.157895,12.368421,35.736842,16.263158,14.526316,7.789474,5.736842,4.263158,24.315789,27.368421,21.578947,23.105263,17.578947,9.368421,13.210526,7.684211,20.842105,22.631579,16.263158,4.421053,5.157895,9.052632,12.789474,84.210526,76.842105,101.421053,91.263158,49.578947,28.421053,12.631579,15.473684,15.736842,5,2,4.789474,7.105263,23.578947,3.052632,5.947368,5.894737,3.631579,3.684211,2.684211,5.684211,3.789474,4.210526,5.842105,18.263158,999.210526,,,,,,,,,,,,,
12,42.578947,65.368421,35.210526,11.210526,34.684211,25.263158,22.894737,5.105263,9.473684,3.947368,28.894737,32.473684,41.210526,35.631579,27.947368,15.157895,18.947368,17.315789,25.842105,30.210526,21.789474,6.947368,6.736842,10.368421,16.052632,75.263158,78.473684,137.368421,85.526316,44.263158,33.736842,14.894737,27.157895,23.263158,12.263158,2.631579,8.052632,5.526316,24.315789,8.210526,7.789474,9.052632,10,1.578947,2.105263,7.684211,3.210526,6.263158,9.684211,29.315789,1258.894737,,,,,,,,,,,,,
LM,11.157895,19.052632,8.684211,5.263158,11.105263,9.210526,9.842105,3.315789,5.263158,5.894737,41.578947,51.578947,64.894737,51.421053,33.105263,22.526316,18.947368,18.789474,3.894737,5.052632,5.421053,1.052632,0.947368,1.842105,7.684211,81.052632,71.473684,105.368421,84.736842,38.315789,27.684211,9.842105,19.631579,10.789474,1.526316,20.684211,28.631579,1.842105,3.157895,0.684211,1,3.105263,0.368421,12.421053,3.263158,9.263158,6.842105,8.631579,1.894737,5.526316,975.263158,,,,,,,,,,,,,
FV,26.473684,38.315789,11.947368,19.842105,49.526316,29.526316,40.789474,26.578947,32.210526,33.894737,14,76.842105,83.789474,87.894737,63.631579,33.157895,29.263158,30.736842,10.894737,4.736842,11.684211,6.947368,13.526316,16.315789,35,115.315789,114.789474,213.526316,172.210526,74.842105,79.631579,18.210526,17.157895,15.052632,5.421053,24,54.736842,2.526316,10,3.157895,7.052632,6.894737,4.105263,23.631579,3.736842,24.421053,6.736842,9.894737,3.105263,9.736842,1847.421053,,,,,,,,,,,,,
CL,28.789474,22.421053,6.684211,10,32.789474,17.157895,37.421053,27.315789,40.526316,37.157895,65.157895,11.736842,43.421053,50.842105,41.157895,20.842105,16.315789,16.368421,13.052632,6.631579,6.578947,2.105263,1.473684,5.105263,23.473684,67.789474,67.578947,110.631579,85.210526,42.210526,36.842105,18.578947,14.263158,18.105263,2.210526,8.368421,25.947368,1.052632,7.631579,2.894737,5.947368,6.526316,4.157895,9.842105,5.631579,11.315789,4.736842,6.210526,5,12.684211,1165.894737,,,,,,,,,,,,,
