Exit stations,Entry stations->,,WEEKDAY,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,8.347826,28.913043,25.956522,19.565217,72.173913,22.173913,41.217391,28.869565,38,10.391304,31.434783,26.304348,10.956522,9.565217,7.173913,8,3.652174,5.347826,7.73913,1.652174,7.565217,1.913043,1.913043,5.565217,12.956522,81.913043,86.956522,130.73913,88.782609,69.434783,69.130435,20.565217,22.913043,12.130435,6.565217,1.173913,3.173913,0.956522,4.652174,5.304348,8.217391,8.086957,7.608696,1.478261,2.913043,4.26087,1.913043,3.478261,4.173913,2.434783,1086.304348,,,,,,,,,,,,,
EN,20.869565,5.652174,9.304348,12.434783,60.956522,19.956522,33.043478,26.869565,41.434783,10.956522,22.913043,18.391304,9.652174,6.521739,7.565217,3.565217,5.695652,5.695652,4.347826,3.391304,5.782609,2,2.130435,3.608696,5.26087,93,83.826087,112.347826,86.173913,44,44.173913,12.434783,16.521739,9.521739,4.826087,1,4.347826,0.913043,4.217391,3.826087,6.043478,10.043478,5.782609,1.869565,3.73913,3.826087,2.130435,2.73913,2.565217,2.26087,910.130435,,,,,,,,,,,,,
EP,33.391304,18.695652,2.608696,16,79.956522,17.608696,24.869565,23.565217,35.73913,8.565217,14.130435,9.826087,7.521739,6.173913,4.391304,4.086957,4.782609,3.565217,3.608696,1.913043,2.652174,1.521739,0.565217,4.521739,3.26087,55.173913,50.73913,65.434783,53.782609,21.434783,17,5.130435,6.217391,2.782609,0.869565,1.086957,1.130435,0.869565,3.478261,2.434783,1.217391,7.086957,4.347826,1.347826,2.347826,1.608696,1.695652,1.73913,0.73913,0.869565,644.086957,,,,,,,,,,,,,
NB,23.608696,20.217391,16.434783,2.347826,14.217391,7.913043,15.26087,16.391304,16.043478,5.73913,19.608696,12.869565,6.782609,3.826087,6.086957,1.565217,1.130435,2.347826,1.652174,4.043478,3.434783,1.26087,0.956522,1.217391,2.782609,29.391304,29.26087,33.217391,33.130435,17.043478,14.956522,2.521739,5.913043,4.26087,0.826087,0.608696,1.608696,0.956522,3.391304,1.043478,0.913043,5.782609,1.086957,0.086957,2,3.434783,1.217391,0.73913,0.173913,0.782609,402.086957,,,,,,,,,,,,,
BK,85.956522,110.391304,81.130435,15.565217,10.173913,38.782609,41.869565,43.956522,55.521739,15.26087,49.521739,45.347826,22.304348,21.652174,15.956522,10.608696,11.391304,9.826087,9.217391,6.478261,8.826087,3.217391,1.869565,2.478261,13.043478,61,52.304348,76.73913,65.956522,38.217391,27.73913,8.73913,12.478261,11.347826,2.826087,2.956522,7.173913,2.521739,11.521739,3.347826,4.478261,9.869565,9.782609,1.652174,7.173913,5.043478,4.26087,8.086957,2.130435,8.043478,1175.73913,,,,,,,,,,,,,
AS,23.608696,37.130435,16.782609,6.565217,30.782609,4,16.956522,21.608696,33.304348,7.478261,35.478261,20.782609,13.043478,7.26087,5.521739,4.347826,5.391304,2.782609,6.782609,3.869565,3,0.695652,0.521739,1.086957,8.130435,38.478261,38.695652,56.956522,48.043478,25.217391,12.217391,3.26087,6.608696,3.565217,1.26087,0.652174,3,0.26087,2.826087,1.695652,5.086957,3.304348,2.217391,1.217391,2.391304,4.434783,1.391304,3.26087,0.565217,2.869565,586.391304,,,,,,,,,,,,,
MA,47.521739,52.869565,24.478261,16.347826,35.521739,20,7.086957,18.043478,29.869565,6.826087,49.26087,38.956522,28.73913,17.565217,12.869565,9.173913,13.391304,11.608696,18.913043,23.304348,28.304348,6.652174,6.826087,6.304348,15.391304,77.478261,77.565217,120.521739,99.826087,53.565217,34.869565,12.652174,16.304348,10.826087,8.347826,2.434783,10.608696,3.304348,26.956522,3.521739,3.608696,11,4.869565,2.695652,3.434783,3.956522,4.217391,4.565217,16.826087,25.391304,1185.173913,,,,,,,,,,,,,
19,27.869565,46.26087,18.391304,16.695652,38.391304,19.782609,17.434783,4.956522,4.869565,5.478261,25.086957,30.652174,25.304348,23.73913,20.782609,8.913043,12.652174,7.913043,25.826087,21.652174,18.695652,6.391304,6.173913,10.304348,11.043478,93.434783,87.217391,108.043478,101.217391,54.608696,34.565217,11.521739,16.869565,15.173913,6.391304,3,5.478261,9.043478,24.826087,4.913043,5.869565,7.782609,3.434783,3.521739,3.73913,5.173913,5.043478,5.695652,7.782609,23.086957,1102.695652,,,,,,,,,,,,,
12,39.347826,72.826087,36.130435,14.652174,42.608696,30.217391,25.956522,4.869565,10.304348,4.652174,30.521739,43.73913,47.043478,37.565217,29.913043,13.391304,21.652174,18.434783,29.043478,33.043478,25.304348,7.478261,7.73913,14.478261,15.217391,85.217391,88.26087,148.73913,100.956522,52.217391,37.826087,16.26087,29.782609,25.565217,14.652174,2.913043,7.434783,8.086957,26.565217,10.478261,9.043478,13.173913,10.695652,1.521739,3.173913,7.608696,3.434783,6.652174,8.391304,31.043478,1405.826087,,,,,,,,,,,,,
LM,10.608696,18.304348,8.043478,6.913043,11.478261,8.130435,8.695652,3.478261,5.217391,5.391304,43.086957,59.304348,68.695652,57.130435,35.521739,23.73913,19.956522,18.869565,4.26087,3.956522,4.695652,2.086957,1.26087,2.652174,7.347826,89.130435,88.73913,116.304348,92.26087,43.608696,30.73913,14.043478,18.913043,11.086957,1.608696,23.434783,32.391304,2.217391,3.173913,2.086957,1.608696,3.391304,0.73913,14.869565,4.869565,10.782609,6.826087,9.608696,1.913043,5.826087,1069,,,,,,,,,,,,,
