Exit stations,Entry stations->,,WEEKDAY,,,Apr 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,13.272727,33.272727,30.272727,22.909091,81.636364,26.863636,44.136364,31.181818,40.090909,11.863636,33.863636,29.318182,12.090909,8.227273,8.090909,9.272727,3.909091,6.590909,9.590909,3.090909,7.636364,1.818182,2.545455,7.090909,12.545455,85.227273,95.681818,142.545455,94.409091,80.727273,81.909091,23.318182,23.227273,12.681818,6.272727,0.772727,3.454545,1.409091,4.818182,4.909091,9.863636,10.954545,8.454545,1.136364,4.909091,4.090909,1.818182,4.681818,4.818182,3.772727,1207.045455,,,,,,,,,,,,,
EN,18.681818,4.772727,7.681818,8.545455,47.590909,12.909091,23.272727,18.045455,24.136364,5.636364,14.454545,17,6.272727,6.136364,7.636364,3.363636,3.5,3.454545,4.136364,2,4.772727,1.454545,2.136364,1.909091,5.636364,63.181818,52.227273,75.545455,52.363636,25.545455,29.5,5.909091,11.545455,5.545455,3.227273,0.636364,2.409091,1.090909,3.681818,1.363636,2.681818,7.090909,3.181818,1.363636,2.772727,1.5,2.136364,2.181818,1.636364,2,615.454545,,,,,,,,,,,,,
EP,37.727273,22.590909,3.590909,17.045455,93.136364,21.363636,28.727273,26.954545,39.772727,10.045455,15.636364,12.454545,8.272727,5.5,3.5,3.863636,4.772727,3.5,5,2.681818,2.045455,2.136364,0.5,5.045455,3.045455,57.318182,59.045455,67,60.5,23.181818,20.681818,6.227273,7.590909,4,1.090909,1.136364,1.181818,1.272727,2.954545,2.409091,1.727273,9.818182,5.590909,1.409091,3.5,2.136364,1.409091,2.318182,0.636364,1.727273,724.772727,,,,,,,,,,,,,
NB,25.181818,20.5,17.5,3.181818,16.363636,11.454545,18.363636,19.363636,21.363636,7.772727,24.681818,15.363636,6.772727,4.636364,6.318182,2.590909,2.727273,3.363636,2.136364,3.227273,4.727273,1.5,1.363636,1.909091,4.045455,37.545455,33.5,40.409091,44.454545,23.181818,19.045455,4,5.772727,3.863636,2.045455,1.545455,1.318182,1.136364,4.545455,1.363636,1.272727,8.409091,2.272727,0.318182,4.681818,3.045455,1.272727,1.045455,0.272727,0.636364,493.363636,,,,,,,,,,,,,
BK,100.045455,128.227273,96.272727,17.681818,8.909091,46.545455,50.863636,58,64.636364,18.636364,55.409091,50.818182,25.318182,22.227273,19.181818,10.727273,14.727273,12.136364,9.318182,7.318182,8.545455,3.863636,1.545455,3.863636,14.909091,68.909091,56.636364,86.409091,67.818182,44.227273,33.045455,8.909091,16.272727,9.590909,3.045455,4.045455,10.090909,2.454545,11.636364,4.136364,4.818182,13.363636,9.954545,1.772727,9.863636,6.136364,6.045455,8.863636,2.181818,9.363636,1349.318182,,,,,,,,,,,,,
AS,28.727273,39.863636,19,8.909091,33.454545,5.181818,18.636364,27.409091,37.227273,8.136364,37.909091,26.818182,13.454545,11.181818,7.772727,3.590909,5.909091,3.681818,6.227273,3.636364,3.409091,0.863636,0.681818,0.909091,7.5,43.636364,46.681818,68.045455,56.181818,29.090909,16.590909,5.681818,5.863636,3.136364,2.136364,1.090909,3.5,0.318182,1.818182,1.727273,3.954545,5.590909,3.090909,1.454545,4.045455,4.5,2.772727,3.681818,0.409091,2.909091,678,,,,,,,,,,,,,
MA,52.909091,59.454545,29,18.681818,45.909091,21.227273,10.863636,21.090909,34.772727,9.454545,57.363636,48.090909,29.5,18.363636,17.363636,9.454545,14.227273,12.727273,22.954545,24.272727,33.409091,8.045455,6.954545,7.818182,15.545455,89.363636,85.954545,131.136364,105.5,69.681818,41.5,14.272727,19.045455,10.818182,10.818182,3.045455,12.227273,3.454545,28.363636,5.454545,4.681818,14.181818,6.272727,3.227273,6.454545,4.5,4.727273,7.090909,17.681818,30.818182,1359.727273,,,,,,,,,,,,,
19,32.5,51.045455,20.727273,19.181818,50.090909,23.045455,21.590909,5.545455,4.590909,4.818182,31.636364,40.045455,27.272727,28.772727,21.136364,12.863636,14.909091,9.136364,27.409091,23.818182,18.272727,7.772727,7.090909,11.045455,14.818182,97.818182,91.727273,125.636364,109.863636,67.045455,39.045455,16.727273,17.772727,16.863636,4.818182,3,7.136364,9.909091,28.681818,6.272727,7.090909,11.727273,4,5.045455,5.318182,4.863636,4.954545,5.136364,7.636364,25.454545,1252.681818,,,,,,,,,,,,,
12,43.181818,79.727273,42.181818,21.545455,53.5,36.318182,33.954545,5.954545,10.045455,5.545455,32.5,53.545455,47.454545,38.772727,37.045455,16.181818,23.636364,19.318182,32.136364,32.363636,29.590909,9,11.818182,16.181818,17.590909,104.090909,95.136364,164.954545,113.545455,59.318182,47.636364,20,33.954545,27.090909,15.363636,2.681818,7.727273,6.863636,29.181818,12.181818,9.590909,13.772727,11.5,2,4.590909,8.090909,3.863636,6.772727,9.636364,39.136364,1597.772727,,,,,,,,,,,,,
LM,11.090909,16.909091,8.545455,8.045455,14.818182,6.909091,8.727273,4.045455,6.045455,6,48.227273,77.318182,80.772727,61.454545,38.272727,25.954545,26.227273,21.909091,5.772727,3.954545,5.454545,1.772727,0.727273,2.136364,8.545455,102.954545,99.227273,128.227273,103.863636,50.590909,38.5,17.954545,21.318182,11.5,2.318182,24.090909,41.545455,1.409091,3.227273,2.318182,2.772727,4.045455,1.045455,19.090909,6.5,11.454545,8.272727,9.636364,1.818182,7.5,1220.818182,,,,,,,,,,,,,
FV,33.5,41.363636,16.5,21.727273,56.409091,33.818182,51.5,33.090909,38.363636,39.909091,13.409091,109.181818,100.181818,96,72.727273,40.045455,30.590909,36.454545,12.227273,6.136364,13.863636,6.863636,15.136364,15.090909,40.909091,141.909091,132.954545,244.772727,199.818182,93.863636,94.136364,18.681818,26.318182,19.363636,5.5,24.909091,57.590909,1.363636,9.409091,3.227273,7.863636,10.5,4.363636,26.863636,6.045455,21.5,8.772727,12.090909,4.454545,13.409091,2164.681818,,,,,,,,,,,,,
CL,31.227273,38.454545,13.318182,16.454545,44.227273,23.454545,47.545455,42.409091,64.636364,58.227273,101.772727,19.136364,67.181818,68.545455,51.409091,30.045455,31,27.409091,15.818182,12.136364,11.045455,9.181818,5.318182,10.681818,36.727273,94.136364,84.681818,124.636364,103.727273,51.045455,51.5,20.136364,20.636364,21.5,3.136364,21.5,72.727273,3.227273,11.954545,3.363636,8.772727,7.863636,4.681818,20.772727,10.818182,19.545455,11.272727,20.5,4.727273,17.954545,1692.181818,,,,,,,,,,,,,
SL,12,18.318182,7.363636,5.5,26.136364,18.090909,31.590909,29.272727,51.181818,77.909091,100.545455,72.136364,7.363636,39.409091,56.409091,33,23.681818,19.136364,6.954545,6.181818,5.227273,2.090909,1.818182,7.318182,16.272727,114.318182,116.090909,144.954545,95.454545,44.954545,37.818182,13.136364,13.090909,13,2.954545,15.045455,36.545455,0.681818,4.545455,3.636364,4.681818,9.954545,2.272727,18.909091,4.045455,16.090909,6.727273,8.272727,4.318182,6.863636,1413.272727,,,,,,,,,,,,,
BF,7.727273,14,5.454545,6.227273,22.181818,9,24.545455,30,46.363636,62.409091,97.863636,73.045455,44.636364,7.045455,33.636364,25.227273,23.636364,35.136364,7,3.045455,2.409091,0.909091,2.772727,4.863636,14.090909,89.909091,103.545455,126.772727,91.5,41.727273,31.090909,7.909091,14.227273,10.727273,3.136364,13.454545,47.090909,2.090909,2.227273,4.5,5.363636,6.863636,2.090909,23.227273,2.545455,18.909091,5.136364,6.181818,1.954545,2.636364,1268.045455,,,,,,,,,,,,,
