Exit stations,Entry stations->,,WEEKDAY,,,Jun 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,10.545455,37.318182,27.727273,25.636364,94.681818,32.454545,61.454545,35.681818,42.772727,12.909091,36.227273,31.818182,14.5,9.863636,9.818182,8.5,4.363636,6.363636,6.272727,3.045455,7.636364,2.636364,4.045455,6.454545,12.954545,118.818182,105.636364,173.136364,116.272727,82.090909,91.409091,25.227273,22,12.818182,6.818182,1.5,3.318182,2.227273,6.5,4.909091,11.545455,15.318182,9.681818,1.636364,5.545455,5.681818,1.863636,3.136364,5.227273,3.636364,1381.636364,,,,,,,,,,,,,
EN,41.318182,11.818182,28.636364,24,138.409091,35.772727,72.045455,62.590909,96.727273,21.636364,47.090909,39.454545,22.136364,16.045455,17.954545,7.590909,11.227273,14.181818,10.363636,4.772727,10.318182,3.409091,4.090909,9.545455,14.318182,220,191.454545,251.363636,204.954545,90.545455,94.363636,26,33.954545,22.863636,8.272727,1.727273,8.272727,2.136364,5.818182,8.636364,11.590909,33.272727,16.727273,3.545455,16.590909,7.227273,4.954545,6.636364,2.909091,3.636364,2042.909091,,,,,,,,,,,,,
EP,32.772727,30.681818,4.5,20.318182,116,22.5,34.5,41.409091,51.590909,13.045455,19.045455,13.272727,10.409091,6.318182,5.045455,5.181818,5.181818,4.045455,6.136364,2.863636,4.5,3.363636,1.681818,8.181818,3.318182,95.318182,85.090909,86.954545,87.409091,40,26,9.590909,7.409091,5.590909,1.227273,1.636364,2.909091,1.181818,4.954545,2.227273,2.045455,17.045455,6.636364,2.045455,8.181818,2.772727,1.772727,2.5,0.772727,1.181818,968.318182,,,,,,,,,,,,,
NB,22.772727,21.863636,17.818182,6.727273,24.5,11.045455,21.727273,31.318182,29.863636,8.090909,27.909091,17.818182,7.681818,5.454545,7.090909,2.5,3.454545,3.5,4.318182,4.909091,6.045455,1.318182,1.818182,3,5.409091,82.136364,69.181818,59.727273,68.272727,37.681818,27.909091,7.136364,6.090909,6.409091,1.636364,1.454545,2.318182,1.181818,5,3.272727,1.181818,21.727273,4.045455,0.681818,10.5,3.590909,2.545455,2.636364,0.5,2.136364,726.909091,,,,,,,,,,,,,
BK,110.545455,150.5,119.5,25.590909,14.5,56.863636,57.954545,76.590909,81.045455,25.272727,68.545455,42.454545,32,23.227273,21.318182,12.590909,18.045455,17.454545,13.090909,14.409091,15.772727,7.409091,4.409091,4.409091,19.045455,122.363636,94.090909,116.318182,109.454545,62,45.5,14.636364,19.545455,12,4.272727,5.272727,14.045455,3.863636,12.363636,4.909091,6.727273,24.818182,21.318182,6.5,15.545455,9.318182,8.909091,14.409091,3.636364,9.5,1793.863636,,,,,,,,,,,,,
AS,33.272727,39.272727,21.409091,8.909091,41.454545,6.545455,20.727273,36.181818,42.363636,12.727273,37.454545,24.772727,13.409091,11.636364,8.681818,5.636364,8.818182,6.909091,5.590909,4.136364,5.818182,3.181818,0.636364,2,11.090909,79.681818,71.227273,82.545455,82.090909,47.227273,23.545455,6.954545,9.454545,3.636364,2.272727,1.181818,5.272727,0.272727,2.318182,2.318182,4.636364,13.454545,6,1.681818,7.5,5.727273,3.681818,6.181818,0.636364,3.909091,886.045455,,,,,,,,,,,,,
MA,59.454545,70.5,33.681818,24.590909,51.318182,23.636364,12.090909,28,40.909091,11.090909,66.318182,49.045455,34.181818,20.863636,20.818182,10.954545,16.090909,14.954545,25.272727,30.454545,33.045455,10.590909,9.454545,11.954545,17.5,155.181818,140.727273,160.954545,158.045455,96.954545,60.681818,22.318182,21.590909,15.409091,10.136364,3.590909,12.090909,4.863636,33.272727,7.5,7.681818,29.636364,8,3.5,10.181818,6.5,6.318182,11.181818,18.727273,36.318182,1768.136364,,,,,,,,,,,,,
19,35.954545,51.863636,33.5,26.863636,57.954545,29.590909,29.954545,9.954545,6.409091,5.363636,33.636364,37.5,34.636364,30.5,24.318182,15.5,17.272727,13,30.636364,26.909091,26.272727,11.909091,10.454545,16.454545,15.227273,159.772727,161.545455,162.227273,141.090909,88.363636,57.090909,24.318182,21.045455,20.954545,5.863636,3.5,8.272727,8.545455,26.363636,8.863636,4.409091,21.409091,8.363636,4.5,9.454545,7,6.954545,8.136364,9.681818,25.818182,1635.181818,,,,,,,,,,,,,
12,45.227273,99.045455,54.727273,31,69.954545,41.045455,40.772727,7.045455,13.590909,6.363636,34.545455,48.909091,53.090909,44.545455,42.318182,19.045455,28.909091,20.363636,41,41.818182,41.863636,16.727273,16.227273,21.454545,21.136364,149.454545,138.454545,202.636364,145.045455,74.227273,65.181818,28.409091,41.545455,36.227273,15.409091,6.5,13.090909,11.681818,38.227273,15.272727,9.227273,29.954545,14.954545,2.909091,9.818182,9.5,9.272727,10.545455,13.909091,46.136364,2038.318182,,,,,,,,,,,,,
LM,9.272727,21,11.136364,7.954545,22.409091,10.772727,11.545455,5.181818,6.954545,7.272727,51.181818,77.045455,94.181818,69.409091,43.681818,31.045455,27.909091,26.727273,8.727273,3.909091,6.363636,2.681818,1.409091,3.954545,10.681818,149.227273,128.545455,156.454545,121.590909,68.272727,42.681818,23.727273,22.318182,13.863636,2.045455,34.090909,55.681818,2.909091,4.136364,3,1.954545,7.409091,1.818182,21.272727,12.727273,19.954545,8.409091,12.318182,1.863636,9.318182,1498,,,,,,,,,,,,,
