Exit stations,Entry stations->,,WEEKDAY,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,7.545455,57,40.772727,31.363636,144.636364,37.090909,64.454545,34.272727,48.545455,13.636364,41,33.590909,15.5,13.681818,14.5,6.954545,6.818182,5.545455,8.227273,3.590909,11.227273,4.454545,2.727273,9.545455,13.409091,129.136364,113.818182,199.409091,125.363636,89.318182,89.181818,23.909091,26.409091,21.772727,9.136364,2.318182,4.454545,3.181818,5.272727,5.909091,11.090909,18.045455,9.227273,2.818182,7.454545,3.909091,2.5,5.636364,5,3.136364,1587.5,,,,,,,,,,,,,
EN,48.409091,12.136364,36.590909,21.545455,216.954545,42.909091,76.5,81.409091,102.681818,28.136364,51.318182,49.272727,21.272727,15.227273,22.227273,8.181818,10.090909,11,9.090909,5.318182,11.636364,3.409091,5.227273,10.545455,14.727273,256,215.5,291.363636,214.954545,86.954545,90.5,28.590909,37.636364,38.409091,10.181818,2.454545,7.681818,3.818182,6.681818,11.409091,12.863636,44.590909,17.590909,2.454545,16.954545,6.090909,4.772727,7.090909,2.909091,5.409091,2338.681818,,,,,,,,,,,,,
EP,42.409091,35.636364,5.363636,23.090909,177.5,24.363636,43.636364,44.045455,59.954545,16,26.045455,21.136364,14,7.272727,9.272727,6.272727,5.090909,5.954545,6.454545,2.681818,5.090909,4.409091,1,10.863636,3.727273,112.363636,101.545455,98.818182,102.454545,35.863636,27.954545,10.454545,7.954545,12.318182,0.772727,2,3.045455,1.772727,5.590909,3.5,2.181818,26.045455,8.772727,1.863636,10.681818,2.363636,1.727273,5.045455,1,1.636364,1189,,,,,,,,,,,,,
NB,28.318182,23.227273,24.136364,6.727273,54.318182,15.727273,30.363636,42.818182,36.181818,15.818182,33.272727,23.045455,8.045455,4.818182,8.5,2.272727,4.181818,5.454545,5.272727,4.363636,3.681818,2.136364,1.863636,4.090909,5.636364,108.227273,84.045455,74.636364,99.227273,40,32.045455,11.181818,12.227273,9.727273,2.727273,3.090909,3.5,1.181818,4.727273,2.5,1.727273,37.136364,5.181818,1.090909,12.545455,4,3.045455,4.045455,0.909091,1.818182,954.818182,,,,,,,,,,,,,
BK,161.227273,241.590909,192.318182,59.590909,24.590909,83.136364,93.136364,116.590909,126.5,38.136364,95.863636,65.590909,50.590909,34.090909,33.954545,21.409091,37.590909,34.136364,25.818182,27.090909,26.272727,15.727273,10.681818,7.590909,32.5,206.045455,152.909091,208.272727,165.818182,94.727273,76.409091,29.090909,33.227273,29,7.954545,8.227273,30.681818,6,17.181818,9.090909,10.681818,57.636364,29.090909,9.409091,32.363636,14.409091,25.363636,33.045455,5.227273,16.136364,2963.727273,,,,,,,,,,,,,
AS,39.863636,42.454545,22.227273,14.545455,71.136364,8.545455,27.636364,43.045455,45.681818,16.681818,40.590909,31.545455,16.863636,13.863636,9.5,5.181818,9.409091,8.954545,7.363636,5.272727,4.636364,2.954545,1.090909,3.045455,9.363636,100.590909,88.045455,88.045455,100.272727,55.636364,30.227273,8.5,12.227273,7.318182,3.409091,1.636364,4.181818,0.5,3.090909,1.954545,5.318182,25.409091,6.5,1.454545,11.227273,6,6.545455,7.909091,0.818182,4.681818,1082.954545,,,,,,,,,,,,,
MA,67.5,81.181818,42.272727,29.409091,93.863636,33,12.954545,31.590909,54.454545,16.181818,79.954545,68.363636,40.090909,28.863636,24.227273,16,18.681818,18.318182,29.5,34.136364,38.590909,13.636364,12,18.5,23.454545,197,174.818182,190.181818,193.454545,109.045455,76.863636,21.545455,28.090909,20.636364,7.5,5.818182,12.409091,4.727273,33.909091,9.954545,6.5,41.863636,10.818182,5.272727,14.727273,6.954545,7.727273,12.681818,19.363636,42.772727,2181.363636,,,,,,,,,,,,,
19,38.045455,84.681818,41.454545,38.954545,111.727273,41.590909,34.136364,9.772727,10.727273,7.272727,40.954545,60.045455,41.636364,38.727273,32.681818,22.090909,24.909091,17.409091,42,36.090909,43.863636,23.136364,14.727273,33.181818,19.545455,211.681818,190.454545,191.136364,185.590909,101.863636,70.090909,26.363636,28.909091,25.136364,7.772727,6.272727,14.590909,10.181818,32.090909,8.863636,6.045455,32.545455,9.272727,5.727273,13.863636,10.045455,8.818182,14.590909,10.818182,33.818182,2165.909091,,,,,,,,,,,,,
12,48.863636,109.045455,60.272727,35,112.136364,37.727273,52.863636,8.545455,14.590909,7.454545,47.136364,67.818182,71.272727,53.954545,52.636364,23,33.818182,24.954545,48.863636,48.272727,50.545455,21.181818,19.772727,31.5,26.863636,202.227273,168,225.181818,176.954545,82.636364,69.045455,30.136364,43.363636,43.818182,17.045455,7.772727,15.954545,13,41.954545,17.272727,12.090909,42.045455,20.090909,4.909091,13.636364,12.136364,9.181818,15.454545,14.272727,51.863636,2458.136364,,,,,,,,,,,,,
LM,12.318182,29.227273,14.818182,13.5,39.318182,16.5,17.363636,6.045455,7,5.818182,56.909091,97.727273,100.590909,70.727273,47.909091,36.636364,32.636364,30.318182,9.590909,4.954545,6.590909,3,1.454545,4.590909,10.318182,173.636364,152.818182,190.909091,150.727273,74.272727,46.727273,23.954545,25.954545,18.772727,2.318182,41.954545,60.272727,2.454545,5.818182,2.363636,1.727273,13.954545,2.181818,25.227273,12.318182,19.409091,12.136364,13.227273,3.772727,11.545455,1764.318182,,,,,,,,,,,,,
