Exit stations,Entry stations->,,WEEKDAY,,,Sep 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,15.045455,67.727273,46,31.454545,188.090909,43.772727,64.136364,42.727273,51.727273,13.409091,46.545455,30.909091,16.818182,12.909091,18.909091,8.318182,7.272727,6.363636,11.818182,3.636364,12.681818,4.863636,4.181818,11.181818,11.909091,140.318182,123.818182,203.772727,128,101.954545,104.909091,24.772727,29.545455,31.818182,10.136364,3.136364,4.545455,2.318182,5.090909,6.090909,9.681818,21,7.772727,2.090909,8.454545,6.5,3.227273,5.727273,5.045455,6.909091,1769.045455,,,,,,,,,,,,,
EN,66.272727,14.590909,48.636364,32.636364,306.909091,42.772727,91.727273,98.727273,120.090909,30.409091,55.045455,44.545455,25.136364,18.363636,26.681818,8.136364,11.909091,13.363636,10.318182,4.727273,12.636364,3.181818,8.090909,10.227273,18.363636,282.545455,234.181818,311.545455,233.818182,103.954545,97.727273,31.363636,44.090909,52.636364,12,2.363636,7.863636,4.909091,6.863636,10.318182,14,49.681818,20.227273,2.772727,21.272727,11.136364,6.181818,9.590909,8.090909,6.090909,2708.727273,,,,,,,,,,,,,
EP,50.727273,43.954545,7.090909,29,256.636364,29.136364,44.818182,50.5,68.681818,19.045455,30.545455,18.181818,15.727273,7.454545,11.545455,5.681818,5.227273,9,8.227273,4.136364,6.545455,4.590909,1.954545,12.772727,5.272727,122.545455,107.681818,99.636364,109.681818,36.909091,30.818182,15.227273,10.409091,17.545455,1.090909,1.681818,2.727273,1.681818,5.863636,3.590909,2.454545,23.590909,9.090909,1.772727,9.363636,3.045455,2.818182,5.909091,1.772727,1.954545,1375.318182,,,,,,,,,,,,,
NB,32.409091,31.545455,29.727273,7.454545,79.727273,20.409091,28.272727,48,38.136364,15.090909,38.590909,23.454545,9.227273,5.318182,11.045455,2.954545,4.181818,7.045455,6.227273,6.318182,5.727273,4.909091,3.818182,6.545455,6.772727,111.636364,98.5,77.5,111.454545,45.545455,34.909091,11.636364,14.363636,14.045455,2.409091,3.636364,3.636364,1.272727,5.136364,2.772727,3.090909,32.772727,5,1,11.681818,4.363636,2.863636,5.227273,0.818182,3.136364,1081.318182,,,,,,,,,,,,,
BK,199.181818,329.636364,271.954545,87.954545,35.5,120.681818,125,157.954545,154.909091,56.409091,110.590909,80.181818,68.590909,47.045455,46.409091,35.363636,62,54.772727,32.727273,39.681818,34.454545,18.045455,14.590909,9.5,40.045455,224.636364,174.454545,210.181818,213.909091,122.045455,110.318182,48.181818,46.681818,47.454545,11.227273,12.863636,38.681818,8.272727,24.363636,10.636364,13.909091,50.863636,40.545455,11.227273,42.181818,22.181818,37.772727,48.727273,11.636364,21.727273,3837.863636,,,,,,,,,,,,,
AS,44.272727,46.727273,29.636364,21.545455,99.409091,9.590909,30.272727,54,48.863636,19.954545,41.454545,27.181818,17.590909,11.772727,12.636364,5.363636,10.045455,9.909091,8.5,6.409091,5.363636,2.318182,0.454545,4,9.863636,114.181818,95.545455,95.818182,116.318182,62.5,37.181818,8.954545,13.454545,11.136364,3.409091,1.818182,4.909091,1.181818,2.454545,2.590909,6.090909,20.772727,6.727273,1.272727,11.409091,5,9.5,7.545455,1.545455,5.227273,1223.681818,,,,,,,,,,,,,
MA,66.818182,88.136364,47.409091,30,129.636364,37.318182,19.590909,43.590909,57.681818,20.181818,89.954545,69.681818,51.636364,31.772727,27.090909,19.636364,21.272727,21.318182,36,36.318182,40.181818,13.590909,11.090909,20.318182,24.136364,222.409091,193.090909,205.136364,217.318182,127.727273,89.272727,26.545455,35.5,25.045455,7.363636,4.727273,15.272727,7.045455,30,7.181818,6.181818,45.772727,14.363636,4.818182,14.818182,9.272727,8.636364,13.636364,22.727273,47.136364,2455.363636,,,,,,,,,,,,,
19,47.181818,93.5,48.181818,50.5,152.590909,52.545455,42,19.181818,11.5,8.454545,48.727273,53.272727,45.863636,39.045455,37.909091,24.545455,24.181818,18.5,45.454545,40.227273,47,26.636364,15.909091,40,21.227273,247.181818,213.181818,224.136364,218.272727,118,85.363636,30.454545,34.090909,30.681818,10.090909,9.363636,18.590909,10.181818,35.136364,9.5,9.136364,38.590909,12.272727,8.545455,18,11.681818,12.272727,15.909091,10.727273,41.590909,2527.090909,,,,,,,,,,,,,
12,52.863636,119.227273,71.227273,37.272727,136.136364,41.863636,57.409091,9.454545,18.818182,8.181818,52.590909,72.045455,81.454545,55.045455,56.181818,27.863636,38.227273,31.181818,55.818182,55.363636,57.136364,21.727273,19.590909,34,28.727273,238.090909,184.909091,257.045455,205.181818,95.636364,73.954545,36.227273,45.636364,52.590909,18.590909,10.090909,18.454545,12.772727,43.090909,18.818182,14.045455,44.272727,22.590909,7.818182,16.863636,14.863636,10.909091,18.454545,15,52.181818,2767.5,,,,,,,,,,,,,
LM,12.636364,30.454545,18.181818,14.545455,99.909091,19.818182,22.954545,8.363636,8.272727,10.409091,62.045455,87.454545,101.5,78.681818,55.727273,37.772727,36.318182,34.045455,11.136364,7.272727,6.772727,2.545455,3.545455,7,11.227273,186.681818,163.681818,196.727273,174.727273,79.409091,52.818182,28.318182,28.090909,23.727273,2.5,45,62.909091,3.272727,6.681818,4.227273,3.454545,11.909091,2.409091,25.545455,15.318182,17.818182,13.772727,15.681818,4.181818,14.636364,1972.090909,,,,,,,,,,,,,
