Exit stations,Entry stations->,,WEEKDAY,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,9.333333,50.190476,41.619048,27,140.904762,37.619048,56.047619,40.571429,44,11.904762,40.571429,25.047619,16.142857,7.809524,13.952381,7.095238,6.190476,5.904762,9.619048,3.142857,10.380952,4.666667,3.380952,8.952381,14.047619,128.047619,97.52381,173.761905,102.285714,91.428571,87.47619,20.52381,26.285714,17.666667,9.571429,2.619048,5.238095,1.619048,5.285714,4.857143,9.190476,15.52381,7.809524,2.047619,4.47619,7,3.190476,4.142857,5.095238,6.52381,1475.285714,,,,,,,,,,,,,
EN,57.666667,12.809524,40.904762,30.857143,227.333333,41.047619,81.714286,82.619048,112.238095,25.047619,47.52381,34.095238,20,16.047619,19.952381,9.714286,13.666667,12.857143,10.809524,5.047619,13.142857,3.285714,5.380952,11.761905,19.190476,253.761905,196.571429,287.47619,218.047619,96,84.857143,26.857143,31.619048,24.761905,10.190476,2.761905,7.904762,3.952381,5.285714,7.380952,12.571429,43.666667,19.285714,2,13.714286,9.809524,5.333333,6.47619,3.095238,4.619048,2332.714286,,,,,,,,,,,,,
EP,45.428571,34.095238,6.761905,22.52381,170.333333,23.714286,42.857143,44.761905,56.47619,14.952381,24.761905,10.238095,14.619048,6.904762,7.095238,5.190476,4.714286,6.142857,6.428571,2.238095,5.952381,3.142857,2.380952,12.095238,4.238095,95.571429,94.714286,89.47619,86.428571,31.285714,29.52381,10,8,6.619048,1,1.619048,3.238095,1.095238,4.142857,3.904762,2.142857,19.714286,4.952381,2.285714,5.809524,4.761905,2.714286,5.142857,1.761905,2.47619,1096.428571,,,,,,,,,,,,,
NB,28.619048,26.285714,24,5.47619,64.714286,16.714286,27.428571,35.571429,33.333333,10.619048,32.571429,11.714286,10.857143,7.333333,5.714286,2.333333,4.428571,5.380952,5.047619,5.857143,5.238095,1.809524,3.47619,4.190476,5.142857,69.761905,72.714286,72.333333,80.904762,33.52381,22.809524,7.047619,12.333333,6.380952,2.952381,3.380952,3.714286,1.095238,3.619048,2.571429,1.761905,27.285714,3.52381,1.333333,8.095238,3.52381,1.857143,3.142857,0.714286,2.52381,832.761905,,,,,,,,,,,,,
BK,153.285714,238.190476,183.428571,68.428571,19.52381,86.047619,96.238095,105.095238,110.809524,41.190476,93.285714,45.380952,49.952381,29.52381,28.857143,17.619048,25.285714,21.904762,22.571429,21.952381,24.380952,12.809524,10.095238,9.714286,28.380952,139.666667,106,153.333333,130.52381,70.142857,63.761905,26.952381,22.380952,17.571429,4.142857,8.904762,17.238095,6.857143,15.761905,5.428571,7.904762,73.190476,22.714286,5.428571,35.285714,13.380952,14.238095,22.047619,5.190476,14.904762,2546.904762,,,,,,,,,,,,,
AS,37.809524,38.904762,20.952381,16.47619,79.380952,6.52381,27.428571,44.190476,41,14.47619,42.904762,21.333333,15.52381,11.095238,9.809524,6.285714,7.761905,6.714286,6.904762,5.857143,7.47619,3.142857,0.904762,3.190476,11.095238,82.47619,69.952381,85.714286,88,38.333333,25.142857,10.52381,12.904762,5.857143,2.52381,1.428571,5.666667,1.238095,2.761905,2.619048,4.52381,21.904762,4.809524,1.666667,6.428571,6.571429,5.095238,6.619048,0.619048,2.761905,983.285714,,,,,,,,,,,,,
MA,64.761905,78.857143,41.761905,25.238095,92.428571,30.761905,12.952381,37.095238,53.333333,17.809524,73.428571,45.809524,40,25.952381,23.238095,14.714286,17.904762,21.904762,31.142857,34.52381,32.952381,11.190476,9.380952,21.333333,21.714286,174.380952,149.47619,177.52381,160.714286,96.571429,70.571429,19.428571,26.095238,12.142857,9.857143,4.666667,12.857143,9.52381,33.285714,7.952381,4.142857,31.857143,9,5.142857,9.095238,5.47619,5.857143,10.142857,16.809524,42.047619,1984.809524,,,,,,,,,,,,,
19,40.714286,76.666667,40.571429,35.619048,97.047619,42.571429,37.047619,12.238095,11.285714,7.52381,42.142857,36.904762,36.47619,35.619048,35.047619,20.571429,17.285714,17.904762,37.52381,37.047619,44.238095,17.761905,12.666667,32.380952,20.619048,197.047619,157,194.190476,164.190476,96.333333,62.761905,21.047619,26.238095,22.238095,8.619048,7.714286,12.333333,8,22.904762,8.333333,6.714286,34,10.095238,5.047619,8.428571,14.142857,9.095238,10.904762,9.285714,26,1988.142857,,,,,,,,,,,,,
12,51.714286,106.904762,58.714286,33.142857,95.666667,37.190476,56.857143,9.714286,15.285714,8.666667,40.380952,52.714286,66.333333,54.952381,47.52381,24.47619,33.47619,27.857143,45.619048,48.809524,44.47619,17.047619,17.047619,34.47619,30.666667,196.857143,148.52381,223.428571,165.333333,79.380952,62.047619,26.904762,37.380952,36.285714,14.142857,5.380952,19.142857,10.714286,39.714286,13.904762,13.904762,35.142857,17.142857,4.52381,7.380952,15.238095,10.52381,12.714286,12.52381,43.714286,2311.666667,,,,,,,,,,,,,
LM,12.095238,22.190476,13.095238,8.190476,61.285714,14.47619,18.190476,8.619048,8.952381,6.52381,62.047619,59.809524,102.904762,80.142857,42.095238,36.952381,34.095238,29.285714,9.238095,3.714286,7.761905,1.952381,1.190476,4.761905,11.333333,169.52381,139.47619,172.761905,143.190476,68.380952,45.238095,20.52381,27.714286,14.047619,3.285714,39,52.142857,1.714286,4.142857,3.333333,2.809524,8.333333,3.380952,19.666667,9.428571,16.285714,9.904762,11.285714,4.47619,10.333333,1661.285714,,,,,,,,,,,,,
