Exit stations,Entry stations->,,WEEKDAY,,,May 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,9.5,63.318182,56.454545,31.318182,202.909091,46.545455,73.045455,51.636364,56.954545,19.681818,49,37.681818,19.045455,9.5,16.454545,7.5,6.318182,8.227273,11.090909,8.545455,12.136364,5.363636,4.863636,9.636364,14.818182,176.318182,129.636364,221.772727,140.454545,109,99.409091,27.909091,28.272727,26.409091,12.909091,2.590909,4.681818,3.227273,7.954545,9.636364,13.363636,32.272727,8.818182,3.409091,8.409091,13.409091,5.318182,5.363636,7,8.545455,1937.636364,,,,,,,,,,,,,
EN,75.272727,14.863636,54.636364,42.863636,331.681818,56.590909,100.590909,113.181818,158.954545,38.818182,59.227273,54.409091,22.318182,19.681818,23.772727,8.818182,13.136364,15.818182,15.863636,5.409091,15.954545,5.318182,5.454545,12.636364,19.772727,372.545455,289.363636,371.909091,281,124.590909,97.045455,34,41.136364,48.590909,10.818182,3.5,9.863636,4.909091,9.090909,11.681818,16.181818,60.5,22.772727,3.636364,22.954545,14.227273,8.5,14.227273,3.090909,8.409091,3169.590909,,,,,,,,,,,,,
EP,55.863636,55.136364,8,28.772727,254.090909,31.181818,51.409091,60.363636,85,19.818182,30.318182,27.181818,19.090909,8.136364,8.318182,6.590909,6.363636,8,11.727273,5.681818,8.681818,4.590909,2.363636,14.454545,6.954545,195.5,155.727273,121.727273,133.681818,46.727273,32.636364,12.227273,9.863636,18.681818,1.409091,2.090909,3.5,1.363636,5.045455,4.636364,3.727273,34.227273,8.136364,3.590909,16.681818,6.045455,4.409091,7.090909,2.227273,1.954545,1651,,,,,,,,,,,,,
NB,40.772727,34.227273,28.272727,8.954545,77.454545,23.909091,37.818182,62.5,60.5,18.227273,37.681818,40.227273,17.181818,6.818182,9.727273,3.636364,6.545455,9.5,6.681818,6.636364,5.090909,2.909091,2.409091,4.545455,7.818182,193.681818,136.181818,110.409091,135.454545,58.727273,35.363636,12.318182,13.681818,11.045455,2.545455,2.454545,4.409091,1.409091,5.409091,2.136364,3.227273,46.272727,7.318182,1.227273,20.590909,4.136364,5.045455,6.590909,1.5,3.409091,1384.590909,,,,,,,,,,,,,
BK,229.727273,351.181818,273.136364,83.909091,31.636364,118,137.363636,157.863636,178.909091,60.363636,115.136364,90.5,72.363636,44.272727,47.772727,26.409091,44.772727,44.636364,38.909091,27.909091,33.545455,21.363636,12.136364,11.681818,35.409091,309.863636,213.772727,281.318182,216.545455,121.772727,95.772727,50.090909,29.318182,34.454545,8.545455,14.863636,29.818182,7.863636,20.318182,9.409091,13.772727,93.863636,41.954545,11.272727,48.363636,24.363636,36.909091,48.590909,9.954545,19.227273,4080.909091,,,,,,,,,,,,,
AS,48.863636,54.409091,30.681818,25.318182,110.045455,8.227273,37.818182,66.636364,63.045455,23.454545,55.863636,44.863636,23.409091,13.045455,12.045455,7.727273,11.454545,11.727273,6.636364,6.909091,10,3.772727,1.590909,4.136364,17.5,176.909091,135.454545,118.045455,140.272727,62.227273,38.454545,9.681818,15.045455,12.181818,3,1.545455,6.318182,1.045455,4.772727,1.909091,6.181818,31.454545,8.454545,2.590909,15.363636,6.909091,8.636364,9.272727,1.590909,5.136364,1521.636364,,,,,,,,,,,,,
MA,87,96.136364,47.727273,38.590909,130.863636,39.318182,18.818182,58.409091,80.590909,26.227273,87,90.772727,52.727273,29.636364,37,18.772727,21.590909,25.636364,47,45.318182,44.363636,17.545455,17.454545,26.681818,26.318182,338.5,249.272727,262.409091,245.318182,147.545455,88.818182,27.409091,35.772727,26.181818,9.045455,5.272727,19.681818,11.454545,41.090909,9.590909,6.090909,57.181818,15.590909,7.090909,17.863636,10.318182,12.136364,17.590909,22.5,48.681818,2943.909091,,,,,,,,,,,,,
19,55.454545,111.727273,60.727273,60.863636,151.045455,67.318182,60.045455,21.818182,13.318182,11.045455,61.636364,84.909091,59.227273,46.909091,46.272727,34,34.045455,37.727273,59.454545,58.863636,67.5,34.909091,27.545455,53.681818,27.454545,397.136364,308.590909,280.409091,273.545455,153.545455,104.045455,40.909091,39.136364,33.863636,13.181818,11.136364,25.363636,14.681818,37.409091,13.590909,13.227273,55.363636,21,10.545455,20.863636,21,18.045455,19.909091,14.636364,41.363636,3330,,,,,,,,,,,,,
12,62.863636,158.454545,85.681818,61.318182,160,64.954545,79.772727,15.454545,23.681818,10.5,59.818182,96.136364,104,82.045455,69,39.363636,59.772727,41.727273,72.454545,78,74.590909,36.090909,29.227273,51.545455,34.318182,400.818182,278.545455,328.590909,252.909091,121.045455,93.136364,50.590909,56.590909,64.954545,22.772727,12.045455,37.090909,19.5,53.318182,24.045455,25.090909,62.863636,30.454545,12.181818,22.454545,23.909091,23.136364,29.681818,24.772727,65.954545,3787.227273,,,,,,,,,,,,,
LM,20.727273,33.045455,18.272727,15.909091,72.636364,24.636364,26.5,10.5,11.5,11.318182,71.636364,108.090909,123.954545,97.772727,59.954545,50.545455,39.772727,39.590909,11.863636,7.863636,9.909091,3.863636,2.272727,5.909091,14.863636,310.954545,226.818182,241.863636,215.409091,105.363636,65.454545,29.5,30.5,28.954545,3.545455,52.090909,78.818182,7.272727,8.409091,4.772727,4.863636,17,3.272727,35.818182,18,24.363636,19.318182,19.318182,4.045455,12.454545,2461.090909,,,,,,,,,,,,,
