ZIP,Latitude,Longitude
94102,37.781299,-122.417679
94103,37.775261,-122.413495
94104,37.791389,-122.401795
94105,37.790975,-122.395953
94107,37.776747,-122.397882
94108,37.791757,-122.408631
94109,37.793203,-122.421124
94110,37.750051,-122.413517
94111,37.798302,-122.400534
94112,37.720591,-122.442296
94114,37.758837,-122.435656
94115,37.786278,-122.437326
94116,37.744050,-122.485436
94117,37.770807,-122.444072
94118,37.780137,-122.462031
94121,37.778833,-122.492563
94122,37.760256,-122.484662
94123,37.800239,-122.437497
94124,37.730931,-122.383588
94127,37.736841,-122.459389
94129,37.797904,-122.466840
94131,37.744646,-122.444003
94132,37.722367,-122.482651
94133,37.802442,-122.411131
94134,37.722735,-122.409016
94158,37.770684,-122.393587
